date, pm25, pm10, o3, no2, so2, co
2023/6/2, 35, 6, 18, 14, 1, 2
2023/6/3, 16, 14, 43, 5, , 2
2023/6/4, 48, 13, 44, 8, 1, 2
2023/6/5, 47, 21, 62, 13, 4, 3
2023/6/6, 64, 16, 34, 16, 2, 3
2023/6/7, 54, 14, 47, 10, 2, 3
2023/6/8, 51, 17, 39, 21, 2, 4
2023/6/9, 56, 9, 43, 10, 1, 3
2023/6/10, 33, 13, 44, 11, 1, 3
2023/6/11, 44, 7, 35, 7, 1, 2
2023/6/12, 25, 10, 15, 14, 1, 2
2023/6/13, 33, 16, 30, 15, 3, 3
2023/6/14, 43, 10, 26, 14, 1, 2
2023/6/15, 34, 19, 40, 17, 1, 2
2023/6/16, 55, 14, 54, 11, 2, 3
2023/6/17, 47, 20, 77, 11, 3, 3
2023/6/18, 64, , , , , 
2023/5/2, 52, 11, 39, 8, 1, 2
2023/5/3, 45, 12, 45, 7, 1, 2
2023/5/4, 46, 11, 40, 6, 1, 2
2023/5/5, 38, 9, 37, 4, 1, 
2023/5/6, 34, 15, 35, 3, , 
2023/5/7, 49, 8, 30, 5, , 2
2023/5/8, 24, 8, 45, 5, , 2
2023/5/9, 31, 13, 36, 9, 2, 2
2023/5/10, 46, 17, 57, 13, 4, 3
2023/5/11, 58, 11, 45, 8, , 2
2023/5/12, 44, 9, 49, 15, 2, 2
2023/5/13, 35, 13, 46, 12, 2, 2
2023/5/14, 50, 6, 34, 7, 1, 2
2023/5/15, 23, 8, 38, 11, 3, 2
2023/5/16, 28, 16, 57, 14, 3, 3
2023/5/17, 55, 26, 71, 18, 4, 3
2023/5/18, 74, 22, 40, 14, 1, 2
2023/5/19, 60, 7, 36, 11, , 2
2023/5/20, 24, 10, 38, 4, , 3
2023/5/21, 37, 14, 41, 8, 2, 3
2023/5/22, 50, 22, 52, 10, 3, 3
2023/5/23, 60, 26, 34, 6, , 2
2023/5/24, 66, 6, 33, 5, , 2
2023/5/25, 24, 8, 38, 11, 1, 2
2023/5/26, 28, 10, 34, 10, 1, 2
2023/5/27, 35, 10, 37, 11, 1, 2
2023/5/28, 36, 10, 32, 5, 1, 2
2023/5/29, 33, 11, 25, 10, 1, 2
2023/5/30, 35, 7, 32, 11, 1, 2
2023/5/31, 22, 12, 32, 9, 1, 2
2023/6/1, 44, 11, 30, 13, 1, 2
2023/4/2, 60, 15, 45, 3, , 3
2023/4/3, 55, 12, 41, 8, 2, 
2023/4/4, 47, 14, 44, 12, 1, 3
2023/4/5, 51, 11, 37, 14, 1, 2
2023/4/6, 41, 16, 37, 8, 1, 2
2023/4/7, 51, 10, 36, 6, 1, 4
2023/4/8, 35, 14, 39, 6, 1, 3
2023/4/9, 49, 17, 42, 8, 3, 4
2023/4/10, 58, 15, 45, 13, 3, 3
2023/4/11, 56, 14, 42, 11, 1, 2
2023/4/12, 48, 27, 37, 10, 1, 3
2023/4/13, 71, 37, 37, 15, 5, 3
2023/4/14, 94, 28, 34, 19, 1, 3
2023/4/15, 68, 8, 32, 11, 1, 3
2023/4/16, 30, 13, 43, 4, 1, 3
2023/4/17, 47, 14, 36, 8, 2, 3
2023/4/18, 50, 22, 48, 13, 1, 3
2023/4/19, 64, 30, 18, 26, 3, 3
2023/4/20, 67, 28, 25, 17, 3, 3
2023/4/21, 76, 25, 39, 12, 2, 2
2023/4/22, 70, 24, 44, 5, 1, 2
2023/4/23, 70, 10, 43, 4, 1, 2
2023/4/24, 47, 12, 43, 10, , 2
2023/4/25, 49, 11, 33, 15, 1, 3
2023/4/26, 44, 4, 34, 9, 1, 2
2023/4/27, 18, 13, 46, 13, 3, 4
2023/4/28, 50, 14, 61, 16, 1, 3
2023/4/29, 51, 14, 35, 10, 1, 2
2023/4/30, 36, 23, 38, 6, 1, 3
2023/5/1, 49, 15, 44, 8, 1, 3
2023/1/3, 62, 5, 29, 7, 1, 3
2023/1/4, 27, 5, 30, 7, 1, 3
2023/1/5, 23, 7, 27, 11, 2, 3
2023/1/6, 32, 17, 36, 16, 3, 5
2023/1/7, 60, 35, 21, 22, 2, 6
2023/1/8, 111, 25, 33, 12, 1, 6
2023/1/9, 83, 24, 25, 17, 2, 6
2023/1/10, 78, 9, 27, 10, 1, 3
2023/1/11, 38, 12, 19, 20, 2, 5
2023/1/12, 45, 19, 10, 29, 3, 6
2023/1/13, 68, 16, 28, 21, 2, 4
2023/1/14, 58, 8, 29, 18, 1, 3
2023/1/15, 34, 4, 28, 6, , 3
2023/1/16, 23, 4, 28, 8, 1, 3
2023/1/17, 21, 8, 27, 18, 1, 3
2023/1/18, 33, 9, 24, 15, 2, 4
2023/1/19, 41, 11, 29, 14, 1, 5
2023/1/20, 47, 18, 35, 13, 1, 5
2023/1/21, 64, 9, 26, 10, 1, 3
2023/1/22, 39, 8, 24, 12, 2, 4
2023/1/23, 35, 11, 21, 17, 1, 4
2023/1/24, 47, 8, 29, 10, 1, 3
2023/1/25, 36, 2, 26, 7, 1, 3
2023/1/26, 16, 6, 25, 16, 1, 4
2023/1/27, 31, 8, 28, 16, 1, 4
2023/1/28, 36, 6, 27, 8, 1, 4
2023/1/29, 29, 8, 32, 7, 1, 3
2023/1/30, 34, 7, 29, 11, 1, 4
2023/1/31, 34, 10, 24, 17, 1, 4
2023/2/1, 41, 13, 9, 26, 1, 5
2023/2/2, 55, 10, 30, 11, , 3
2023/2/3, 43, 11, 25, 17, 1, 4
2023/2/4, 47, 14, 26, 15, 1, 
2023/2/5, 56, 13, 30, 11, 2, 
2023/2/6, 53, 19, 20, 21, 3, 
