date, pm25, pm10, o3, no2, so2, co
2022/10/2, 30, 10, 10, 10, 15, 
2022/10/3, 44, 12, 12, 11, 18, 
2022/10/4, 50, 10, 9, 9, 15, 
2022/10/5, 45, 3, 3, 2, 4, 
2022/10/6, 14, 3, 3, 2, 3, 
2022/10/7, 13, 2, 2, 1, 2, 
2022/10/8, 9, 2, 1, 1, 2, 
2022/10/9, 9, 3, 3, 2, 4, 
2022/10/10, 14, 2, 1, 1, 2, 
2022/10/11, 9, 3, 3, 3, 5, 
2022/10/12, 16, 5, 4, 4, 6, 
2022/10/13, 20, 4, 4, 3, 6, 
2022/10/14, 19, 5, 5, 4, 8, 
2022/10/15, 24, 6, 6, 5, 8, 
2022/10/16, 25, 6, 6, 5, 9, 
2022/10/17, 28, 6, 4, 5, 8, 
2022/10/18, 25, 4, 3, 3, 5, 
2022/10/19, 17, 3, 3, 2, 4, 
2022/10/20, 14, 3, 3, 2, 4, 
2022/10/21, 15, 4, 4, 3, 5, 
2022/10/22, 18, 7, 8, 7, 11, 
2022/10/23, 33, 6, 7, 5, 9, 
2022/10/24, 28, 3, 3, 2, 4, 
2022/10/25, 16, 3, 2, 2, 4, 
2022/10/26, 13, 3, 2, 2, 3, 
2022/10/27, 13, 4, 4, 3, 6, 
2022/10/28, 19, 5, 6, 4, 8, 
2022/10/29, 24, 6, 6, 5, 9, 
2022/10/30, 28, 3, 3, 2, 4, 
2022/10/31, 16, 3, 3, 2, 4, 
2022/11/1, 15, 5, 5, 4, 7, 
2022/11/2, 22, 4, 4, 3, 5, 
2022/11/3, 18, 5, 5, 4, 7, 
2022/11/4, 22, 3, 4, 3, 5, 
2022/11/5, 17, 6, 6, 5, 9, 
2022/11/6, 27, 4, 4, 3, 5, 
2022/11/7, 18, 5, 6, 4, 7, 
2022/11/8, 23, 5, 5, 4, 7, 
2022/11/9, 22, 7, 6, 6, 9, 
2022/11/10, 29, 6, 7, 5, 9, 
2022/11/11, 28, 10, 11, 10, 15, 
2022/11/12, 45, 11, 10, 10, 16, 
2022/11/13, 47, 9, 11, 8, 13, 
2022/11/14, 38, 2, 1, 1, 2, 
2022/11/15, 9, 3, 3, 2, 4, 
2022/11/16, 15, 4, 4, 3, 5, 
2022/11/17, 17, 4, 4, 3, 6, 
2022/11/18, 20, 5, 4, 4, 7, 
2022/11/19, 22, 7, 7, 7, 11, 
2022/11/20, 33, 7, 6, 6, 9, 
2022/11/21, 29, 3, 3, 2, 4, 
2022/11/22, 16, 4, 4, 3, 6, 
2022/11/23, 19, 3, 3, 2, 4, 
2022/11/24, 16, 2, 2, 2, 3, 
2022/11/25, 11, 5, 4, 4, 6, 
2022/11/26, 21, 6, 5, 5, 8, 
2022/11/27, 27, 7, 6, 6, 10, 
2022/11/28, 30, 5, 5, 4, 8, 
2022/11/29, 24, 6, 7, 5, 9, 
2022/11/30, 28, 3, 4, 3, 5, 
2022/12/1, 16, 2, 3, 1, 3, 
2022/12/2, 11, 3, 3, 2, 3, 
2022/12/3, 13, 3, 4, 3, 5, 
2022/12/4, 16, 3, 3, 2, 4, 
2022/12/5, 14, 2, 2, 1, 3, 
2022/12/6, 11, 3, 4, 2, 3, 
2022/12/7, 12, 2, 1, 1, 2, 
2022/12/8, 10, 2, 2, 1, 2, 
2022/12/9, 10, 4, 4, 3, 6, 
2022/12/10, 19, 4, 4, 3, 6, 
2022/12/11, 19, 5, 6, 4, 7, 
2022/12/12, 23, 4, 4, 3, 6, 
2022/12/13, 20, 4, 5, 3, 6, 
2022/12/14, 19, 1, 2, 1, 2, 
2022/12/15, 8, 1, 1, 1, 1, 
2022/12/16, 8, 1, 1, 1, 2, 
2022/12/17, 8, 4, 5, 3, 5, 
2022/12/18, 17, 4, 5, 3, 5, 
2022/12/19, 16, 2, 2, 1, 3, 
2022/12/20, 11, 2, 2, 1, 3, 
2022/12/21, 11, 4, 4, 3, 5, 
2022/12/22, 18, 3, 4, 2, 4, 
2022/12/23, 14, 2, 3, 2, 3, 
2022/12/24, 14, 1, , 1, 1, 
2022/12/25, 6, 1, 1, 1, 1, 
2022/12/26, 7, 1, 1, 1, 2, 
2022/12/27, 8, 1, 1, 1, 2, 
2022/12/28, 8, 2, 2, 1, 2, 
2022/12/29, 9, 2, 2, 1, 3, 
2022/12/30, 10, 2, 2, 1, 3, 
2022/12/31, 12, 3, 3, 2, 5, 
2023/1/1, 15, 2, 1, 1, 2, 
2023/1/2, 11, , , , , 
2022/7/2, 28, 7, 7, 6, 10, 
2022/7/3, 33, 9, 9, 9, 13, 
2022/7/4, 41, 6, 6, 5, 9, 
2022/7/5, 29, 11, 12, 10, 16, 
2022/7/6, 46, 7, 8, 6, 10, 
2022/7/7, 32, 4, 4, 3, 6, 
2022/7/8, 19, 5, 6, 4, 7, 
2022/7/9, 22, 2, 2, 1, 2, 
2022/7/10, 10, 7, 9, 6, 9, 
2022/7/11, 29, 7, 7, 6, 9, 
2022/7/12, 30, 2, 2, 1, 3, 
2022/7/13, 11, 1, 1, 1, 1, 
2022/7/14, 7, 5, 5, 4, 7, 
2022/7/15, 22, 3, 4, 2, 4, 
2022/7/16, 14, 2, 4, 2, 3, 
2022/7/17, 12, 5, 6, 4, 7, 
2022/7/18, 22, 6, 6, 5, 8, 
2022/7/19, 25, 8, 8, 7, 12, 
2022/7/20, 36, 4, 4, 3, 5, 
2022/7/21, 17, 8, 7, 7, 11, 
2022/7/22, 34, 4, 4, 3, 6, 
2022/7/23, 20, 2, 2, 1, 2, 
2022/7/24, 9, 4, 4, 3, 6, 
2022/7/25, 19, 7, 7, 6, 9, 
2022/7/26, 30, 10, 12, 10, 16, 
2022/7/27, 44, 10, 10, 9, 15, 
2022/7/28, 44, 12, 12, 11, 18, 
2022/7/29, 51, 8, 9, 8, 13, 
2022/7/30, 38, 8, 9, 7, 12, 
2022/7/31, 37, 7, 7, 6, 9, 
2022/8/1, 30, 8, 8, 7, 11, 
2022/8/2, 35, 8, 8, 8, 12, 
2022/8/3, 38, 4, 5, 3, 5, 
2022/8/4, 18, 1, 1, 1, 2, 
2022/8/5, 8, 2, 2, 1, 3, 
2022/8/6, 10, 3, 3, 2, 4, 
2022/8/7, 15, 7, 8, 6, 10, 
2022/8/8, 31, 8, 10, 7, 11, 
2022/8/9, 33, 9, 8, 8, 13, 
2022/8/10, 40, 10, 10, 9, 14, 
2022/8/11, 42, 10, 11, 9, 15, 
2022/8/12, 42, 6, 6, 5, 9, 
2022/8/13, 29, 4, 3, 3, 5, 
2022/8/14, 18, 4, 4, 3, 5, 
2022/8/15, 17, 5, 4, 4, 6, 
2022/8/16, 21, 4, 4, 3, 6, 
2022/8/17, 19, 3, 3, 2, 5, 
2022/8/18, 16, 2, 3, 1, 3, 
2022/8/19, 10, 4, 3, 3, 5, 
2022/8/20, 18, 6, 6, 5, 9, 
2022/8/21, 28, 5, 5, 4, 7, 
2022/8/22, 23, 6, 5, 5, 8, 
2022/8/23, 26, 8, 9, 7, 12, 
2022/8/24, 35, 5, 4, 4, 6, 
2022/8/25, 21, 4, 4, 3, 5, 
2022/8/26, 19, 5, 6, 4, 8, 
2022/8/27, 24, 5, 5, 4, 6, 
2022/8/28, 21, 3, 3, 2, 4, 
2022/8/29, 14, 3, 3, 2, 4, 
2022/8/30, 14, 3, 2, 2, 4, 
2022/8/31, 15, 2, 3, 2, 3, 
2022/9/1, 12, 4, 5, 3, 5, 
2022/9/2, 18, 3, 3, 3, 5, 
2022/9/3, 16, 3, 2, 2, 4, 
2022/9/4, 14, 2, 2, 1, 3, 
2022/9/5, 11, 3, 3, 2, 4, 
2022/9/6, 14, 5, 5, 5, 8, 
2022/9/7, 25, 3, 3, 2, 4, 
2022/9/8, 15, 2, 2, 1, 3, 
2022/9/9, 11, 3, 4, 2, 4, 
2022/9/10, 15, 7, 7, 6, 10, 
2022/9/11, 31, 7, 6, 6, 10, 
2022/9/12, 31, 5, 5, 4, 8, 
2022/9/13, 24, 8, 8, 7, 11, 
2022/9/14, 35, 8, 7, 7, 11, 
2022/9/15, 34, 4, 4, 3, 6, 
2022/9/16, 20, 5, 6, 4, 7, 
2022/9/17, 23, 5, 5, 4, 7, 
2022/9/18, 22, 5, 5, 4, 7, 
2022/9/19, 22, 5, 7, 5, 8, 
2022/9/20, 24, 6, 6, 5, 8, 
2022/9/21, 26, 3, 3, 2, 4, 
2022/9/22, 15, 3, 3, 2, 4, 
2022/9/23, 13, 1, 1, 1, 2, 
2022/9/24, 8, 3, 5, 3, 4, 
2022/9/25, 16, 5, 4, 4, 7, 
2022/9/26, 23, 7, 6, 6, 10, 
2022/9/27, 30, 8, 8, 7, 11, 
2022/9/28, 35, 5, 4, 4, 7, 
2022/9/29, 24, 5, 5, 4, 7, 
2022/9/30, 22, 9, 10, 8, 13, 
2022/10/1, 39, 7, 6, 6, 9, 
2022/4/2, 28, 5, 5, 5, 8, 
2022/4/3, 25, 6, 6, 5, 8, 
2022/4/4, 26, 3, 3, 2, 4, 
2022/4/5, 16, 3, 3, 2, 4, 
2022/4/6, 13, 8, 14, 7, 11, 
2022/4/7, 33, 8, 8, 8, 12, 
2022/4/8, 38, 3, 3, 3, 5, 
2022/4/9, 16, 8, 9, 7, 12, 
2022/4/10, 35, 13, 13, 12, 20, 
2022/4/11, 53, 16, 16, 15, 24, 
2022/4/12, 62, 17, 17, 16, 26, 
2022/4/13, 64, 11, 12, 11, 17, 
2022/4/14, 50, 3, 2, 2, 4, 
2022/4/15, 16, 1, 1, 1, 1, 
2022/4/16, 6, 5, 7, 5, 8, 
2022/4/17, 24, 9, 9, 8, 13, 
2022/4/18, 39, 9, 9, 8, 13, 
2022/4/19, 39, 13, 16, 12, 19, 
2022/4/20, 49, 12, 13, 12, 18, 
2022/4/21, 51, 10, 9, 9, 14, 
2022/4/22, 44, 8, 12, 7, 11, 
2022/4/23, 35, 12, 15, 11, 17, 
2022/4/24, 45, 5, 5, 4, 7, 
2022/4/25, 24, 10, 11, 9, 14, 
2022/4/26, 42, 11, 10, 10, 16, 
2022/4/27, 48, 8, 9, 8, 12, 
2022/4/28, 38, 6, 6, 5, 9, 
2022/4/29, 29, 5, 6, 4, 7, 
2022/4/30, 23, 5, 5, 4, 7, 
2022/5/1, 23, 4, 5, 3, 6, 
2022/5/2, 20, 5, 5, 4, 6, 
2022/5/3, 20, 4, 4, 3, 6, 
2022/5/4, 20, 10, 12, 9, 15, 
2022/5/5, 43, 12, 13, 11, 18, 
2022/5/6, 51, 12, 13, 12, 19, 
2022/5/7, 51, 8, 8, 7, 11, 
2022/5/8, 35, 4, 4, 3, 5, 
2022/5/9, 17, 5, 5, 4, 7, 
2022/5/10, 23, 4, 5, 3, 5, 
2022/5/11, 17, 8, 7, 7, 12, 
2022/5/12, 37, 10, 11, 9, 14, 
2022/5/13, 42, 4, 5, 3, 6, 
2022/5/14, 21, 3, 4, 2, 4, 
2022/5/15, 13, 7, 5, 6, 10, 
2022/5/16, 30, 5, 6, 4, 7, 
2022/5/17, 24, 5, 5, 4, 7, 
2022/5/18, 22, 8, 9, 7, 11, 
2022/5/19, 34, 11, 16, 10, 16, 
2022/5/20, 45, 16, 15, 15, 24, 
2022/5/21, 62, 14, 16, 13, 21, 
2022/5/22, 55, 5, 5, 4, 6, 
2022/5/23, 22, 5, 4, 4, 8, 
2022/5/24, 24, 7, 7, 6, 9, 
2022/5/25, 30, 10, 11, 10, 15, 
2022/5/26, 44, 9, 9, 9, 14, 
2022/5/27, 43, 5, 7, 4, 7, 
2022/5/28, 24, 5, 5, 4, 7, 
2022/5/29, 22, 11, 12, 11, 17, 
2022/5/30, 49, 7, 8, 6, 10, 
2022/5/31, 31, 2, 4, 1, 3, 
2022/6/1, 12, 6, 6, 5, 8, 
2022/6/2, 26, 7, 11, 7, 11, 
2022/6/3, 32, 4, 3, 3, 6, 
2022/6/4, 19, 4, 4, 3, 6, 
2022/6/5, 20, 3, 3, 2, 4, 
2022/6/6, 14, 2, 1, 1, 2, 
2022/6/7, 11, 1, 1, 1, 1, 
2022/6/8, 7, 3, 3, 2, 5, 
2022/6/9, 15, 4, 5, 3, 6, 
2022/6/10, 20, 4, 5, 3, 6, 
2022/6/11, 20, 8, 12, 7, 12, 
2022/6/12, 36, 5, 5, 4, 7, 
2022/6/13, 24, 4, 4, 3, 5, 
2022/6/14, 17, 7, 6, 6, 10, 
2022/6/15, 30, 6, 5, 5, 8, 
2022/6/16, 25, 7, 8, 6, 10, 
2022/6/17, 31, 9, 8, 8, 13, 
2022/6/18, 40, 15, 15, 14, 22, 
2022/6/19, 56, 17, 17, 16, 26, 
2022/6/20, 64, 12, 11, 12, 18, 
2022/6/21, 53, 12, 12, 11, 17, 
2022/6/22, 50, 9, 8, 8, 13, 
2022/6/23, 39, 5, 6, 4, 7, 
2022/6/24, 23, 6, 8, 6, 9, 
2022/6/25, 30, 8, 8, 7, 11, 
2022/6/26, 35, 7, 8, 7, 11, 
2022/6/27, 33, 3, 3, 2, 4, 
2022/6/28, 15, 6, 9, 6, 9, 
2022/6/29, 30, 10, 10, 9, 14, 
2022/6/30, 43, 7, 6, 6, 10, 
2022/7/1, 29, 6, 5, 5, 9, 
2022/4/1, , 6, 7, 5, 9, 
