date, pm25, pm10, o3, no2, so2, co
2022/10/2, 59, 13, 53, 5, 3, 3
2022/10/3, 56, 11, 37, 4, 3, 2
2022/10/4, 54, 13, 36, 3, 1, 1
2022/10/5, 46, 7, 24, 1, 1, 1
2022/10/6, 27, 5, 27, 1, , 1
2022/10/7, 33, 6, 20, 6, 1, 2
2022/10/8, 32, 6, 29, 1, , 1
2022/10/9, 30, 5, 18, 1, 1, 1
2022/10/10, 34, , , , , 
2022/9/2, 27, 6, 44, 3, , 1
2022/9/3, 22, 8, 41, 3, 2, 2
2022/9/4, 34, 10, 36, 2, 1, 2
2022/9/5, 34, 11, 22, 5, 1, 2
2022/9/6, 32, 16, 49, 3, 1, 2
2022/9/7, 43, 5, 58, 1, 1, 1
2022/9/8, 22, 9, 47, 2, , 2
2022/9/9, 31, 9, 41, 2, , 1
2022/9/10, 33, 9, 42, 1, , 1
2022/9/11, 37, 11, 62, 5, 2, 2
2022/9/12, 46, 15, 99, 5, 1, 2
2022/9/13, 56, 13, 71, 2, 1, 1
2022/9/14, 56, 14, 44, 1, , 1
2022/9/15, 55, 15, 76, 3, 6, 2
2022/9/16, 56, 11, 81, 5, 1, 2
2022/9/17, 52, 9, 48, 1, , 1
2022/9/18, 32, 11, 34, 1, , 1
2022/9/19, 33, 25, 36, 2, 1, 3
2022/9/20, 53, 9, 49, 4, , 1
2022/9/21, 22, 8, 44, , , 1
2022/9/22, 27, 8, 34, , , 2
2022/9/23, 27, 7, 17, , , 
2022/9/24, 21, 11, 42, , 1, 2
2022/9/25, 38, 10, 37, , 1, 3
2022/9/26, 42, 14, 38, , 3, 3
2022/9/27, 58, 13, 32, 1, 1, 2
2022/9/28, 53, 8, 28, 2, , 2
2022/9/29, 32, 8, 33, 2, , 2
2022/9/30, 30, 10, 42, 4, 1, 2
2022/10/1, 42, 12, 63, 6, 3, 3
2022/8/2, 35, 11, 24, , 2, 1
2022/8/3, 34, 15, 33, , 3, 1
2022/8/4, 51, 11, 29, , 2, 2
2022/8/5, 47, 12, 38, , 2, 2
2022/8/6, 43, 11, 41, , 5, 2
2022/8/7, 48, 10, 40, , 4, 2
2022/8/8, 42, 14, 39, , 4, 1
2022/8/9, 61, 17, 26, , 5, 1
2022/8/10, 67, 10, 26, , 4, 1
2022/8/11, 52, 8, 17, , 2, 1
2022/8/12, 25, 7, 10, , 3, 1
2022/8/13, 27, 13, 36, , 1, 2
2022/8/14, 55, 14, 29, , 2, 2
2022/8/15, 56, 23, 33, , 2, 2
2022/8/16, 69, 13, 22, , 2, 1
2022/8/17, 49, 12, 13, , 2, 1
2022/8/18, 37, 9, 57, , 1, 2
2022/8/19, 40, 12, 80, 3, 1, 3
2022/8/20, 45, 15, 37, 4, 1, 2
2022/8/21, 55, 6, 38, 1, 1, 2
2022/8/22, 28, 13, 37, 1, 2, 2
2022/8/23, 49, 17, 63, 3, 3, 2
2022/8/24, 62, 8, 42, , , 2
2022/8/25, 37, 13, 80, , 3, 3
2022/8/26, 47, 10, 94, , 1, 2
2022/8/27, 37, 14, 88, , 1, 2
2022/8/28, 54, 9, 73, , 1, 1
2022/8/29, 41, 14, 54, , 4, 2
2022/8/30, 42, 12, 39, 5, 1, 2
2022/8/31, 40, 13, 12, 2, 1, 2
2022/9/1, 36, 8, 60, 5, 1, 2
2022/7/2, 68, 9, 22, 5, 3, 2
2022/7/3, 37, 5, 13, 5, 1, 2
2022/7/4, 24, 6, 9, 6, 1, 2
2022/7/5, 27, 8, 15, 8, 1, 1
2022/7/6, 30, 11, 27, 8, 1, 2
2022/7/7, 40, 14, 45, 4, 2, 1
2022/7/8, 55, 14, 36, 7, 1, 2
2022/7/9, 60, 11, 22, 5, 4, 1
2022/7/10, 50, 8, 29, 3, 1, 1
2022/7/11, 33, 9, 29, 5, 4, 1
2022/7/12, 36, 7, 38, 6, 1, 2
2022/7/13, 33, 10, 32, 8, 1, 1
2022/7/14, 34, 4, 19, 9, 1, 2
2022/7/15, 44, 22, 29, 6, 2, 2
2022/7/16, 51, 18, 22, 7, 1, 3
2022/7/17, 43, 19, 47, 5, 1, 3
2022/7/18, 47, 24, 34, 7, 3, 3
2022/7/19, 61, 19, 27, 7, 1, 2
2022/7/20, 42, 18, 37, 7, 1, 2
2022/7/21, 43, 26, 21, 8, 5, 3
2022/7/22, 64, 20, 46, 8, 2, 3
2022/7/23, 47, 11, 30, 5, 1, 1
2022/7/24, 30, 15, 38, 4, 3, 2
2022/7/25, 41, 11, 48, 6, 1, 2
2022/7/26, 53, 23, 76, 7, 2, 2
2022/7/27, 79, 13, 36, 5, 3, 2
2022/7/28, 58, 10, 24, 5, 3, 1
2022/7/29, 31, 11, 18, 6, 2, 2
2022/7/30, 34, 11, 15, 4, 1, 1
2022/7/31, 30, 11, 9, 5, 1, 2
2022/8/1, 40, 13, 11, , 1, 1
2022/6/2, 49, 16, 72, 11, 5, 3
2022/6/3, 64, 19, 60, 8, 3, 3
2022/6/4, 67, 10, 40, 4, 2, 2
2022/6/5, 43, 9, 35, 6, 1, 2
2022/6/6, 44, 8, 34, 4, 1, 2
2022/6/7, 24, 5, 31, 2, 1, 2
2022/6/8, 11, 6, 36, 4, 2, 2
2022/6/9, 25, 9, 47, 4, 2, 2
2022/6/10, 38, 10, 36, 5, 4, 2
2022/6/11, 48, 12, 23, 4, 1, 2
2022/6/12, 49, 10, 32, 1, , 1
2022/6/13, 37, 11, 28, 3, 3, 2
2022/6/14, 41, 8, 27, 2, , 1
2022/6/15, 30, 10, 28, 4, 1, 2
2022/6/16, 24, 13, 34, 4, 2, 2
2022/6/17, 48, 18, 48, 5, 3, 2
2022/6/18, 65, 10, 46, 6, 1, 2
2022/6/19, 39, 10, 75, 3, 1, 2
2022/6/20, 38, 17, 61, 4, 3, 1
2022/6/21, 64, 11, 32, 7, , 2
2022/6/22, 38, 10, 63, 5, 2, 2
2022/6/23, 37, 14, 34, 4, 3, 2
2022/6/24, 59, 15, 11, 2, 2, 2
2022/6/25, 59, 13, 18, 3, 5, 2
2022/6/26, 53, , , , 3, 1
2022/6/28, 52, 11, 18, 4, 1, 2
2022/6/29, 37, 9, 20, 4, 3, 1
2022/6/30, 33, 12, 45, 6, 3, 2
2022/7/1, 47, 18, 69, 6, 5, 2
2022/5/2, 43, 14, 20, 4, 2, 2
2022/5/3, 51, 9, 24, 2, 1, 2
2022/5/4, 44, 12, 25, 3, 4, 2
2022/5/5, 54, 15, 20, 3, 6, 3
2022/5/6, 58, 17, 17, 6, 1, 3
2022/5/7, 68, 14, 23, 5, 2, 2
2022/5/8, 59, 8, 27, 1, 1, 2
2022/5/9, 36, 8, 24, 3, , 1
2022/5/10, 35, 11, 21, 6, 1, 2
2022/5/11, 39, 14, 14, 7, 4, 2
2022/5/12, 43, 21, 10, 7, 1, 2
