date, pm25, pm10, o3, no2, so2, co
2021/6/1, 36, 10, 45, 4, 1, 
2021/6/2, 35, 12, 47, 6, 1, 
2021/6/3, 39, 7, 34, 2, 1, 
2021/6/4, 14, 9, 53, 5, 1, 
2021/6/5, 24, 16, 48, 4, 1, 
2021/6/6, 41, 19, 64, 9, 2, 
2021/6/7, 52, 25, 81, 7, 1, 
2021/6/8, 65, 21, 71, 4, 1, 
2021/6/9, 62, 24, 89, 6, 1, 
2021/6/10, 65, 19, 54, 3, 1, 
2021/6/11, 52, 14, 42, 3, 1, 
2021/6/12, 40, 17, 41, 3, 1, 
2021/6/13, 48, 18, 41, 6, 1, 
2021/6/14, 49, 19, 66, 5, 1, 
2021/6/15, 49, 12, 32, 5, 1, 
2021/6/16, 33, 10, 31, 3, 1, 
2021/6/17, 28, 12, 71, 5, 1, 
2021/6/18, 33, , , , , 
2021/5/1, 38, 7, 42, 2, 1, 
2021/5/2, 26, 7, 43, 1, 1, 
2021/5/3, 27, 11, 55, 5, 1, 
2021/5/4, 41, 19, 32, 8, 2, 
2021/5/5, 59, 13, 50, 6, 1, 
2021/5/6, 42, 16, 35, 12, 2, 
2021/5/7, 47, 20, 53, 8, 1, 
2021/5/8, 55, 31, 51, 5, 1, 
2021/5/9, 70, 18, 53, 2, 1, 
2021/5/10, 47, 13, 36, 9, 1, 
2021/5/11, 41, 10, 45, 9, 1, 
2021/5/12, 36, 14, 34, 9, 1, 
2021/5/13, 45, 13, 64, 6, 1, 
2021/5/14, 46, 12, 49, 7, 2, 
2021/5/15, 40, 11, 41, 2, 1, 
2021/5/16, 33, 16, 17, 10, 1, 
2021/5/17, 49, 14, 22, 7, 1, 
2021/5/18, 32, 7, 20, 9, 1, 
2021/5/19, 20, 14, 32, 9, 1, 
2021/5/20, 40, 10, 26, 7, 1, 
2021/5/21, 31, 11, 33, 4, 1, 
2021/5/22, 26, 7, 50, 2, 1, 
2021/5/23, 27, 13, 55, 7, 2, 
2021/5/24, 45, 13, 67, 5, 1, 
2021/5/25, 47, 16, 65, 4, 1, 
2021/5/26, 51, 12, 36, 8, 1, 
2021/5/27, 35, 9, 52, 9, 2, 
2021/5/28, 30, 19, 18, 9, 1, 
2021/5/29, 54, , , , , 
2021/4/1, 75, 14, 41, 5, 2, 
2021/4/2, 42, 16, 46, 5, 2, 
2021/4/3, 45, 22, 37, 3, 1, 
2021/4/4, 56, 8, 30, 5, 1, 
2021/4/5, 23, 8, 36, 5, 1, 
2021/4/6, 33, 10, 44, 6, 2, 
2021/4/7, 35, 11, 46, 6, 2, 
2021/4/8, 40, 9, 42, 3, 2, 
2021/4/9, 36, 7, 42, 2, 1, 
2021/4/10, 27, 10, 50, 5, 3, 
2021/4/11, 41, 11, 43, 7, 2, 
2021/4/12, 46, 8, 38, 10, 1, 
2021/4/13, 28, 9, 36, 6, 1, 
2021/4/14, 35, 7, 40, 5, 1, 
2021/4/15, 25, 11, 39, 8, 1, 
2021/4/16, 36, 13, 28, 8, 1, 
2021/4/17, 38, 7, 40, 1, 1, 
2021/4/18, 25, 16, 44, 5, 1, 
2021/4/19, 49, 18, 52, 10, 3, 
2021/4/20, 54, 14, 43, 4, 2, 
2021/4/21, 50, 11, 41, 3, 1, 
2021/4/22, 41, 13, 39, 4, 1, 
2021/4/23, 44, 12, , 7, 2, 
2021/4/24, 42, 14, , 4, 2, 
2021/4/25, 46, 9, 34, 1, 1, 
2021/4/26, 38, 10, 44, 8, 2, 
2021/4/27, 37, 18, 53, 12, 2, 
2021/4/28, 58, 14, 31, 6, 1, 
2021/4/29, 41, 9, 50, 4, 1, 
2021/4/30, 33, 12, 57, 4, 1, 
2021/3/1, 39, 11, 34, 9, 1, 
2021/3/2, 43, 4, 35, 3, 1, 
2021/3/3, 20, 10, 34, 12, 2, 
2021/3/4, 40, 13, 11, 17, 1, 
2021/3/5, 49, 11, 34, 6, 2, 
2021/3/6, 42, 7, 35, 2, 1, 
2021/3/7, 27, 16, 22, 10, 1, 
