date, pm25, pm10, o3, no2, so2, co
2022/2/2, 24, 10, 40, 3, 1, 2
2022/2/3, 35, 7, 37, 3, 1, 2
2022/2/4, 26, 4, 37, 4, 1, 2
2022/2/5, 17, 4, 36, 3, , 2
2022/2/6, 14, 4, 34, 2, , 2
2022/2/7, 14, 5, 33, 7, 1, 2
2022/2/8, 15, 6, 31, 9, 1, 2
2022/2/9, 23, 7, 33, 7, 1, 2
2022/2/10, 21, 6, 32, 9, 1, 3
2022/2/11, 21, 8, 36, 7, 1, 2
2022/2/12, 26, 5, 35, 2, 2, 2
2022/2/13, 20, 10, 38, 2, 1, 3
2022/2/14, 37, 13, 38, 4, 1, 3
2022/2/15, 48, 12, 40, 3, 2, 2
2022/2/16, 42, 6, 38, 1, 2, 2
2022/2/17, 19, 5, 35, 1, 1, 2
2022/2/18, 14, 4, 34, 5, 1, 2
2022/2/19, 13, 4, 31, 6, 1, 2
2022/2/20, 14, 5, 37, 1, 1, 3
2022/2/21, 17, 12, 35, 2, 1, 2
2022/2/22, 26, 5, 36, 4, 1, 2
2022/2/23, 18, 5, 36, 2, 1, 2
2022/2/24, 14, , , , , 
2022/2/1, , 8, 39, 5, 1, 3
