date, pm25, pm10, o3, no2, so2, co
2022/2/2, 33, 7, 27, 8, 1, 
2022/2/3, 32, 6, 31, 11, 1, 
2022/2/4, 37, 6, 25, 14, 1, 
2022/2/5, 31, 4, 29, 5, 1, 
2022/2/6, 21, 5, 27, 3, 1, 
2022/2/7, 25, , , , , 
2022/1/4, 36, 5, 21, 11, 1, 3
2022/1/5, 28, 7, 25, 13, 1, 2
2022/1/6, 30, 10, 20, 13, , 
2022/1/7, 35, 7, 23, 19, 1, 
2022/1/8, 40, 9, 22, 19, 1, 
2022/1/9, 40, 14, 24, 12, 1, 
2022/1/10, 49, 14, 24, 12, , 
2022/1/11, 46, 13, 17, 14, 1, 
2022/1/12, 45, 5, 24, 11, 1, 3
2022/1/13, 34, 6, 22, 14, 1, 3
2022/1/14, 37, 6, 26, 10, 1, 2
2022/1/15, 29, 11, 21, 18, 1, 3
2022/1/16, 34, 11, 25, 13, , 3
2022/1/17, 51, 7, 22, 14, 1, 3
2022/1/18, 39, 10, 24, 11, , 2
2022/1/19, 27, 11, 19, 18, 1, 
2022/1/20, 39, 5, 27, 5, 1, 
2022/1/21, 15, 4, 26, 10, 1, 
2022/1/22, 21, 8, 24, 16, 1, 
2022/1/23, 35, 26, 25, 14, 2, 
2022/1/24, 83, 12, 30, 10, 1, 
2022/1/25, 47, 9, 24, 19, 1, 
2022/1/26, 42, 15, 23, 16, 1, 
2022/1/27, 59, 15, 29, 12, 1, 
2022/1/28, 58, 8, 29, 12, 1, 
2022/1/29, 45, 6, 28, 13, , 
2022/1/30, 34, 6, 28, 6, 1, 
2022/1/31, 25, 6, 28, 14, 1, 
2022/2/1, 29, 6, 29, 15, 1, 
2021/10/2, 25, 9, 34, 7, 1, 
2021/10/3, 43, 10, 40, 5, 1, 
2021/10/4, 40, 12, , 12, , 
2021/11/3, 65, 10, 32, 5, 1, 2
2021/11/4, 49, 8, 28, 9, , 2
2021/11/5, 48, 8, 28, 12, 1, 2
2021/11/6, 41, 8, 31, 10, , 2
2021/11/7, 53, 9, 30, 6, 1, 2
2021/11/8, 41, 6, 25, 8, 1, 2
2021/11/9, 31, 6, 20, 7, , 2
2021/11/10, 31, 5, 24, 11, 1, 2
2021/11/11, 24, 9, 27, 13, 1, 3
2021/11/12, 55, 7, 24, 7, 1, 
2021/11/13, 35, 6, 23, 10, 1, 
2021/11/14, 39, 10, 29, 8, 1, 
2021/11/15, 48, 10, 27, 12, 1, 
2021/11/16, 49, 10, 23, 7, 1, 
2021/11/17, 44, 8, 27, 11, 1, 
2021/11/18, 36, 8, 21, 10, 1, 
2021/11/19, 45, 12, 24, 15, 1, 
2021/11/20, 46, 16, 32, 12, , 
2021/11/21, 57, 17, 29, 9, , 
2021/11/22, 52, 12, 21, 7, , 
2021/11/23, 36, 6, 23, 9, , 
2021/11/24, 36, 5, 25, 10, , 
2021/11/25, 26, 7, 23, 14, 1, 
2021/11/26, 37, 7, 24, 8, 1, 2
2021/11/27, 38, 5, 24, 7, , 2
2021/11/28, 29, 5, 27, 7, 1, 2
2021/11/29, 31, 7, 20, 14, 1, 3
2021/11/30, 39, 9, 19, 17, 1, 3
2021/12/1, 45, 8, 24, 11, , 2
2021/12/2, 36, 5, 20, 12, 1, 3
2021/12/3, 37, 10, 18, 15, 1, 3
2021/12/4, 41, 7, 23, 12, 1, 2
2021/12/5, 43, 7, 22, 8, 1, 2
2021/12/6, 43, 11, 15, 8, 1, 3
2021/12/7, 56, 7, 23, 4, 1, 2
2021/12/8, 41, 3, 26, 3, 1, 
2021/12/9, 14, 7, 22, 3, , 
2021/12/10, 37, 7, 22, 7, 1, 
2021/12/11, 34, 17, 13, 14, 1, 
2021/12/12, 50, 14, 24, 11, 1, 
2021/12/13, 54, 9, 24, 12, 1, 
2021/12/14, 38, 10, 17, 16, 1, 
2021/12/15, 43, 15, 17, 19, 1, 
2021/12/16, 52, 18, 16, 21, 1, 
2021/12/17, 53, 14, 25, 13, 1, 
2021/12/18, 55, 5, 21, 11, 1, 
2021/12/19, 26, 6, 21, 10, 1, 
2021/12/20, 39, 8, 18, 16, 1, 4
2021/12/21, 40, 16, 11, 22, 1, 5
2021/12/22, 54, 12, 25, 15, 1, 3
2021/12/23, 48, 11, 21, 20, 1, 4
2021/12/24, 43, 17, 20, 19, 1, 4
2021/12/25, 55, 19, 24, 12, 1, 3
2021/12/26, 55, 5, 24, 6, 1, 2
2021/12/27, 22, 5, 24, 8, 1, 2
2021/12/28, 28, 7, 25, 15, 1, 
2021/12/29, 35, 11, 18, 14, 2, 
2021/12/30, 46, 9, 28, 9, 1, 
2021/12/31, 32, 3, 27, 3, 1, 
2022/1/1, 16, 4, 27, 8, , 
2022/1/2, 23, 5, 24, 9, , 
2022/1/3, 32, 7, 23, 13, 1, 3
2021/7/2, 30, 13, 19, 9, 1, 
2021/7/3, 33, 7, 22, 6, 1, 
2021/7/4, 36, 7, 17, 6, 1, 
2021/7/5, 33, 7, 18, 9, 1, 
2021/7/6, 45, 12, 26, 7, 1, 
2021/7/7, 45, 21, 31, 8, 1, 
2021/7/8, 58, 8, 20, 10, , 
2021/7/9, 22, 6, 15, 4, , 
2021/7/10, 30, 9, 33, 5, , 
2021/7/11, 39, 9, 30, 4, , 
2021/7/12, 34, 14, 43, 6, 1, 
2021/7/13, 48, 12, 32, 6, 1, 
2021/7/14, 43, 9, 34, 8, 1, 
2021/7/15, 38, 11, 25, 9, , 
2021/7/16, 42, 11, 29, 8, , 
2021/7/17, 47, 12, 40, 7, , 
2021/7/18, 43, 11, 40, 6, , 
2021/7/19, 45, 18, 43, 9, 1, 
2021/7/20, 59, 22, 53, 10, 1, 
2021/7/21, 58, 17, 47, 9, 1, 
2021/7/22, 55, 10, 43, 7, 1, 
2021/7/23, 39, 11, 36, 6, 1, 
2021/7/24, 40, 8, 30, 6, 1, 
2021/7/25, 34, 7, 24, 5, 1, 
2021/7/26, 39, 15, 32, 2, , 
2021/7/27, 47, 8, 28, 1, , 
2021/7/28, 26, 10, 39, 7, , 
2021/7/29, 43, 14, 39, 7, , 
2021/7/30, 47, 12, 21, 8, 1, 
2021/7/31, 42, 8, 27, 5, 1, 
2021/8/1, 41, 12, 49, 5, 1, 
2021/8/2, 45, 10, 29, 6, 1, 1
2021/8/3, 38, 12, 31, 6, 1, 1
2021/8/4, 35, 15, 45, 8, 1, 1
2021/8/5, 42, 13, 51, 9, 1, 1
2021/8/6, 46, 13, 43, 8, 1, 2
2021/8/7, 43, 10, 13, 4, 1, 1
2021/8/8, 25, 4, 9, 1, , 1
2021/8/9, 22, 19, 24, 3, , 1
2021/8/10, 43, 4, 13, 4, , 1
2021/8/11, 34, 7, 34, 7, , 2
2021/8/12, 45, 5, 20, 1, , 1
2021/8/13, 37, 5, 21, 2, , 1
2021/8/14, 19, 3, 16, 1, , 1
2021/8/15, 16, 5, 21, 1, , 
2021/8/16, 15, 5, 20, 3, 1, 
2021/8/17, 24, 9, 14, 8, 1, 1
2021/8/18, 34, 10, 12, 7, 1, 2
2021/8/19, 26, 10, 34, 10, 1, 1
2021/8/20, 37, 11, 35, 9, 1, 2
2021/8/21, 44, 15, 30, 9, 1, 1
2021/8/22, 43, 20, 32, 7, 1, 1
2021/8/23, 46, 7, 27, 6, 1, 1
2021/8/24, 55, 19, 35, 9, 1, 
2021/8/25, 43, 20, 39, 8, 1, 
2021/8/26, 56, 16, 32, 5, 1, 
2021/8/27, 48, 13, 31, 6, 1, 
2021/8/28, 41, 24, 54, 5, 1, 
2021/8/29, 59, 12, 33, 9, 1, 
2021/8/30, 40, 18, 60, 7, 1, 
2021/8/31, 62, 11, 34, 8, , 
2021/9/1, 45, 10, 31, 4, 1, 
2021/9/2, 40, 6, 24, 2, 1, 2
2021/9/3, 32, 7, 21, 2, , 2
2021/9/4, 33, 5, 21, 1, , 2
2021/9/5, 28, 7, 22, 1, 1, 2
2021/9/6, 48, 5, 24, 2, 1, 2
2021/9/17, 38, 13, 26, 8, 1, 
2021/9/18, 44, 10, 22, 6, , 
2021/9/19, 29, 6, 31, 3, 1, 
2021/9/20, 29, 8, 34, 4, , 
2021/9/21, 44, 9, 35, 7, , 
2021/9/22, 42, 16, 46, 12, , 
2021/9/23, 43, 11, 39, 5, 1, 
2021/9/24, 47, 11, 43, 6, 1, 
2021/9/25, 54, 6, 24, 4, 1, 
2021/9/26, 23, 6, 22, 3, 1, 
2021/9/27, 27, 8, 25, 7, 1, 
2021/9/28, 27, 9, 27, 7, 1, 
2021/9/29, 35, 11, 32, 7, 1, 
2021/9/30, 41, 16, 42, 11, 1, 
2021/10/1, 49, 6, 37, 1, , 
2021/4/11, 27, 7, 37, 4, 1, 
2021/4/12, 50, 9, 38, 7, 1, 
2021/4/13, 48, 13, 30, 12, 1, 
2021/4/14, 33, 10, 28, 5, , 
2021/4/15, 28, 7, 35, 6, 1, 
2021/4/16, 47, 9, 35, 9, 1, 
2021/4/17, 37, 11, 33, 8, 1, 
2021/4/18, 37, 6, 39, 3, 1, 
2021/4/19, 40, 13, 45, 8, 1, 
2021/4/20, 53, 18, 59, 12, 1, 
2021/4/21, 65, 13, 46, 7, 1, 
2021/4/22, 59, 8, 41, 7, 1, 
2021/4/23, 44, 11, 42, 7, 1, 
2021/4/24, 50, 13, 46, 7, 1, 
2021/4/25, 49, 15, 50, 5, 1, 
2021/4/26, 53, 6, 37, 2, 1, 1
2021/4/27, 33, 9, 41, 8, 1, 2
2021/4/28, 48, 16, 50, 12, 1, 2
2021/4/29, 50, 15, 26, 6, , 2
2021/4/30, 34, 7, 46, 7, 1, 2
2021/5/1, 40, 12, 52, 7, 1, 2
2021/5/2, 52, 5, 42, 2, 1, 2
2021/5/3, 38, 6, 43, 3, 1, 
2021/5/4, 40, 9, 61, 7, 2, 
2021/5/5, 53, 15, 40, 8, 1, 
2021/5/6, 45, 7, 45, 6, 1, 
2021/5/7, 38, 14, 38, 11, 1, 
2021/5/8, 48, 25, 52, 11, 1, 
2021/5/9, 56, 31, 51, 5, 1, 
2021/5/10, 73, 11, 45, 6, 1, 
2021/5/11, 40, 10, 44, 7, 1, 
2021/5/12, 37, 6, 43, 7, 1, 
2021/5/13, 38, 12, 37, 9, 1, 
2021/5/14, 38, 11, 46, 8, 1, 
2021/5/15, 43, 12, 43, 8, 1, 
2021/5/16, 40, 11, 45, 6, 1, 
2021/5/17, 34, 18, 26, 11, 1, 2
2021/5/18, 41, 9, 26, 8, , 2
2021/5/19, 32, 8, 23, 10, , 2
2021/5/20, 26, 19, 36, 12, 1, 2
2021/5/21, 45, 12, 34, 8, 1, 2
2021/5/22, 32, 6, 31, 5, 1, 2
2021/5/23, 29, 8, 39, 4, 1, 
2021/5/24, 41, 15, 55, 9, 1, 
2021/5/25, 51, 15, 48, 7, 1, 
2021/5/26, 49, 15, 45, 10, 1, 
2021/5/27, 42, 11, 32, 10, 1, 
2021/5/28, 36, 13, 52, 10, 1, 
2021/5/29, 43, 16, 58, 6, 1, 
2021/5/30, 50, 10, 44, 6, 1, 2
2021/5/31, 38, 9, 49, 7, 1, 2
2021/6/1, 44, 8, 46, 7, 1, 2
2021/6/2, 35, 11, 57, 9, 1, 2
2021/6/3, 40, 11, 40, 9, 1, 2
2021/6/4, 40, 10, 32, 6, , 1
2021/6/5, 22, 7, 47, 8, 1, 1
2021/6/6, 33, 16, 46, 6, 1, 
2021/6/7, 41, 18, 62, 9, 1, 
2021/6/8, 60, 22, 70, 10, 1, 
2021/6/9, 73, 18, 52, 8, 1, 
2021/6/10, 64, 20, 58, 9, 1, 
2021/6/11, 57, 16, 44, 8, 1, 
2021/6/12, 52, 11, 29, 8, 1, 
2021/6/13, 43, 13, , 7, 1, 
2021/6/14, 51, 20, 49, 11, 1, 
2021/6/15, 65, 18, 55, 8, 1, 
2021/6/16, 52, 14, 39, 6, 1, 1
2021/6/17, 55, 9, 36, 6, 1, 1
2021/6/18, 40, 12, 57, 8, 1, 1
2021/6/19, 43, 9, 27, 8, , 1
2021/6/20, 31, 6, 29, 2, 1, 1
2021/6/21, 29, 8, 40, 7, 1, 2
2021/6/22, 43, 10, 29, 9, 1, 2
2021/6/23, 39, 8, 21, 6, , 
2021/6/24, 41, 10, 26, 6, , 
2021/6/25, 36, 8, 25, 7, , 
2021/6/26, 46, 8, 22, 6, , 
2021/6/27, 40, 8, 20, 6, 1, 
2021/6/28, 32, 7, 28, 6, , 
2021/6/29, 34, 6, 33, 2, , 
2021/6/30, 25, 8, 32, 6, , 
2021/7/1, 37, 7, 30, 10, , 
2021/1/5, 35, 10, 17, 14, 1, 3
2021/1/6, 36, 8, 23, 8, 1, 2
2021/1/7, 33, 8, 27, 11, 1, 3
2021/1/8, 34, 5, 21, 9, , 3
2021/1/9, 30, 6, 22, 12, 1, 3
2021/1/10, 32, 5, 24, 8, 1, 2
2021/1/11, 34, 8, 21, 9, 1, 
2021/1/12, 44, 10, 15, 11, 1, 
2021/1/13, 42, 18, 9, 21, 1, 
2021/1/14, 48, 14, 20, 21, 1, 
2021/1/15, 46, 19, 17, 17, 1, 
2021/1/16, 58, 20, 24, 12, , 
2021/1/17, 66, 8, 25, 8, , 
2021/1/18, 34, 9, 22, 15, , 
2021/1/19, 41, 7, 28, 11, 1, 
2021/1/20, 32, 5, 25, 18, 1, 
2021/1/21, 36, 16, 29, 18, 1, 
2021/1/22, 52, 22, 29, 27, 1, 
2021/1/23, 61, 18, 28, 7, , 
2021/1/24, 50, 8, 27, 1, , 
2021/1/25, 33, 9, 24, 15, 1, 
2021/1/26, 42, 10, 23, 17, 1, 
2021/1/27, 40, 10, 27, 10, 1, 
2021/1/28, 49, 12, 25, 6, , 2
2021/1/29, 41, 6, 29, 7, , 2
2021/1/30, 26, 5, 28, 9, 1, 2
2021/1/31, 24, 12, 29, 8, 1, 2
2021/2/1, 48, 14, 20, 19, , 4
2021/2/2, 54, 16, 26, 14, 1, 3
2021/2/3, 60, 5, 30, 10, 1, 2
2021/2/4, 21, 7, 30, 12, 1, 
2021/2/5, 35, 7, 28, 17, 1, 
2021/2/6, 41, 14, 28, 15, 1, 
2021/2/7, 48, 13, 39, 10, 1, 
2021/2/8, 50, 6, 27, 8, , 
2021/2/9, 26, 5, 25, 12, 1, 3
2021/2/10, 24, 9, 24, 17, 1, 3
2021/2/11, 37, 10, 36, 10, 1, 2
2021/2/12, 41, 15, 29, 16, 1, 4
2021/2/13, 56, 23, 34, 17, 1, 3
2021/2/14, 65, 18, 39, 12, 1, 2
2021/2/15, 66, 12, 28, 11, , 2
2021/2/16, 36, 6, 32, 6, , 2
2021/2/17, 23, 6, 30, 8, 1, 2
2021/2/18, 29, 4, 28, 7, , 2
2021/2/19, 15, 6, 28, 20, 1, 
2021/2/20, 37, 15, 29, 16, , 
2021/2/21, 49, 22, 40, 13, 1, 
2021/2/22, 68, 25, 48, 14, 1, 
2021/2/23, 76, 9, 32, 3, , 
2021/2/24, 40, 4, 31, 7, 1, 2
2021/2/25, 40, 8, 26, 15, 1, 3
2021/2/26, 35, 10, 33, 14, 1, 2
2021/2/27, 36, 8, 32, 4, 1, 2
2021/2/28, 24, 11, 30, 12, 1, 3
2021/3/1, 48, 11, 27, 15, 1, 2
2021/3/2, 52, 8, 28, 11, , 2
2021/3/3, 33, 6, 32, 3, , 2
2021/3/4, 33, 10, 33, 11, 1, 2
2021/3/5, 43, 13, 27, 16, 1, 2
2021/3/6, 44, 16, 34, 8, 1, 2
2021/3/7, 45, 6, 35, 5, , 2
2021/3/8, 41, 13, 28, 8, , 2
2021/3/9, 38, 8, 30, 9, , 2
2021/3/10, 37, 9, 32, 7, , 3
2021/3/11, 47, 12, 34, 17, 1, 
2021/3/12, 47, 20, 38, 16, 1, 
2021/3/13, 59, 11, 32, 5, , 
2021/3/14, 30, 5, 42, 5, 1, 
2021/3/15, 26, 7, 40, 8, , 
2021/3/16, 40, 14, 42, 13, 1, 2
2021/3/17, 53, 12, 38, 9, , 2
2021/3/18, 53, 13, 42, 11, 1, 2
2021/3/19, 46, 14, 40, 9, 1, 2
2021/3/20, 46, 14, 31, 7, 1, 2
2021/3/21, 42, 14, 27, 8, , 2
2021/3/22, 30, 6, 30, 7, , 2
2021/3/23, 42, 11, 35, 11, 1, 
2021/3/24, 43, 14, 47, 13, 1, 
2021/3/25, 53, 17, 37, 15, , 
2021/3/26, 51, 17, 47, 8, , 
2021/3/27, 49, 18, 44, 8, , 
2021/3/28, 55, 20, 38, 7, , 
2021/3/29, 57, 6, 27, 4, , 
2021/3/30, 27, , , , , 
2020/10/2, 48, 12, 43, 8, 1, 
2020/10/3, 42, 31, 31, 13, 1, 
2020/10/4, 61, 24, 37, 8, 1, 
2020/10/5, 74, 21, 24, 9, , 
2020/10/6, 67, 10, 25, 8, 1, 3
2020/10/7, 43, 10, 27, 8, 1, 2
2020/10/8, 33, 5, 26, 4, , 2
2020/10/9, 17, 5, 24, 3, , 2
2020/10/10, 24, 6, 25, 3, , 1
2020/10/11, 19, 4, 27, 1, , 1
2020/10/12, 28, 4, 24, 4, , 2
2020/10/13, 29, 7, 22, 5, 1, 2
2020/10/14, 28, 11, 26, 9, 1, 2
2020/10/15, 42, 7, 24, 6, , 2
2020/10/16, 36, 5, 28, 3, 1, 2
2020/10/17, 31, 8, 19, 5, , 2
2020/10/18, 28, 4, 27, 3, 1, 
2020/10/19, 31, 9, 14, 11, 1, 
2020/10/20, 42, 9, 31, 10, 1, 
2020/10/21, 46, 9, 31, 9, 1, 
2020/10/22, 39, 16, 24, 14, 1, 
2020/10/23, 50, 10, 12, 14, , 
2020/10/24, 30, 7, 23, 9, , 
2020/10/25, 32, 6, 30, 11, , 
2020/10/26, 45, 16, 29, 13, 1, 
2020/10/27, 38, 12, 32, 11, 1, 
2020/10/28, 45, 16, 31, 12, 1, 
2020/10/29, 50, 11, 31, 7, , 
2020/10/30, 52, 6, 27, 7, 1, 
2020/10/31, 30, 8, 27, 11, 1, 2
2020/11/1, 40, 12, 29, 8, 1, 3
2020/11/2, 49, 23, 15, 12, 1, 3
2020/11/3, 66, 7, 19, 6, 1, 2
2020/11/4, 36, 5, 20, 7, 1, 2
