date, pm25, pm10, o3, no2, so2, co
2023/10/2, 42, 8, 34, 3, , 1
2023/10/3, 22, 7, 33, 5, 1, 1
2023/10/4, 29, 8, 44, 9, 4, 2
2023/10/5, 33, 12, 33, 5, 1, 2
2023/10/6, 32, 6, 30, 3, , 1
2023/10/7, 18, 5, 30, 4, , 2
2023/10/8, 23, 7, 27, 3, , 
2023/10/9, 21, 7, 29, 4, 1, 3
2023/10/10, 17, 4, 36, 4, , 2
2023/10/11, 12, 10, 34, 5, , 2
2023/10/12, 31, 7, 34, 4, , 2
2023/10/13, 27, 6, 35, 5, , 2
2023/10/14, 26, 10, 35, 6, 1, 3
2023/10/15, 35, 8, 44, 4, 1, 3
2023/10/16, 36, 16, 50, 11, 6, 3
2023/10/17, 52, 17, 40, 8, 5, 2
2023/10/18, 52, 13, 41, 8, 2, 2
2023/10/19, 46, 19, 46, 12, 3, 3
2023/10/20, 59, 18, 29, 11, 2, 2
2023/10/21, 49, 4, 26, 3, , 2
2023/10/22, 17, 3, 14, 2, , 
2023/10/23, 17, , , , , 
2023/7/2, 18, 13, 41, 10, 3, 2
2023/7/3, 39, 20, 44, 17, 3, 3
2023/7/4, 50, 28, 63, 15, 11, 3
2023/7/5, 67, 14, 32, 13, 1, 3
2023/7/6, 35, 22, 64, 17, 5, 3
2023/7/7, 55, 22, 46, 11, 4, 4
2023/7/8, 50, 31, 27, 8, 3, 2
2023/7/9, 55, 19, 24, 12, 1, 3
2023/7/10, 35, 25, 34, 13, 3, 2
2023/7/11, 45, 23, 32, 13, 2, 2
2023/7/12, 50, 26, 24, 11, 2, 1
2023/7/13, 56, 20, 14, 14, 6, 2
2023/7/14, 43, 19, 14, 9, 1, 3
2023/7/15, 39, 13, 15, 5, 1, 2
2023/7/16, 31, 12, 19, 4, 1, 1
2023/7/17, 26, 15, 38, 8, 6, 2
2023/7/18, 37, 27, 54, 13, 7, 3
2023/7/19, 58, 16, 25, 9, 3, 1
2023/7/20, 41, 8, 41, 6, 15, 2
2023/7/21, 51, 13, 46, 6, 1, 2
2023/7/22, 43, 11, 39, 6, 2, 2
2023/7/23, 35, 11, 34, 5, 4, 2
