date, pm25, pm10, o3, no2, so2, co
2022/5/2, 32, 9, 41, 11, 2, 3
2022/5/3, 22, 11, 52, 7, 1, 3
2022/5/4, 29, 16, 53, 8, 1, 3
2022/5/5, 47, 21, 68, 11, 3, 4
2022/5/6, 58, 15, 46, 13, 2, 3
2022/5/7, 43, 12, 39, 10, 2, 4
2022/5/8, 35, 10, 42, 6, 2, 2
2022/5/9, 24, 9, 31, 9, 2, 2
2022/5/10, 23, 9, 43, 8, 1, 2
2022/5/11, 23, 14, 57, 16, 4, 47
2022/5/12, 39, 15, 27, 16, 2, 3
2022/5/13, 37, 7, 19, 16, 1, 3
2022/5/14, 17, 10, 32, 10, 1, 77
2022/5/15, 18, 11, 38, 3, 1, 59
2022/5/16, 25, , , , , 
2022/4/2, 17, 10, 42, 7, 2, 2
2022/4/3, 31, 10, 33, 8, 1, 2
2022/4/4, 24, 3, 34, 7, , 2
2022/4/5, 9, 7, 36, 10, 1, 2
2022/4/6, 20, 17, 50, 19, 2, 3
2022/4/7, 37, 24, 44, 15, 1, 3
2022/4/8, 56, 18, 50, 15, 3, 3
2022/4/9, 43, 20, 57, 15, 1, 3
2022/4/10, 52, 27, 71, 13, 2, 3
2022/4/11, 60, 25, 43, 15, 2, 3
2022/4/12, 60, 23, 35, 13, 3, 2
2022/4/13, 52, 20, 41, 17, 3, 3
2022/4/14, 48, 11, 36, 10, 2, 3
2022/4/15, 25, 4, 27, 9, 1, 3
2022/4/16, 9, 8, 33, 8, 2, 4
2022/4/17, 18, 14, 37, 11, 2, 3
2022/4/18, 36, 16, 28, 16, 2, 3
2022/4/19, 39, 14, 45, 16, 2, 3
2022/4/20, 32, 22, 38, 13, 1, 3
2022/4/21, 56, 25, 38, 20, 3, 3
2022/4/22, 61, 13, 39, 20, 4, 3
2022/4/23, 34, 33, 71, 29, 4, 6
2022/4/24, 70, 18, 49, 7, 1, 3
2022/4/25, 43, 20, 49, 17, 3, 4
2022/4/26, 50, 15, 25, 15, 2, 3
2022/4/27, 27, 12, 32, 9, 1, 3
2022/4/28, 22, 16, 41, 8, 1, 2
2022/4/29, 31, 8, 37, 5, 1, 45
2022/4/30, 21, 6, 42, 5, 1, 2
2022/5/1, 18, 13, 33, 10, 2, 3
2022/3/2, 50, 15, 40, 14, 2, 3
2022/3/3, 39, 18, 39, 13, 2, 4
2022/3/4, 43, 14, 34, 15, 2, 4
2022/3/5, 38, 23, 50, 16, 2, 4
2022/3/6, 50, 5, 38, 3, 1, 2
2022/3/7, 3, 10, 37, 15, 2, 3
2022/3/8, 25, 11, 32, 13, 1, 2
2022/3/9, 32, 14, 35, 12, 1, 3
2022/3/10, 37, 15, 38, 23, 3, 4
2022/3/11, 44, 21, 54, 19, 2, 3
2022/3/12, 54, 27, 59, 29, 2, 5
2022/3/13, 65, 28, 47, 15, 2, 4
2022/3/14, 64, 16, 37, 12, 2, 4
2022/3/15, 37, 13, 36, 15, 1, 3
2022/3/16, 36, 12, 38, 20, 2, 3
2022/3/17, 30, 20, 41, 21, 4, 4
2022/3/18, 44, 6, 34, 7, 1, 3
2022/3/19, 16, 6, 33, 13, 2, 4
2022/3/20, 18, 5, 36, 8, 1, 3
2022/3/21, 17, 9, 33, 11, 2, 3
2022/3/22, 22, 5, 31, 10, 1, 2
2022/3/23, 16, 12, 33, 12, 1, 3
2022/3/24, 41, 17, 34, 20, 1, 4
2022/3/25, 53, 21, 39, 28, 1, 4
2022/3/26, 58, 17, 41, 10, 1, 3
2022/3/27, 38, 9, 39, 6, 1, 2
2022/3/28, 16, 10, 40, 7, 2, 3
2022/3/29, 23, 14, 31, 15, 1, 3
2022/3/30, 39, 17, 36, 18, 2, 3
2022/3/31, 40, 15, 38, 13, 1, 3
2022/4/1, 35, 6, 39, 7, 1, 2
2022/2/2, 27, 12, 33, 24, 1, 4
2022/2/3, 33, 17, 29, 33, 3, 6
2022/2/4, 50, 8, 28, 20, 3, 4
2022/2/5, 28, 10, 31, 17, 1, 5
2022/2/6, 28, 6, 31, 10, 1, 3
2022/2/7, 16, 7, 29, 17, 1, 3
2022/2/8, 16, 9, 25, 17, 2, 3
2022/2/9, 28, 9, 30, 12, 2, 3
2022/2/10, 24, 9, 24, 16, 1, 3
2022/2/11, 27, 7, 31, 6, 1, 2
2022/2/12, 21, 12, 29, 21, 1, 4
2022/2/13, 34, 13, 30, 20, 1, 5
2022/2/14, 42, 15, 32, 13, 1, 4
2022/2/15, 43, 20, 20, 31, 3, 6
2022/2/16, 52, 16, 34, 19, 2, 4
2022/2/17, 42, 5, 31, 15, 1, 4
2022/2/18, 15, 4, 32, 14, 1, 4
2022/2/19, 11, 14, 19, 30, 4, 5
2022/2/20, 36, 10, 33, 10, 1, 3
2022/2/21, 25, 6, 34, 7, 1, 3
2022/2/22, 13, 8, 30, 17, 1, 3
2022/2/23, 20, 6, 34, 9, 1, 3
2022/2/24, 16, 5, 35, 6, 1, 2
2022/2/25, 10, 9, 31, 21, 2, 3
2022/2/26, 23, 13, 40, 18, 2, 4
2022/2/27, 31, 14, 45, 10, 1, 3
2022/2/28, 35, 11, 38, 19, 2, 4
2022/3/1, 29, 20, 37, 26, 2, 4
2022/1/4, 24, 7, 25, 16, 1, 5
2022/1/5, 24, 3, 28, 4, 1, 2
2022/1/6, 11, 8, 23, 21, 1, 3
2022/1/7, 28, 10, 27, 17, 1, 3
2022/1/8, 33, 11, 26, 25, 2, 6
2022/1/9, 36, 14, 23, 27, 2, 6
2022/1/10, 48, 10, 28, 11, 1, 3
2022/1/11, 29, 13, 19, 23, 1, 4
2022/1/12, 38, 4, 28, 16, 1, 3
2022/1/13, 13, 6, 27, 17, 1, 3
2022/1/14, 23, 4, 29, 11, 1, 3
2022/1/15, 13, 6, 28, 20, 1, 4
2022/1/16, 14, 13, 24, 24, 1, 4
2022/1/17, 41, 12, 18, 29, 1, 5
2022/1/18, 46, 4, 28, 10, 1, 3
