date, pm25, pm10, no2, so2
2020/7/2, 74, , 8, 1
2020/7/3, 63, , 6, 1
2020/7/4, 54, , 7, 1
2020/7/5, 42, , 7, 1
2020/7/6, 44, , 7, 1
2020/7/7, 43, , 8, 2
2020/7/8, 66, , 10, 3
2020/7/9, 66, , 4, 2
2020/7/10, 37, , 17, 2
2020/7/11, 53, , , 1
2020/7/12, 39, , , 2
2020/7/13, 102, , , 1
2020/7/14, 35, , 6, 1
2020/7/15, 54, , 11, 1
2020/7/16, 60, , , 2
2020/7/17, 68, , , 2
2020/7/18, 76, , , 2
2020/7/19, 73, , , 2
2020/7/20, 77, 28, , 3
2020/7/21, 75, 32, , 2
2020/9/24, 110, 38, 11, 2
2020/9/25, 126, 41, 13, 2
2020/6/26, 70, 24, 5, 1
2020/6/27, 48, , 9, 1
2020/6/28, 76, , 8, 2
2020/6/29, 99, , 8, 1
2020/6/30, 55, , 7, 2
2020/7/1, 70, , 8, 1
2020/1/2, 419, , 3, 
2020/1/3, 548, , 7, 1
2020/1/4, 77, , , 
2020/1/6, 32, , 32, 6
2020/1/7, 73, , 23, 4
2020/1/8, 58, , 29, 6
2020/1/9, 385, , 32, 7
2020/1/10, 815, , 17, 4
2020/1/11, 491, , 15, 6
2020/1/12, 46, , 22, 5
2020/1/13, 66, , 23, 4
2020/1/14, 73, , 20, 3
2020/1/15, 58, , 17, 4
2020/1/16, 59, , 14, 2
2020/1/17, 40, , 14, 5
2020/1/18, 35, , 12, 1
2020/1/19, 45, , 13, 2
2020/1/20, 30, , 11, 1
2020/1/21, 17, , 14, 3
2020/1/22, 40, , 12, 3
2020/1/23, 44, , 19, 7
2020/1/24, 48, , 18, 5
2020/1/25, 59, , 14, 7
2020/1/26, 61, , 12, 2
2020/1/27, 43, , 18, 4
2020/1/28, 38, , 17, 2
2020/1/29, 25, , 18, 5
2020/1/30, 54, , 18, 7
2020/1/31, 104, , 21, 
2020/2/1, 24, , 12, 
2020/2/2, 52, , 18, 
2020/2/3, 66, , 16, 
2020/2/4, 56, , 5, 
2020/2/5, 14, , 3, 3
2020/2/6, 8, , 6, 1
2020/2/7, 97, , 25, 8
2020/2/8, 170, , 27, 7
2020/2/9, 72, , 21, 4
2020/2/10, 65, , 11, 3
2020/2/11, 44, , 13, 8
2020/2/12, 52, , 5, 2
2020/2/13, 51, , 13, 3
2020/2/14, 59, , 13, 2
2020/2/15, 46, , 17, 3
2020/2/16, 72, , 24, 6
2020/2/17, 94, , 25, 4
2020/2/18, 71, , 23, 5
2020/2/19, 65, , 12, 2
2020/2/20, 67, , 18, 4
2020/2/21, 83, , 9, 1
2020/2/22, 31, , 16, 3
2020/2/23, 53, , 16, 4
2020/2/24, 78, , 8, 4
2020/2/25, 41, , 17, 3
2020/2/26, 57, , 13, 2
2020/2/27, 48, , 12, 3
2020/2/28, 45, , 15, 3
2020/2/29, 61, , 22, 6
2020/3/1, 65, , 16, 4
2020/3/2, 81, , 10, 2
2020/3/3, 43, , 6, 1
2020/3/4, 41, , 5, 2
2020/3/5, 40, , 10, 4
2020/3/6, 54, , 11, 1
2020/3/7, 47, , 17, 5
2020/3/8, 65, , 10, 3
2020/3/9, 57, , 12, 3
2020/3/10, 67, , 9, 2
2020/3/11, 49, , 12, 2
2020/3/12, 51, , 19, 4
2020/3/13, 62, , 20, 3
2020/3/14, 96, , 16, 
2020/3/15, 811, , , 
2020/3/18, 57, , , 
2020/3/20, 30, , 9, 2
2020/3/21, 48, , 6, 1
2020/3/22, 66, , 6, 1
2020/3/23, 60, , 10, 2
2020/3/24, 557, 555, 18, 3
2020/3/25, 814, 35, 11, 2
2019/10/2, 34, , 9, 6
2019/10/3, 45, , 11, 6
2019/10/4, 46, , 10, 6
2019/10/5, 34, , 9, 6
2019/10/6, 40, , 13, 6
2019/10/7, 37, , 7, 6
2019/10/8, 33, , 8, 6
2019/10/9, 25, , 12, 7
2019/10/10, 45, , 19, 7
2019/10/11, 55, , 15, 8
2019/10/12, 52, , 9, 6
2019/10/13, 38, , 9, 6
2019/10/14, 44, , 10, 6
2019/10/15, 40, , 12, 6
2019/10/16, 73, , 10, 6
2019/10/17, 41, , 11, 6
2019/10/18, 30, , 12, 7
2019/10/19, 29, , 11, 6
2019/10/20, 29, , 11, 6
2019/10/21, 17, , 10, 6
2019/10/22, 122, , 14, 6
2019/10/23, 36, , 13, 6
2019/10/24, 41, , 11, 7
2019/10/25, 33, , 10, 7
2019/10/26, 42, , 14, 7
2019/10/27, 56, , 17, 7
2019/10/28, 72, , 20, 7
2019/10/29, 70, , 15, 7
2019/10/30, 65, , 16, 7
2019/10/31, 60, , 13, 6
2019/11/1, 37, , 14, 7
2019/11/2, 40, , 12, 6
2019/11/3, 27, , 7, 6
2019/11/4, 26, , 13, 6
2019/11/5, 32, , 12, 6
2019/11/6, 36, , 11, 6
2019/11/7, 38, , 10, 6
2019/11/8, 28, , 10, 6
2019/11/9, 30, , 9, 7
2019/11/10, 28, , 13, 7
2019/11/11, 86, , 18, 7
2019/11/12, 45, , 9, 6
2019/11/13, 98, , 20, 6
2019/11/14, 129, , 20, 7
2019/11/15, 24, , 14, 7
2019/11/16, 37, , 20, 7
2019/11/17, 56, , 28, 7
2019/11/18, 61, , 19, 6
2019/11/19, 33, , 25, 8
2019/11/20, 74, , 21, 7
2019/11/21, 65, , 22, 8
2019/11/22, 617, , 17, 8
2019/11/23, 33, , 17, 6
2019/11/24, 70, , 12, 6
2019/11/25, 44, , 24, 7
2019/11/26, 154, 95, , 7
2019/11/27, 128, , 24, 2
2019/11/28, 87, , 15, 4
2019/11/29, 72, , 21, 4
2019/11/30, 83, , 32, 7
2019/12/1, 106, , 12, 3
2019/12/2, 51, , 17, 3
2019/12/3, 49, , 28, 6
2019/12/4, 63, , 27, 6
2019/12/5, 54, , 31, 6
2019/12/6, 65, , 30, 7
2019/12/7, 64, , 22, 7
2019/12/8, 73, , 21, 5
2019/12/9, 70, , 23, 7
2019/12/10, 70, , 19, 4
2019/12/11, 62, , 11, 2
2019/12/12, 37, , 20, 6
2019/12/13, 60, , 26, 8
2019/12/14, 73, , 32, 11
2019/12/15, 73, , 25, 8
2019/12/16, 79, , 15, 3
