date, pm25, pm10, no2, so2, co
2014/7/2, 74, 29, 18, 3, 4
2014/7/3, 74, 33, 15, 2, 3
2014/7/4, 64, 15, 18, 2, 4
2014/7/5, 44, 17, 18, 3, 4
2014/7/6, 40, 19, 8, 1, 3
2014/7/7, 43, 19, 23, 3, 4
2014/7/8, 40, 33, 21, 4, 4
2014/7/9, 57, 20, 13, 3, 3
2014/7/10, 40, 11, 8, , 2
2014/7/11, 15, 24, 21, 3, 5
2014/7/12, 51, 42, 25, 7, 6
2014/7/13, 85, 44, 17, 4, 6
2014/7/14, 85, 31, 22, 3, 4
2014/7/15, 56, 30, 26, 5, 6
2014/7/16, 66, 37, 18, 7, 4
2014/7/17, 73, 34, 20, 9, 3
2014/7/18, 68, 37, 24, 7, 4
2014/7/19, 75, 24, 17, 4, 3
2014/7/20, 57, 29, 12, 2, 4
2014/7/21, 62, 29, 11, 3, 3
2014/7/22, 64, 41, 19, 6, 3
2014/7/23, 86, 31, 18, 6, 3
2014/7/24, 63, 34, 22, 6, 3
2014/7/25, 65, 30, 15, 3, 3
2014/7/26, 62, 41, 18, 6, 5
2014/7/27, 78, 38, 9, 7, 3
2014/7/28, 73, 15, 12, 1, 4
2014/7/29, 40, 24, 6, 2, 3
2014/7/30, 62, 25, 8, 2, 3
2014/7/31, 53, 17, 15, 3, 3
2014/8/1, 42, 22, 13, 4, 3
2014/8/2, 42, 20, 15, 3, 3
2014/8/3, 33, 12, 10, 2, 4
2014/8/4, 27, 10, 10, 2, 3
2014/8/5, 22, 11, 8, 2, 2
2014/8/6, 20, 13, 10, 2, 3
2014/8/7, 20, 18, 15, 3, 3
2014/8/8, 31, 14, 10, 2, 2
2014/8/9, 31, 9, 9, 1, 1
2014/8/10, 12, 15, 5, 1, 2
2014/8/11, 20, 16, 20, 4, 4
2014/8/12, 38, 19, 16, 2, 4
2014/8/13, 45, 29, 14, 2, 4
2014/8/14, 66, 31, 11, 2, 4
2014/8/15, 59, 20, 10, 2, 3
2014/8/16, 37, 24, 12, 2, 3
2014/8/17, 41, 17, 11, 3, 4
2014/8/18, 40, 18, 18, 3, 3
2014/8/19, 36, 13, 13, 3, 3
2014/8/20, 30, 14, 13, 4, 2
2014/8/21, 24, 14, 23, 4, 3
2014/8/22, 28, 14, 21, 4, 4
2014/8/23, 33, 11, 14, 3, 3
2014/8/24, 27, 10, 9, 2, 3
2014/8/25, 21, 22, 18, 4, 5
2014/8/26, 48, 24, 7, 4, 4
2014/8/27, 51, 13, 8, 2, 3
2014/8/28, 33, 15, 12, 2, 3
2014/8/29, 22, 14, 13, 2, 3
2014/8/30, 34, 16, 12, , 3
2014/8/31, 37, 14, 5, 2, 3
