date, pm25, pm10, o3, no2, so2, co
2023/11/2, 40, 19, 47, 7, 2, 
2023/11/3, 54, 23, 48, 5, 1, 
2023/11/4, 60, 26, 42, 5, 1, 
2023/11/5, 66, 19, 44, 3, 1, 
2023/11/6, 52, 10, 37, 1, , 
2023/11/7, 18, 13, 36, 2, 1, 
2023/11/8, 32, 9, 35, 2, 1, 
2023/11/9, 22, 11, 30, 6, 1, 
2023/11/10, 30, 8, 30, 4, 1, 
2023/11/11, 22, 3, 27, 1, , 
2023/11/12, 10, 7, 33, 2, 1, 
2023/11/13, 14, 3, 30, 1, 2, 
2023/11/14, 12, 7, 31, 5, 1, 
2023/11/15, 19, 10, 30, 6, 2, 
2023/11/16, 28, 10, 38, 2, , 
2023/11/17, 21, 6, 32, 3, 1, 
2023/11/18, 17, 6, 31, 2, 2, 
2023/11/19, 19, 11, 31, 2, , 
2023/11/20, 38, , , , , 
2023/10/2, 36, 8, 36, 1, 1, 
2023/10/3, 19, 8, 38, 2, 1, 
2023/10/4, 18, 12, 49, 3, 1, 
2023/10/5, 35, 10, 39, 2, 2, 
2023/10/6, 26, 7, 34, 1, 1, 
2023/10/7, 15, 7, 34, 1, , 
2023/10/8, 13, 7, 32, 1, 1, 
2023/10/9, 16, 7, 27, 2, 1, 
2023/10/10, 18, 6, 27, 1, 1, 
2023/10/11, 14, 11, 32, 1, 1, 
2023/10/12, 25, 8, 35, 1, 1, 
2023/10/13, 18, 7, 40, 1, 1, 
2023/10/14, 18, 9, 37, 2, 1, 
2023/10/15, 24, 12, 46, 3, 2, 
2023/10/16, 34, 15, 53, 5, 2, 
2023/10/17, 41, 16, 47, 5, 3, 
2023/10/18, 41, 11, 45, 3, 1, 
2023/10/19, 33, 17, 47, 4, 1, 
2023/10/20, 48, 14, 31, 3, 3, 
2023/10/21, 42, 6, 30, 2, 1, 
2023/10/22, 14, 8, 40, 2, 1, 
2023/10/23, 20, 13, 44, 5, 2, 
2023/10/24, 34, 14, 44, 4, 1, 
2023/10/25, 35, 16, 49, 5, 2, 
2023/10/26, 46, 15, 48, 5, 2, 
2023/10/27, 39, 15, 44, 5, 1, 
2023/10/28, 41, 9, 33, 2, 1, 
2023/10/29, 25, 6, 32, 1, 1, 
2023/10/30, 10, 6, 31, 3, 1, 
2023/10/31, 15, 9, 32, 3, 1, 
2023/11/1, 19, 14, 41, 6, 2, 
2023/7/2, 15, 14, 46, 3, 1, 
2023/7/3, 33, 19, 39, 8, 2, 
2023/7/4, 44, 22, 50, 6, 2, 
2023/7/5, 50, 12, 32, 2, 1, 
2023/7/6, 27, 17, 64, 5, 1, 
2023/7/7, 39, 21, 48, 3, 1, 
2023/7/8, 47, 23, 23, 11, 1, 
2023/7/9, 44, 13, 21, 10, 1, 
2023/7/10, 20, 16, 37, 7, 1, 
