date, pm25, pm10, o3, no2, so2, co
2023/6/2, 34, 10, 40, 1, 1, 
2023/6/3, 27, 17, 46, 1, 1, 
2023/6/4, 54, 20, 61, 3, 1, 
2023/6/5, 58, 19, 52, 4, 1, 
2023/6/6, 60, 12, 39, 2, 1, 
2023/6/7, 40, 14, 46, 1, 1, 
2023/6/8, 43, 11, 46, 2, 1, 
2023/6/9, 38, 14, 42, 2, 1, 
2023/6/10, 47, 13, 38, 2, 1, 
2023/6/11, 43, 8, 36, 1, 1, 
2023/6/12, 25, 12, 36, 1, 1, 
2023/6/13, 39, 14, 30, 1, 1, 
2023/6/14, 44, 14, 29, 2, 1, 
2023/6/15, 47, 15, 51, 2, 1, 
2023/6/16, 54, 18, 64, 2, 1, 
2023/6/17, 58, 18, 62, 2, 1, 
2023/6/18, 58, 20, 43, 1, 1, 
2023/6/19, 60, 25, 57, 1, , 
2023/6/20, 72, 29, 49, 2, 3, 
2023/6/21, 72, 12, 38, 1, 1, 
2023/6/22, 38, 9, 45, 2, , 
2023/6/23, 30, 14, 46, 1, 1, 
2023/6/24, 43, 13, 45, 1, , 
2023/6/25, 41, , , , , 
2023/5/2, 53, 15, 60, 3, 1, 
2023/5/3, 53, 18, 53, 3, 4, 
2023/5/4, 60, 17, 30, 1, 1, 
2023/5/5, 53, 17, 35, 1, 6, 
2023/5/6, 47, 12, 28, 1, 7, 
2023/5/7, 36, 3, 35, 1, , 
2023/5/8, 8, 14, 45, 1, , 
2023/5/9, 47, 12, 51, 2, 1, 
2023/5/10, 46, 15, 66, 3, 1, 
2023/5/11, 53, 19, 79, 3, 1, 
2023/5/12, 63, 20, 49, 3, 3, 
2023/5/13, 61, 13, 40, 2, 1, 
2023/5/14, 41, 10, 42, 1, 1, 
2023/5/15, 30, 14, 54, 2, 1, 
2023/5/16, 50, 23, 65, 3, 1, 
2023/5/17, 64, 28, 64, 2, 1, 
2023/5/18, 73, 19, 39, 3, 1, 
2023/5/19, 53, 5, 33, 1, 1, 
2023/5/20, 17, 9, 44, 1, 1, 
