date, pm25, pm10, o3, no2, so2, co
2021/8/2, 27, 18, 10, 8, 12, 
2021/8/3, 36, 24, 9, 9, 14, 
2021/8/4, 42, 23, 10, 13, 15, 
2021/8/5, 45, 18, 11, 9, 13, 
2021/8/6, 41, 13, 10, 7, 10, 
2021/8/7, 29, 10, 4, 4, 5, 
2021/8/8, 17, 8, 2, 2, 3, 
2021/8/9, 13, , , , , 
2021/7/2, 27, 10, 3, 9, 5, 
2021/7/3, 19, 7, 4, 6, 4, 
2021/7/4, 15, 9, 4, 3, 5, 
2021/7/5, 18, 12, 6, 11, 8, 
2021/7/6, 26, 11, 5, 11, 8, 
2021/7/7, 27, 10, 4, 11, 5, 
2021/7/8, 19, 10, 4, 10, 6, 
2021/7/9, 19, 6, 3, 8, 2, 
2021/7/10, 11, 4, 3, 4, 3, 
2021/7/11, 11, 10, 5, 7, 6, 
2021/7/12, 20, 14, 7, 12, 10, 
2021/7/13, 32, 14, 7, 8, 10, 
2021/7/14, 32, 7, 4, 6, 5, 
2021/7/15, 18, 8, 5, 7, 5, 
2021/7/16, 19, 14, 9, 8, 12, 
2021/7/17, 37, 19, 11, 10, 15, 
2021/7/18, 44, 23, 14, 12, 20, 
2021/7/19, 54, 22, 15, 13, 20, 
2021/7/20, 55, 26, 16, 15, 23, 
2021/7/21, 60, 24, 16, 14, 21, 
2021/7/22, 58, 21, 10, 10, 16, 
2021/7/23, 48, 15, 6, 6, 9, 
2021/7/24, 31, 10, 8, 6, 9, 
2021/7/25, 28, 10, 7, 6, 9, 
2021/7/26, 28, 14, 10, 8, 13, 
2021/7/27, 39, 11, 7, 4, 6, 
2021/7/28, 21, 16, 9, 8, 9, 
2021/7/29, 30, 21, 9, 9, 13, 
2021/7/30, 41, 15, 7, 6, 8, 
2021/7/31, 27, 9, 5, 5, 6, 
2021/8/1, 20, 12, 11, 6, 8, 
2021/6/2, 22, 14, 9, 8, 12, 
2021/6/3, 36, 24, 11, 10, 16, 
2021/6/4, 47, 25, 8, 8, 9, 
2021/6/5, 31, 10, 6, 6, 7, 
2021/6/6, 23, 18, 10, 10, 14, 
2021/6/7, 42, 23, 13, 15, 20, 
2021/6/8, 56, 32, 19, 22, 28, 
2021/6/9, 69, 23, 12, 13, 19, 
2021/6/10, 55, 24, 13, 13, 21, 
2021/6/11, 57, 25, 15, 13, 20, 
