date, pm25, pm10, o3, no2, so2, co
2021/9/2, 35, 5, 24, 6, 1, 2
2021/9/3, 17, 7, 21, 5, 1, 2
2021/9/4, 21, 7, 26, 4, 1, 2
2021/9/5, 18, 7, 28, 1, 1, 1
2021/9/6, 19, 8, 20, 5, 1, 2
2021/9/7, 25, 8, 35, 4, 1, 1
2021/9/8, 26, 11, 29, 8, 1, 2
2021/9/9, 36, 9, 21, 9, , 2
2021/9/10, 29, 13, 48, 9, 2, 3
2021/9/11, 39, 20, 52, 6, 1, 2
2021/9/12, 47, 20, 37, 5, , 3
2021/9/13, 50, 19, 52, 7, 1, 3
2021/9/14, 51, 12, 28, 7, 1, 2
2021/9/15, 36, 11, 38, 4, 1, 2
2021/9/16, 35, 10, 30, 4, 1, 2
2021/9/17, 28, 12, 27, 9, 2, 3
2021/9/18, 33, 12, 23, 7, 1, 2
2021/9/19, 25, 6, 34, 2, 1, 2
2021/9/20, 19, 10, 36, 5, 1, 3
2021/9/21, 33, 13, 41, 5, , 2
2021/9/22, 40, 14, 27, 10, 1, 3
2021/9/23, 37, 15, 59, 6, 1, 2
2021/9/24, 41, 14, 51, 7, 1, 2
2021/9/25, 45, 9, 29, 3, 1, 2
2021/9/26, 26, 7, 18, 2, , 
2021/9/27, 23, , , , , 
2021/8/2, 33, 12, 26, 7, 1, 1
2021/8/3, 26, 14, 21, 7, 1, 1
2021/8/4, 24, 13, 57, 7, 1, 1
2021/8/5, 28, 10, 47, 7, 1, 2
2021/8/6, 24, 7, 32, 5, 1, 1
2021/8/7, 19, 7, 13, 3, 1, 1
2021/8/8, 13, 5, 10, 2, 1, 2
2021/8/9, 11, 27, 25, 4, 1, 2
2021/8/10, 43, 5, 29, 2, 1, 1
2021/8/11, 15, 6, 53, 4, 1, 1
2021/8/12, 21, 12, 33, 4, 1, 2
2021/8/13, 31, 5, 36, 2, 1, 
2021/8/14, 13, 3, 19, 3, 1, 
2021/8/15, 9, 2, 19, 2, 1, 1
2021/8/16, 9, 6, 18, 5, 1, 2
2021/8/17, 19, 10, 23, 10, 1, 2
2021/8/18, 24, 11, 13, 3, 1, 1
2021/8/19, 20, 7, 18, 4, 1, 1
2021/8/20, 15, 8, 22, 5, 1, 1
2021/8/21, 20, 10, 30, 9, 1, 2
2021/8/22, 26, 13, 26, 6, 1, 1
2021/8/23, 31, 16, 31, 6, 1, 2
2021/8/24, 35, 17, 45, 10, 1, 2
2021/8/25, 40, 22, 34, 10, 1, 2
2021/8/26, 43, 27, 69, 9, 1, 3
2021/8/27, 56, 19, 40, 7, 1, 2
2021/8/28, 44, 37, 105, 9, 2, 4
2021/8/29, 68, 21, 41, 3, 1, 2
2021/8/30, 48, 24, 58, 9, 1, 2
2021/8/31, 53, 14, 39, 5, , 2
2021/9/1, 39, 11, 29, 5, 1, 2
2021/7/2, 24, 6, 20, 11, 1, 2
2021/7/3, 20, 6, 29, 4, 1, 2
2021/7/4, 20, 3, 21, 2, 1, 1
2021/7/5, 9, 6, 24, 8, 1, 2
2021/7/6, 18, 22, 49, 19, 1, 4
2021/7/7, 55, 33, 38, 8, 1, 3
2021/7/8, 66, 9, 21, 5, 1, 1
2021/7/9, 23, 8, 17, 6, 1, 1
2021/7/10, 20, 15, 70, 6, 1, 2
2021/7/11, 39, 13, 54, 4, 1, 1
2021/7/12, 35, 13, 64, 8, 1, 2
2021/7/13, 36, 14, 40, 6, 1, 2
2021/7/14, 41, 12, 38, 4, 1, 1
2021/7/15, 32, 11, 27, 5, 1, 1
2021/7/16, 30, 11, 28, 8, 1, 1
2021/7/17, 30, 11, 37, 7, 1, 1
2021/7/18, 31, 12, 39, 6, 1, 1
2021/7/19, 27, 14, 49, 8, 1, 1
2021/7/20, 32, 14, 72, 9, 1, 1
2021/7/21, 35, 8, 53, 8, , 1
2021/7/22, 25, , 54, , , 
2021/7/27, 53, 9, 24, 3, 1, 1
2021/7/28, 25, 16, 37, 11, 1, 2
2021/7/29, 37, 13, 32, 10, 1, 
2021/7/30, 33, 10, 27, 10, 1, 1
2021/7/31, 26, , , , , 
2021/6/2, 29, 9, 39, 11, 1, 2
2021/6/3, 32, 12, 40, 9, 1, 2
2021/6/4, 37, 9, 33, 6, 1, 2
2021/6/5, 22, 6, 45, 4, 1, 2
2021/6/6, 17, 27, 18, 11, 1, 3
2021/6/7, 67, 15, 57, 18, 2, 3
2021/6/8, 52, 20, 91, 13, 1, 3
2021/6/9, 61, 20, 68, 6, 1, 3
2021/6/10, 63, 22, 77, 7, 2, 3
2021/6/11, 64, 15, 48, 8, 1, 2
2021/6/12, 48, 11, 35, 10, 1, 2
2021/6/13, 36, 14, 41, 8, 1, 2
2021/6/14, 45, 13, 30, 11, 1, 2
2021/6/15, 44, 14, 65, 9, 1, 2
2021/6/16, 44, 10, 25, 6, 1, 2
2021/6/17, 31, 8, 29, 4, 1, 1
2021/6/18, 25, 11, 58, 8, 1, 2
2021/6/19, 37, 8, 28, 8, 1, 2
2021/6/20, 29, 5, 32, 3, 1, 2
2021/6/21, 18, 9, 42, 6, 1, 2
2021/6/22, 30, 9, 41, 8, 2, 2
2021/6/23, 27, 10, 32, 5, , 
2021/6/24, 32, 11, 42, 6, 1, 2
2021/6/25, 34, 10, 38, 8, 1, 2
2021/6/26, 31, 9, 48, 5, 1, 2
2021/6/27, 27, 7, 42, 3, , 1
2021/6/28, 25, 7, 35, 4, 1, 2
2021/6/29, 22, 6, 43, 3, 1, 1
2021/6/30, 18, 10, 43, 4, 1, 2
2021/7/1, 30, 8, 36, 7, 1, 2
2021/5/2, 38, 6, 45, 3, 1, 2
2021/5/3, 23, 7, 45, 1, 1, 
2021/5/4, 24, 11, 58, 8, 1, 3
2021/5/5, 44, 12, 47, 6, 1, 3
2021/5/6, 41, 8, 48, 4, 1, 3
2021/5/7, 29, 13, 36, 13, 1, 3
2021/5/8, 45, 19, 46, 14, 1, 3
2021/5/9, 56, 29, 53, 4, 1, 2
2021/5/10, 69, 22, 52, 5, 1, 2
2021/5/11, 54, 11, 38, 7, 1, 2
2021/5/12, 38, 8, 42, 6, 1, 2
2021/5/13, 30, 11, 33, 7, 1, 2
2021/5/14, 37, 12, 57, 10, 1, 3
2021/5/15, 41, 10, 50, 8, 1, 2
2021/5/16, 36, 13, 43, 8, 1, 2
2021/5/17, 39, 11, 16, 6, , 2
2021/5/18, 29, 11, 25, 8, 1, 2
2021/5/19, 32, 7, 22, 9, , 3
2021/5/20, 26, 11, 32, 13, 1, 3
