date, pm25, pm10, o3, no2, so2, co
2021/6/1, 55, 15, 50, 20, 1, 3
2021/6/2, 56, 11, 35, 19, 1, 2
2021/6/3, 49, 7, 24, 16, 1, 2
2021/6/4, 30, 9, 37, 16, 1, 3
2021/6/5, 42, 10, 48, 10, 1, 2
2021/6/6, 45, 13, 52, 24, 2, 2
2021/6/7, 53, 20, 76, 20, 3, 4
2021/6/8, 68, 18, 79, 18, 1, 2
2021/6/9, 65, 22, 54, 18, 2, 3
2021/6/10, 68, 15, 30, 13, 1, 2
2021/6/11, 55, 12, 26, 13, 1, 2
2021/6/12, 49, 12, 34, 13, 1, 2
2021/6/13, 50, 12, 29, 14, 1, 2
2021/6/14, 45, 11, 31, 16, 1, 2
2021/6/15, 43, 8, 26, 18, 1, 2
2021/6/16, 36, 7, 36, 12, 1, 2
2021/6/17, 31, 10, 28, 21, 1, 3
2021/6/18, 38, , , , , 
2021/5/1, 62, 8, 42, 3, 1, 3
2021/5/2, 34, 11, 44, 9, 1, 3
2021/5/3, 45, 13, 44, 11, 1, 3
2021/5/4, 48, 13, 41, 6, 1, 2
2021/5/5, 40, 14, 45, 17, 1, 3
2021/5/6, 47, 14, 32, 22, 1, 3
2021/5/7, 51, 13, 37, 11, 1, 3
2021/5/8, 46, 28, 66, 8, 1, 2
2021/5/9, 75, 14, 41, 20, 1, 3
2021/5/10, 51, 11, 42, 15, 1, 2
2021/5/11, 47, 11, 39, 15, 1, 2
2021/5/12, 39, 6, 49, 13, 1, 2
2021/5/13, 26, 13, 41, 27, 1, 3
2021/5/14, 48, 10, 33, 14, 1, 2
2021/5/15, 34, 7, 27, 9, 1, 2
2021/5/16, 24, 18, 22, 9, 1, 2
2021/5/17, 50, 15, 27, 22, 1, 4
2021/5/18, 49, 18, 20, 29, 1, 5
2021/5/19, 58, 18, 16, 17, 1, 3
2021/5/20, 50, 15, 41, 10, 1, 2
2021/5/21, 41, 13, 48, 12, 1, 3
2021/5/22, 51, 15, 50, 13, 1, 3
2021/5/23, 54, 14, 43, 18, 1, 3
2021/5/24, 49, 15, 46, 12, 1, 3
2021/5/25, 48, 21, 41, 18, 1, 2
2021/5/26, 66, 12, 35, 20, 1, 3
2021/5/27, 40, 13, 45, 17, 1, 4
2021/5/28, 48, 17, 50, 12, 1, 3
2021/5/29, 57, 14, 50, 9, 1, 3
2021/5/30, 51, 12, 47, 16, 1, 2
2021/5/31, 46, 15, 52, 15, 1, 2
2021/4/10, 30, 9, 35, 11, 1, 2
2021/4/11, 40, 11, 38, 20, 1, 2
2021/4/12, 46, 11, 31, 15, 1, 2
2021/4/13, 35, 10, 34, 11, 1, 2
2021/4/14, 36, 9, 38, 17, 1, 2
2021/4/15, 34, 9, 34, 21, 1, 2
2021/4/16, 38, 6, 28, 17, 1, 3
2021/4/17, 27, 13, 36, 5, 1, 2
2021/4/18, 45, 14, 40, 16, 1, 3
2021/4/19, 53, 17, 50, 24, 2, 4
2021/4/20, 58, 24, 66, 23, 1, 4
2021/4/21, 73, 12, 42, 18, 1, 2
2021/4/22, 51, 15, 37, 17, 1, 2
2021/4/23, 50, 14, 37, 15, 1, 2
2021/4/24, 48, 11, 42, 7, 1, 2
2021/4/25, 43, 8, 38, 7, 1, 2
2021/4/26, 34, 9, 37, 15, 1, 2
2021/4/27, 35, 12, 30, 19, 1, 2
2021/4/28, 43, 5, 27, 11, , 2
2021/4/29, 21, 16, 47, 17, 1, 4
2021/4/30, 54, 20, 47, 10, 1, 3
2021/3/1, 35, 5, 30, 12, 1, 3
2021/3/2, 24, 7, 34, 7, , 3
2021/3/3, 28, 10, 28, 24, 1, 3
2021/3/4, 42, 3, 24, 12, , 2
2021/3/5, 21, 10, 35, 12, 1, 2
2021/3/6, 39, 9, 33, 6, 1, 2
2021/3/7, 34, 6, 31, 7, , 2
2021/3/8, 27, 7, 22, 22, 1, 4
2021/3/9, 32, 13, 38, 15, , 3
2021/3/10, 48, 10, 24, 23, 1, 3
2021/3/11, 35, 12, 27, 27, 1, 4
2021/3/12, 49, 5, 35, 7, , 3
2021/3/13, 22, 12, 35, 9, 1, 3
2021/3/14, 50, 22, 38, 23, 2, 5
2021/3/15, 72, 29, 15, 37, 1, 6
2021/3/16, 90, 20, 36, 9, 1, 4
2021/3/17, 61, 15, 31, 15, 1, 3
2021/3/18, 58, 12, 29, 22, 1, 3
2021/3/19, 52, 13, 37, 18, 1, 3
2021/3/20, 51, 8, 29, 8, , 2
2021/3/21, 28, 12, 30, 11, 1, 3
2021/3/22, 48, 11, 35, 16, 1, 4
2021/3/23, 49, 13, 37, 25, 1, 3
2021/3/24, 53, 11, 23, 31, 1, 3
2021/3/25, 48, 19, 42, 18, 1, 4
2021/3/26, 70, 20, 46, 16, 1, 3
2021/3/27, 69, 14, 37, 15, 1, 3
2021/3/28, 52, 16, 32, 16, 1, 4
2021/3/29, 57, , , , , 
2021/2/1, 53, 14, 32, 9, 1, 3
2021/2/2, 48, 11, 30, 8, 1, 3
2021/2/3, 47, 12, 31, 13, 1, 3
2021/2/4, 47, 10, 32, 18, 1, 4
2021/2/5, 45, 12, 28, 24, 3, 4
2021/2/6, 51, 22, 32, 16, 2, 4
2021/2/7, 73, 16, 26, 11, 1, 4
2021/2/8, 50, 7, 25, 12, 1, 4
2021/2/9, 33, 12, 30, 22, 1, 4
2021/2/10, 49, 22, 36, 21, 1, 5
2021/2/11, 73, 24, 20, 34, 1, 5
2021/2/12, 79, 17, 33, 29, 1, 4
2021/2/13, 60, 10, 31, 20, 1, 3
2021/2/14, 42, 8, 35, 13, 1, 3
2021/2/15, 33, 8, 31, 6, 1, 2
2021/2/16, 34, 8, 30, 6, 1, 2
2021/2/17, 37, 7, 27, 7, 1, 3
2021/2/18, 29, 8, 29, 14, 2, 4
2021/2/19, 35, 14, 33, 20, 1, 4
2021/2/20, 54, 19, 41, 17, 1, 3
2021/2/21, 64, 16, 38, 19, 1, 4
2021/2/22, 56, 13, 33, 10, 1, 4
2021/2/23, 50, 8, 32, 8, 1, 3
2021/2/24, 35, 8, 23, 26, 1, 4
2021/2/25, 41, 7, 29, 21, 1, 3
2021/2/26, 31, 8, 35, 4, , 4
2021/2/27, 35, 9, 31, 16, 2, 3
2021/2/28, 39, 9, 30, 18, 1, 3
2021/1/4, 38, 14, 25, 21, 2, 5
2021/1/5, 55, 9, 28, 10, 1, 3
2021/1/6, 37, 6, 26, 8, 1, 2
2021/1/7, 28, 5, 28, 4, , 2
2021/1/8, 23, 6, 29, 6, 1, 2
2021/1/9, 27, 8, 28, 6, 1, 3
2021/1/10, 40, 10, 20, 16, 2, 5
2021/1/11, 44, 13, 13, 26, 1, 5
2021/1/12, 59, 18, 22, 25, 2, 6
2021/1/13, 64, 27, 15, 29, 3, 6
2021/1/14, 80, 31, 20, 36, 1, 6
2021/1/15, 83, 20, 22, 25, 1, 5
2021/1/16, 65, 9, 31, 5, 1, 3
2021/1/17, 37, 8, 28, 11, 1, 3
2021/1/18, 37, 8, 26, 8, 1, 3
2021/1/19, 36, 7, 23, 20, 1, 3
2021/1/20, 34, 12, 14, 32, 1, 4
2021/1/21, 52, 20, , 35, 1, 5
2021/1/22, 73, 10, 29, 16, 1, 4
2021/1/23, 44, 4, 28, 6, , 3
2021/1/24, 19, 9, 25, 17, 1, 3
2021/1/25, 35, 10, 23, 25, 1, 4
2021/1/26, 46, 10, 32, 11, , 3
2021/1/27, 39, 14, 33, 16, 1, 4
2021/1/28, 52, 8, 30, 4, , 2
2021/1/29, 31, 11, 29, 10, 1, 3
2021/1/30, 42, 19, 26, 13, 1, 4
2021/1/31, 65, 14, 29, 17, , 3
2020/10/1, 34, 8, 37, 14, 1, 3
2020/10/2, 42, 15, 37, 18, 1, 4
2020/10/3, 57, 15, 31, 12, 1, 4
2020/10/4, 56, 14, 31, 8, 1, 3
2020/10/5, 54, 9, 28, 9, , 3
2020/10/6, 36, 7, 29, 9, , 4
2020/10/7, 35, 5, 30, 11, , 3
2020/10/8, 30, 5, 32, 8, , 2
2020/10/9, 19, 4, 28, 4, , 2
2020/10/10, 21, 10, 29, 6, 1, 3
2020/10/11, 39, 10, 29, 13, 1, 3
2020/10/12, 43, 10, 35, 7, 1, 3
2020/10/13, 44, 12, 35, 10, 1, 3
2020/10/14, 50, 8, 33, 6, , 3
2020/10/15, 38, 8, 30, 8, 1, 3
2020/10/16, 36, 7, 28, 13, , 4
2020/10/17, 32, 7, 25, 10, 1, 4
2020/10/18, 36, 8, 16, 24, 1, 5
2020/10/19, 48, 10, 31, 17, , 4
2020/10/20, 53, 12, 37, 16, 1, 4
2020/10/21, 59, 8, 31, 14, 1, 3
2020/10/22, 46, 10, 31, 12, 1, 3
2020/10/23, 42, 11, 36, 8, 1, 3
2020/10/24, 51, 8, 40, 13, 1, 5
2020/10/25, 53, 8, 32, 17, 1, 4
2020/10/26, 53, 10, 31, 19, 1, 4
2020/10/27, 45, 11, 24, 25, 1, 4
2020/10/28, 52, 17, 35, 13, 1, 4
2020/10/29, 66, 9, 28, 10, , 3
2020/10/30, 42, 9, 24, 18, 1, 4
2020/10/31, 45, 9, 33, 11, 1, 3
2020/11/1, 49, 11, 21, 20, 1, 4
2020/11/2, 49, 10, 31, 4, 1, 3
2020/11/3, 48, 7, 26, 9, 1, 3
2020/11/4, 40, 10, 29, 20, 1, 4
2020/11/5, 49, 15, 22, 28, 1, 5
2020/11/6, 57, 13, 14, 25, 1, 5
2020/11/7, 65, 18, 38, 8, , 4
2020/11/8, 65, 11, 24, 8, 1, 3
2020/11/9, 44, 8, 24, 9, 1, 3
2020/11/10, 37, 6, 26, 14, , 3
2020/11/11, 38, 9, 21, 21, 1, 4
2020/11/12, 47, 14, 11, 25, 1, 5
2020/11/13, 63, 7, 30, 11, , 3
2020/11/14, 48, 12, 21, 17, 1, 5
2020/11/15, 49, 15, 31, 25, 1, 5
2020/11/16, 65, 16, 29, 29, , 5
2020/11/17, 70, 20, 31, 28, 1, 4
2020/11/18, 74, 17, 26, 16, 1, 3
2020/11/19, 60, 21, 27, 9, , 2
2020/11/20, 54, , , , , 
2020/11/24, 44, 10, 11, 24, 1, 5
2020/11/25, 46, 11, 22, 21, 3, 4
2020/11/26, 51, 10, 27, 13, 1, 4
2020/11/27, 52, 8, 23, 6, 1, 3
2020/11/28, 41, 5, 21, 8, 1, 4
2020/11/29, 35, 7, 23, 15, 1, 4
2020/11/30, 49, 6, 25, 14, , 4
2020/12/1, 46, 7, 18, 20, 1, 4
2020/12/2, 38, 7, 23, 14, 1, 4
2020/12/3, 38, 6, 25, 11, , 3
2020/12/4, 27, 8, 27, 16, 2, 4
2020/12/5, 39, 9, 26, 15, 2, 4
2020/12/6, 42, 12, 22, 22, , 5
2020/12/7, 58, 17, 34, 14, 1, 5
2020/12/8, 63, 11, 29, 22, 1, 5
2020/12/9, 50, 16, 19, 29, 1, 5
2020/12/10, 62, 15, 23, 28, 1, 5
2020/12/11, 58, 16, 34, 15, 2, 5
2020/12/12, 68, 13, 32, 9, 1, 4
2020/12/13, 56, 8, 27, 10, 2, 3
2020/12/14, 37, 4, 25, 7, 1, 3
2020/12/15, 24, 4, 28, 5, 1, 3
2020/12/16, 22, 4, 18, 13, 1, 3
2020/12/17, 23, 7, 24, 12, 1, 3
2020/12/18, 35, 7, 22, 10, 1, 4
2020/12/19, 40, 3, 25, 6, , 3
