date, pm25, pm10, o3, no2, so2, co
2021/6/1, 24, 10, 34, 3, 1, 1
2021/6/2, 25, 10, 30, 2, 4, 1
2021/6/3, 26, 10, 36, 1, 1, 2
2021/6/4, 16, 11, 41, 2, 4, 3
2021/6/5, 19, 18, 38, 5, 1, 2
2021/6/6, 33, 27, 54, 8, 3, 3
2021/6/7, 51, 23, 70, 6, 3, 1
2021/6/8, 53, 22, 62, 3, 1, 2
2021/6/9, 51, 21, 41, 3, 6, 
2021/6/10, 47, 11, 34, 2, 5, 1
2021/6/11, 27, 10, 30, 2, 1, 1
2021/6/12, 25, 12, 36, 1, , 
2021/6/13, 29, 16, 28, 3, 1, 1
2021/6/14, 34, 14, 39, 4, 3, 2
2021/6/15, 39, 13, 24, 4, 2, 1
2021/6/16, 29, 11, 28, 2, , 4
2021/6/17, 29, 9, 30, 2, 6, 3
2021/6/18, 28, , , , , 
2021/5/1, 32, 16, 52, 2, 1, 2
2021/5/2, 22, 8, 42, 2, 1, 2
2021/5/3, 25, 10, 48, 5, 1, 2
2021/5/4, 31, 15, 41, 2, 1, 2
2021/5/5, 29, 12, 44, 4, 1, 2
2021/5/6, 37, 13, 36, 5, 1, 2
2021/5/7, 34, 20, 43, 5, 2, 2
2021/5/8, 35, 28, 47, 3, 1, 2
2021/5/9, 60, 20, 45, 4, 1, 2
2021/5/10, 51, 8, 37, 5, 3, 2
2021/5/11, 26, 9, 38, 7, 1, 2
2021/5/12, 20, 12, 33, 5, 3, 
2021/5/13, 23, 11, 38, 2, 1, 4
2021/5/14, 23, 11, 40, 2, 3, 
2021/5/21, 14, 8, 34, 2, 1, 2
2021/5/24, 48, 17, 52, 3, 6, 2
2021/5/25, 47, 14, 45, 3, 7, 2
2021/5/28, 37, 18, 49, 4, 1, 2
2021/5/29, 41, 9, 45, 2, 1, 2
2021/5/30, 28, 8, 39, 2, 4, 2
2021/5/31, 21, 9, 42, 2, 4, 2
2021/4/2, 28, 14, 40, 3, 3, 2
2021/4/3, 38, 24, 27, 1, 3, 2
2021/4/4, 48, 22, 35, 2, 1, 
2021/4/9, 59, 8, 42, 2, 1, 3
2021/4/11, 21, 9, 37, 5, 1, 2
2021/4/12, 29, 10, 38, 6, 3, 2
2021/4/13, 16, 10, 34, 5, 1, 
2021/4/14, 21, 11, 34, 2, 1, 4
2021/4/16, 23, 9, 37, 4, 3, 2
2021/4/18, 19, 13, 40, 1, 1, 2
2021/4/19, 42, 16, 45, 4, 1, 2
2021/4/20, 42, 19, 54, 8, 1, 2
2021/4/21, 50, 20, 50, 8, 6, 3
2021/4/22, 35, 14, 44, 5, 1, 2
2021/4/23, 26, 9, 38, 4, 1, 3
2021/4/24, 30, 10, 42, 4, 4, 2
2021/4/25, 46, 13, 50, 4, 1, 2
2021/4/26, 9, 7, 35, 2, 1, 4
2021/4/27, 22, 7, 37, 3, 2, 2
2021/4/28, 31, 12, 41, 5, 1, 2
2021/4/29, 17, 8, 28, 1, 1, 
2021/4/30, 21, 11, 42, 2, 1, 3
2021/3/1, 26, 10, 27, 1, 1, 1
2021/3/2, 16, 4, 34, 2, 1, 2
2021/3/3, 19, 6, 33, 6, 2, 3
2021/3/4, 19, 8, 3, 9, 1, 1
2021/3/5, 16, 16, 35, 4, 1, 2
2021/3/6, 33, 6, 34, 2, 1, 1
2021/3/7, 20, 8, 33, 3, 1, 1
2021/3/8, 20, 8, 32, 4, 1, 2
2021/3/9, 17, 11, 38, 5, 1, 2
2021/3/10, 34, 8, 33, 6, 3, 2
2021/3/11, 28, 18, 31, 8, 1, 2
2021/3/12, 41, 17, 35, 1, 1, 
2021/3/13, 23, 4, 35, 3, 1, 2
2021/3/14, 15, 7, 36, 7, 1, 2
2021/3/15, 18, 17, 39, 10, 2, 3
2021/3/16, 44, 16, 7, 10, 1, 3
2021/3/17, 36, , , , , 
2021/3/19, 21, 10, 35, 4, 1, 2
2021/3/20, 28, 14, 32, 2, 1, 2
2021/3/21, 27, 7, 33, 2, 1, 2
2021/3/22, 22, 10, 37, 6, 3, 2
2021/3/23, 22, 12, 43, 6, 1, 2
2021/3/24, 28, 9, 34, 6, 1, 2
2021/3/25, 21, 16, 49, 7, 2, 3
2021/3/26, 28, 14, 44, 5, 4, 2
2021/3/27, 41, 18, 41, 1, 1, 2
2021/3/29, 21, 54, 47, 4, 1, 3
2021/3/30, 97, 51, 43, 6, 1, 4
2021/3/31, 64, 23, 40, 3, 1, 2
2021/2/1, 42, 17, 27, 8, , 3
2021/2/2, 37, 7, 30, 9, 1, 3
2021/2/3, 24, 5, 32, 7, 1, 3
2021/2/4, 19, 7, 29, 9, 1, 3
2021/2/5, 19, 15, 32, 11, 3, 3
2021/2/6, 43, 15, 38, 6, 2, 2
2021/2/7, 37, 7, 28, 5, 1, 2
2021/2/8, 25, 5, 28, 5, , 2
2021/2/9, 16, 10, 24, 13, 1, 3
2021/2/10, 24, 12, 36, 10, 1, 3
2021/2/11, 36, 12, 32, 9, 1, 3
2021/2/12, 34, 15, 35, 9, 1, 2
2021/2/13, 39, 11, 32, 5, 1, 1
2021/2/14, 22, 15, 28, 3, 1, 1
2021/2/15, 16, 4, 34, 1, , 2
2021/2/16, 24, 6, 31, 5, , 2
2021/2/17, 21, 3, 29, 2, 1, 2
2021/2/18, 14, 5, 28, 10, 1, 2
2021/2/19, 21, 13, 38, 8, 1, 2
2021/2/20, 33, 23, 44, 10, 2, 3
2021/2/21, 62, 28, 48, 9, 4, 3
2021/2/22, 63, 10, 35, 4, 1, 2
2021/2/23, 28, 6, 33, 4, , 2
2021/2/24, 17, 6, 33, 9, 5, 2
2021/2/25, 25, 8, 31, 7, 1, 2
2021/2/26, 31, 7, 34, 2, 1, 3
