date, pm25, pm10, o3, no2, so2, co
2023/4/2, 58, 12, 42, 3, 4, 1
2023/4/3, 50, 11, 41, 9, 5, 2
2023/4/4, 46, 13, 44, 12, 5, 2
2023/4/5, 52, 10, 30, 8, 3, 1
2023/4/6, 40, 9, 23, 12, 6, 2
2023/4/7, 40, 7, 28, 10, , 2
2023/4/8, 30, 11, 37, 4, , 2
2023/4/9, 55, 11, 42, 6, , 2
2023/4/10, 47, 15, 38, 12, 8, 2
2023/4/11, 54, 18, 39, 13, 7, 2
2023/4/12, 62, 21, 27, 12, 4, 2
2023/4/13, 69, 26, 34, 14, 7, 3
2023/4/14, 81, 28, 21, 24, 9, 5
2023/4/15, 81, 11, 29, 7, 2, 1
2023/4/16, 32, 11, 39, 3, 3, 1
2023/4/17, 41, 17, 39, 8, 4, 2
2023/4/18, 58, 22, 36, 13, 4, 3
2023/4/19, 73, 20, 18, 12, 2, 2
2023/4/20, 64, 26, 38, 13, 4, 4
2023/4/21, 81, 26, 34, 10, 4, 3
2023/4/22, 78, 18, 40, 1, 4, 
2023/4/23, 67, , , , , 
2023/1/3, 56, 5, 28, 5, 2, 2
2023/1/4, 23, 5, 28, 6, 2, 2
2023/1/5, 23, 7, 30, 8, 3, 3
2023/1/6, 36, 25, 35, 19, 3, 5
2023/1/7, 85, 34, 31, 16, 3, 5
2023/1/8, 116, 31, 33, 9, 5, 5
2023/1/9, 91, 19, 30, 14, 5, 4
2023/1/10, 66, 7, 27, 8, , 3
2023/1/11, 32, 15, 12, 21, 7, 5
2023/1/12, 56, 23, 14, 27, 7, 7
2023/1/13, 89, 20, 5, 26, 4, 6
2023/1/14, 92, 8, 24, 16, 4, 4
2023/1/15, 37, 3, 25, 6, 2, 3
2023/1/16, 18, 4, 25, 6, 2, 3
2023/1/17, 18, 4, 24, 12, 2, 3
2023/1/18, 24, 8, 23, 13, 3, 3
2023/1/19, 37, 11, 24, 18, 4, 4
2023/1/20, 50, 16, 32, 12, 3, 3
2023/1/21, 60, 7, 27, 10, 3, 3
2023/1/22, 34, 5, 26, 8, 2, 2
2023/1/23, 32, 8, 20, 10, 2, 3
2023/1/24, 40, 9, 26, 9, 2, 3
2023/1/25, 27, 3, 26, 4, 2, 2
2023/1/26, 13, 5, 25, 11, 2, 3
2023/1/27, 25, 6, 28, 11, 2, 2
2023/1/28, 30, 7, 27, 5, 2, 2
2023/1/29, 30, 7, 28, 6, , 3
2023/1/30, 33, 7, 26, 10, 2, 3
2023/1/31, 36, 8, 24, 20, 4, 5
2023/2/1, 44, 15, 32, 24, 4, 5
2023/2/2, 69, 9, 30, 7, 2, 3
2023/2/3, 44, 12, 26, 16, 7, 5
2023/2/4, 55, 11, 33, 13, 3, 4
2023/2/5, 53, 11, 31, 11, 6, 4
2023/2/6, 49, 16, 24, 21, 4, 6
2023/2/7, 71, 13, 24, 16, 3, 4
2023/2/8, 59, 13, 36, 10, 2, 4
2023/2/9, 58, 8, 30, 10, 2, 3
2023/2/10, 43, 6, 23, 8, 2, 3
2023/2/11, 31, 4, 31, 12, 3, 3
2023/2/12, 26, 9, 29, 13, 4, 3
2023/2/13, 44, 6, 32, 6, 3, 2
2023/2/14, 33, 6, 31, 6, 2, 3
2023/2/15, 28, 4, 28, 4, , 3
2023/2/16, 19, 5, 27, 10, 3, 3
2023/2/17, 27, 11, 22, 21, 5, 4
2023/2/18, 54, 11, 15, 18, 3, 3
2023/2/19, 65, 15, 32, 10, 4, 4
2023/2/20, 58, 10, 32, 6, 3, 4
2023/2/21, 41, 5, 30, 7, 2, 2
2023/2/22, 14, 8, 33, 12, 4, 3
2023/2/23, 38, 15, 22, 16, 7, 4
2023/2/24, 60, 14, 35, 17, 4, 4
2023/2/25, 64, 8, 32, 4, 3, 3
2023/2/26, 41, 7, 32, 7, 3, 3
2023/2/27, 35, 10, 32, 19, 5, 4
2023/2/28, 48, 16, 25, 22, 7, 6
2023/3/1, 63, 14, 29, 17, 6, 3
2023/3/2, 58, 6, 32, 3, 3, 2
2023/3/3, 28, 9, 33, 11, 3, 3
2023/3/4, 44, 12, 35, 16, 5, 4
2023/3/5, 56, 9, 35, 8, 6, 3
2023/3/6, 45, 13, 33, 16, 6, 4
2023/3/7, 50, 19, 44, 18, 6, 5
2023/3/8, 70, 27, 38, 24, 10, 6
2023/3/9, 87, 25, 32, 23, 8, 4
2023/3/10, 84, 26, 40, 21, 6, 5
2023/3/11, 81, 27, 38, 19, 8, 6
2023/3/12, 80, 21, 43, 11, 5, 4
2023/3/13, 71, 9, 34, 4, 4, 2
2023/3/14, 37, 13, 27, 14, 8, 4
2023/3/15, 48, 18, 31, 20, 6, 4
2023/3/16, 68, 18, 24, 20, 8, 5
2023/3/17, 63, 8, 27, 5, 3, 2
2023/3/18, 37, 8, 30, 7, 3, 3
2023/3/19, 33, 10, 30, 9, 7, 2
2023/3/20, 45, 12, 37, 12, 4, 3
2023/3/21, 55, 11, 24, 11, 3, 3
2023/3/22, 48, 9, 37, 6, 3, 2
2023/3/23, 37, 10, 30, 12, 3, 3
2023/3/24, 32, 7, 31, 9, 3, 4
2023/3/25, 29, 21, 31, 3, 3, 2
2023/3/26, 63, 18, 24, 7, 3, 3
2023/3/27, 55, 21, 36, 10, 4, 3
2023/3/28, 63, 17, 34, 8, 4, 2
2023/3/29, 59, 14, 38, 12, 5, 3
2023/3/30, 55, 21, 36, 20, 7, 4
2023/3/31, 72, 15, 44, 12, 5, 3
2023/4/1, 60, 15, 53, 10, 5, 2
2022/10/2, 47, 13, 44, 5, 3, 2
2022/10/3, 48, 12, 40, 5, 3, 2
2022/10/4, 41, 15, 33, 7, 4, 2
2022/10/5, 35, 4, 23, 1, 2, 1
2022/10/6, 12, 5, 28, 4, 4, 1
2022/10/7, 19, 6, 20, 5, 2, 2
2022/10/8, 22, 4, 29, 3, 3, 1
2022/10/9, 17, 5, 19, 3, 2, 2
2022/10/10, 22, 6, 27, 4, 3, 2
2022/10/11, 21, 6, 26, 7, , 2
2022/10/12, 22, 6, 27, 6, 3, 2
2022/10/13, 25, 7, 32, 7, 2, 2
2022/10/14, 30, 9, 36, 9, 3, 2
2022/10/15, 32, 12, 32, 7, 3, 2
2022/10/16, 43, 14, 36, 6, 4, 2
2022/10/17, 46, 20, 22, 10, 3, 3
2022/10/18, 57, 11, 24, 4, 3, 2
2022/10/19, 37, 4, 25, 4, 3, 2
2022/10/20, 19, 6, 31, 9, 4, 2
2022/10/21, 25, 10, 33, 12, 4, 3
2022/10/22, 45, 15, 36, 11, 4, 3
2022/10/23, 54, 12, 41, 3, 4, 2
2022/10/24, 46, 4, 29, 3, 4, 1
2022/10/25, 19, 3, 24, 3, 2, 1
2022/10/26, 17, 6, 25, 9, 3, 2
2022/10/27, 26, 8, 18, 11, 3, 2
2022/10/28, 37, 9, 33, 8, 3, 2
2022/10/29, 44, 7, 28, 6, 3, 2
2022/10/30, 30, 7, 26, 3, 3, 2
2022/10/31, 31, 17, 33, 10, 4, 3
2022/11/1, 60, 8, 13, 8, 2, 2
2022/11/2, 37, 7, 29, 9, 4, 3
2022/11/3, 28, 12, 32, 10, 4, 3
2022/11/4, 50, 9, 32, 7, 3, 2
2022/11/5, 41, 7, 28, 8, 4, 3
2022/11/6, 31, 6, 28, 6, 4, 3
2022/11/7, 31, 10, 23, 12, 5, 3
2022/11/8, 46, 11, 35, 12, 4, 3
2022/11/9, 50, 12, 34, 15, 6, 4
2022/11/10, 54, 19, 37, 16, 5, 5
2022/11/11, 74, 23, 41, 13, 4, 4
2022/11/12, 89, 35, 40, 12, 4, 5
2022/11/13, 115, 20, 24, 8, 3, 4
2022/11/14, 70, 5, 23, 4, 2, 2
2022/11/15, 19, 7, 32, 7, 3, 2
2022/11/16, 32, 10, 33, 10, 3, 3
2022/11/17, 43, 12, 24, 14, 3, 4
2022/11/18, 57, 15, 31, 14, 3, 3
2022/11/19, 68, 16, 31, 12, 3, 3
2022/11/20, 69, 14, 28, 8, 3, 3
2022/11/21, 61, 13, 26, 11, 4, 4
2022/11/22, 35, 10, 25, 10, 2, 3
2022/11/23, 41, 7, 16, 7, 1, 2
2022/11/24, 34, 5, 21, 8, 2, 3
2022/11/25, 19, 6, 23, 11, 2, 3
2022/11/26, 28, 10, 22, 13, 4, 4
2022/11/27, 46, 12, 28, 8, 3, 3
2022/11/28, 54, 11, 19, 14, 3, 3
2022/11/29, 54, 9, 20, 15, 1, 3
2022/11/30, 44, 6, 25, 5, 2, 2
2022/12/1, 22, 4, 23, 6, 2, 2
2022/12/2, 18, 5, 23, 8, 2, 2
2022/12/3, 22, 11, 17, 16, 8, 4
2022/12/4, 47, 12, 26, 7, 2, 3
2022/12/5, 56, 6, 25, 10, , 3
2022/12/6, 26, 6, 28, 9, 2, 3
2022/12/7, 24, 11, 26, 13, 4, 3
2022/12/8, 46, 13, 30, 15, 3, 4
2022/12/9, 57, 13, 23, 21, 5, 5
2022/12/10, 61, 15, 30, 18, 3, 5
