date, pm25, pm10, o3, no2, so2, co
2022/10/2, 49, 19, 13, 5, , 
2022/10/3, 40, , , , , 
2022/9/2, 14, 9, 40, 5, , 
2022/9/3, 17, 11, 22, 4, , 
2022/9/4, 16, 10, 21, 2, , 
2022/9/5, 19, 8, 16, 2, , 
2022/9/6, 17, 9, 25, 3, , 
2022/9/7, 11, 7, 38, 3, , 
2022/9/8, 20, 11, 33, 5, , 
2022/9/9, 22, 8, 26, 6, , 
2022/9/10, 17, 12, 32, 4, , 
2022/9/11, 28, 18, 39, 2, , 
2022/9/12, 40, 14, 33, 3, , 
2022/9/13, 35, 16, 40, 3, , 
2022/9/14, 41, 22, 42, 5, , 
2022/9/15, 57, 21, 35, 3, , 
2022/9/16, 56, 16, 39, 2, , 
2022/9/17, 41, 11, 31, 1, , 
2022/9/18, 30, 15, 24, 1, , 
2022/9/19, 35, 13, 21, 1, , 
2022/9/20, 35, 9, 28, 1, , 
2022/9/21, 25, 12, 25, 4, 5, 
2022/9/22, 25, 10, 27, 3, 7, 
2022/9/23, 28, 9, 14, 5, , 
2022/9/24, 13, 16, 39, 2, 7, 
2022/9/25, 37, 13, 43, 3, 7, 
2022/9/26, 36, 20, 59, 6, 8, 
2022/9/27, 49, 18, 39, 5, 8, 
2022/9/28, 51, 12, 31, 3, , 
2022/9/29, 33, 12, 36, 5, , 
2022/9/30, 27, 16, 46, 6, , 
2022/10/1, 45, 19, 53, 6, , 
2022/8/2, 36, 12, 39, 6, , 
2022/8/3, 30, 21, 45, 7, , 
2022/8/4, 54, 19, 48, 6, , 
2022/8/5, 45, 15, 40, 6, , 
2022/8/6, 27, 16, 46, 4, , 
2022/8/7, 35, 12, 37, 4, , 
2022/8/8, 27, 20, 33, 5, , 
2022/8/9, 45, 28, 30, 6, , 
2022/8/10, 63, 16, 28, 5, , 
2022/8/11, 38, 13, 30, 4, , 
2022/8/12, 26, 11, 25, 2, , 
2022/8/13, 19, 10, 31, 2, , 
2022/8/14, 24, 23, 37, 4, , 
2022/8/15, 52, 30, 32, 4, , 
2022/8/16, 63, 18, 21, 2, , 
2022/8/17, 43, 8, 21, 5, , 
2022/8/18, 14, 13, 61, 5, , 
2022/8/19, 24, 16, 64, 6, , 
2022/8/20, 37, 18, 32, 6, , 
2022/8/21, 44, 14, 34, 5, , 
2022/8/22, 25, 15, 32, 4, , 
2022/8/23, 34, 21, 53, 6, , 
2022/8/24, 46, 14, 37, 4, , 
2022/8/25, 39, 22, 52, 7, , 
2022/8/26, 49, 15, 60, 6, , 
2022/8/27, 40, 23, 74, 7, , 
2022/8/28, 52, 13, 35, 2, , 
2022/8/29, 37, 11, 36, 3, , 
2022/8/30, 29, 6, 30, 3, , 
2022/8/31, 15, 13, 24, 5, , 
2022/9/1, 24, 11, 28, 6, , 
2022/7/2, 61, 18, 58, 5, , 
2022/7/3, 50, 10, 14, 3, , 
2022/7/4, 20, 10, 16, 4, , 
2022/7/5, 16, 9, 15, 3, , 
2022/7/6, 10, 14, 22, 4, , 
2022/7/7, 30, 19, 42, 3, , 
2022/7/8, 51, 24, 49, 8, , 
2022/7/9, 57, 18, 31, 5, , 
2022/7/10, 37, 10, 26, 2, , 
2022/7/11, 19, 15, 40, 6, , 
2022/7/12, 37, 13, 33, 7, , 
2022/7/13, 35, 12, 28, 3, , 
2022/7/14, 22, 19, 31, 8, , 
