date, pm25, pm10, o3, no2, so2, co
2023/12/2, 10, 7, 27, 4, 1, 4
2023/12/3, 8, 7, 30, 2, 1, 4
2023/12/4, 9, 8, 28, 6, 1, 
2023/12/5, 18, 9, 9, 11, 1, 
2023/12/6, 21, 10, 29, 8, 1, 
2023/12/7, 21, 13, 34, 3, 1, 
2023/12/8, 33, 26, 29, 5, , 
2023/12/9, 51, 14, 34, 5, 1, 
2023/12/10, 31, 13, 10, 5, , 
2023/12/11, 40, , , , , 
2023/11/2, 35, 21, 48, 4, 1, 
2023/11/3, 52, 21, 49, 6, 1, 
2023/11/4, 50, 19, 38, 5, 1, 
2023/11/5, 55, 20, 37, 3, 1, 
2023/11/6, 53, 9, 38, 1, 1, 
2023/11/7, 18, 18, 33, 1, 1, 
2023/11/8, 33, 11, 33, 3, 1, 
2023/11/9, 30, 15, 32, 7, 1, 
2023/11/10, 39, 13, 32, 6, 1, 
2023/11/11, 31, 8, 30, 1, 1, 4
2023/11/12, 19, 8, 32, 2, 1, 4
2023/11/13, 14, 7, 30, 1, 1, 3
2023/11/14, 9, 6, 26, 4, 1, 3
2023/11/15, 14, 10, 25, 5, 1, 4
2023/11/16, 21, 9, 28, 5, 1, 4
2023/11/17, 24, 9, 34, 4, 1, 3
2023/11/18, 22, 6, 29, 1, 1, 3
2023/11/19, 14, 11, 30, 1, 1, 4
2023/11/20, 16, 8, 30, 4, 1, 4
2023/11/21, 17, 13, 21, 8, 1, 4
2023/11/22, 25, 12, 30, 8, 1, 4
2023/11/23, 29, 13, 35, 5, 1, 4
2023/11/24, 33, 15, 39, 1, 1, 3
2023/11/25, 39, 6, 25, 2, 1, 3
2023/11/26, 11, 9, 25, 1, 1, 3
2023/11/27, 15, 12, 32, 4, 1, 4
2023/11/28, 23, 10, 32, 1, 1, 3
2023/11/29, 29, 10, 29, 1, 1, 3
2023/11/30, 14, 8, 29, 3, 1, 4
2023/12/1, 13, 5, 23, 4, , 3
2023/10/2, 29, 13, 35, 3, 1, 
2023/10/3, 23, 10, 37, 2, 1, 
2023/10/4, 18, 14, 39, 2, 1, 
2023/10/5, 32, 11, 33, 1, 1, 
2023/10/6, 24, 11, 30, 2, , 
2023/10/7, 20, 11, 33, 2, 1, 
2023/10/8, 21, 14, 26, 1, 1, 
2023/10/9, 29, 8, 23, 1, 1, 
2023/10/10, 20, 10, 31, 2, 1, 
2023/10/11, 18, 13, 34, 4, 2, 
2023/10/12, 23, 10, 34, 4, 2, 
2023/10/13, 25, 10, 37, 5, 1, 
2023/10/14, 31, 13, 37, 4, 1, 
2023/10/15, 32, 11, 35, 1, 1, 4
2023/10/16, 25, 13, 38, 2, 1, 5
2023/10/17, 27, 13, 36, 4, 1, 4
2023/10/18, 27, 10, 36, 5, 1, 4
2023/10/19, 32, 15, 45, 3, 1, 4
2023/10/20, 42, 13, 35, 3, 1, 3
2023/10/21, 33, 7, 23, 1, 1, 3
2023/10/22, 10, 8, 28, 1, 1, 3
2023/10/23, 28, 11, 35, 4, 1, 4
2023/10/24, 23, 13, 38, 5, 1, 3
2023/10/25, 32, 12, 37, 3, 1, 3
2023/10/26, 35, 12, 44, 5, 1, 3
2023/10/27, 30, 14, 49, 4, 1, 
2023/10/28, 33, 10, 33, 2, 1, 
2023/10/29, 20, 8, 25, 1, 1, 
2023/10/30, 13, 10, 26, 4, 1, 
2023/10/31, 17, 12, 29, 5, 1, 
2023/11/1, 27, 13, 38, 5, 1, 
2023/7/2, 18, 21, 30, 1, 1, 
2023/7/3, 20, 18, 37, 2, 1, 
2023/7/4, 30, 19, 39, 1, 1, 
2023/7/5, 29, 18, 36, 3, 1, 
2023/7/6, 27, 21, 48, 1, 1, 
2023/7/7, 40, 30, 59, 4, 1, 
2023/7/8, 62, 22, 36, 1, 1, 
2023/7/9, 37, 13, 24, 1, 1, 
2023/7/10, 17, 22, 31, 1, 1, 
2023/7/11, 43, 20, 25, 1, 1, 
2023/7/12, 42, 14, 16, 1, 1, 
2023/7/13, 20, 14, 31, 1, 1, 
2023/7/14, 22, 15, 15, 1, 1, 
2023/7/15, 23, 16, 16, 1, 1, 
2023/7/16, 34, 20, 18, 1, 1, 
2023/7/17, 36, 21, 25, 2, 1, 
2023/7/18, 44, 24, 23, 2, 1, 
2023/7/19, 51, 24, 16, 3, 1, 
2023/7/20, 39, 15, 31, 2, 1, 
2023/7/21, 19, 13, 28, 1, 1, 
2023/7/22, 25, 18, 36, 3, 1, 
2023/7/23, 38, 23, 48, 2, 1, 
2023/7/24, 50, 22, 44, 3, 1, 
2023/7/25, 49, 21, 43, 4, 1, 
2023/7/26, 47, 22, 32, 2, 1, 
2023/7/27, 48, 24, 31, 2, 2, 
2023/7/28, 48, 27, 33, 2, 1, 
2023/7/29, 53, 35, 40, 3, 2, 
2023/7/30, 64, 23, 38, 2, 1, 
2023/7/31, 43, 18, 30, 2, 1, 
2023/8/1, 37, 17, 36, 2, 1, 
2023/8/2, 37, 15, 33, 2, 1, 
2023/8/3, 29, 17, 30, 2, 1, 
2023/8/4, 29, 19, 32, 1, 1, 3
2023/8/5, 38, 17, 39, 3, 1, 3
2023/8/6, 34, 18, 35, 2, 1, 3
2023/8/7, 34, 11, 26, 2, 1, 3
2023/8/8, 20, 18, 30, 3, 2, 3
2023/8/9, 37, 18, 32, 3, 1, 3
2023/8/10, 36, 13, 27, 1, 1, 3
2023/8/11, 15, 15, 35, 2, 1, 
2023/8/12, 29, 19, 29, 2, 3, 
2023/8/13, 35, 19, 26, 1, 1, 
2023/8/14, 33, 20, 26, 1, 1, 
2023/8/15, 36, 23, 26, 1, 1, 
2023/8/16, 41, 16, 18, 1, , 
2023/8/17, 23, 14, 23, 3, 1, 
2023/8/18, 24, 14, 29, 3, 1, 4
2023/8/19, 27, 17, 37, 3, 1, 3
2023/8/20, 32, 19, 32, 2, 2, 3
2023/8/21, 34, 19, 31, 3, 2, 3
2023/8/22, 34, 19, 33, 3, 1, 3
2023/8/23, 36, 19, 31, 5, 1, 3
2023/8/24, 38, 12, 25, 3, , 3
2023/8/25, 21, 12, 27, 3, 1, 
2023/8/26, 18, 15, 30, 4, 1, 2
2023/8/27, 25, 14, 31, 2, 1, 2
2023/8/28, 24, 16, 36, 3, 1, 2
2023/8/29, 28, 19, 44, 4, 1, 3
2023/8/30, 38, 16, 35, 3, 1, 3
2023/8/31, 26, 13, 21, 1, 1, 
2023/9/1, 19, 13, 30, 3, 1, 
2023/9/2, 24, 20, 27, 3, 1, 
2023/9/3, 32, 17, 33, 2, 1, 
2023/9/4, 34, 19, 32, 3, 1, 
2023/9/5, 38, 18, 19, 3, 1, 
2023/9/6, 30, 17, 21, 2, 1, 
2023/9/7, 16, 18, 35, 2, 1, 
2023/9/8, 29, 20, 38, 4, 1, 
2023/9/9, 38, 19, 33, 2, 1, 
2023/9/10, 32, 19, 39, 2, 2, 
2023/9/11, 31, 16, 22, 2, 1, 
2023/9/12, 26, 19, 27, 2, 1, 
2023/9/13, 17, 14, 34, 2, 1, 
2023/9/14, 25, 17, 30, 3, 1, 
2023/9/15, 29, 14, 30, 2, 1, 
2023/9/16, 22, 26, 30, 2, 1, 
2023/9/17, 43, 28, 40, 1, 1, 
2023/9/18, 56, 19, 22, 1, 1, 
2023/9/19, 33, 20, 27, 2, 1, 
2023/9/20, 39, 16, 41, 1, 1, 
2023/9/21, 33, 19, 26, 2, 1, 
2023/9/22, 31, 14, 35, 1, 1, 
2023/9/23, 15, 13, 32, 1, 1, 
