date, pm25, pm10, o3, no2, so2
2021/10/2, 5, 6, 38, 3, 1
2021/10/3, 59, 7, 39, 2, 1
2021/10/4, 61, 10, 48, 7, 1
2021/10/5, 70, 13, 55, 7, 1
2021/10/6, 54, 8, 31, 4, 1
2021/10/7, 41, 2, 29, 4, 
2021/10/8, 27, 9, 44, 5, 1
2021/10/9, 47, 9, 31, 3, 1
2021/10/10, 43, 6, 32, 2, 1
2021/10/11, 40, 7, 39, 6, 1
2021/10/12, 42, 3, 29, 2, 1
2021/10/13, 12, 2, 22, 2, 
2021/10/14, 14, 5, 31, 3, 1
2021/10/15, 39, 9, 38, 6, 1
2021/10/16, 51, 8, 30, 5, 1
2021/10/17, 40, 3, 23, 1, 1
2021/10/18, 19, 3, 29, 3, 1
2021/10/19, 42, 3, 18, 4, 
2021/10/20, 27, 3, 27, 4, 
2021/10/21, 40, 4, 29, 3, 
2021/10/22, 42, 2, 16, 3, 
2021/10/23, 15, , 29, 2, 
2021/10/24, 32, , 32, 4, 1
2021/10/25, 38, , 29, 5, 1
2021/10/26, 44, 1, 30, 2, 1
2021/10/27, 20, 3, 24, 5, 1
2021/10/28, 36, 5, 34, 4, 1
2021/10/29, 43, 5, 29, 3, 1
2021/10/30, 37, 5, 34, 3, 1
2021/10/31, 45, 8, 26, 3, 1
2021/11/1, 45, 5, 31, 5, 1
2021/11/2, 43, 7, 29, 5, 1
2021/11/3, 39, 5, 35, 4, 1
2021/11/4, 44, 5, 33, 6, 1
2021/11/5, 44, 4, 32, 4, 1
2021/11/6, 31, 2, 33, 3, 1
2021/11/7, 67, 5, 30, 2, 1
2021/11/8, 42, 2, 30, 3, 1
2021/11/9, 33, 4, 29, 4, 
2021/11/10, 28, 3, 26, 9, 1
2021/11/11, 36, 4, 33, 7, 1
2021/11/12, 47, 4, 29, 5, 1
2021/11/13, 43, 3, 28, 6, 1
2021/11/14, 35, 7, 32, 4, 1
2021/11/15, 41, 4, 33, 5, 
2021/11/16, 36, 6, 26, 6, 1
2021/11/17, 35, 2, 29, 6, 1
2021/11/18, 31, 5, 26, 6, 1
2021/11/19, 29, 10, 32, 8, 2
2021/11/20, 45, 9, 35, 4, 1
2021/11/21, 49, 7, 32, 3, 1
2021/11/22, 43, 6, 23, 9, 1
2021/11/23, 40, 6, 26, 4, 1
2021/11/24, 22, 3, 28, 7, 1
2021/11/25, 33, 6, 28, 9, 1
2021/11/26, 48, 4, 31, 5, 1
2021/11/27, 41, 2, 27, 3, 
2021/11/28, 39, 2, 29, 5, 1
2021/11/29, 41, 4, 24, 9, 1
2021/11/30, 42, 12, 22, 16, 2
2021/12/1, 58, 5, 31, 4, 
2021/12/2, 35, 3, 25, 7, 
2021/12/3, 35, 2, 23, 8, 1
2021/12/4, 36, 3, 27, 5, 1
2021/12/5, 37, 2, 27, 3, 
2021/12/6, 34, 4, 18, 6, 1
2021/12/7, 41, 3, 25, 2, 1
2021/12/8, 30, 2, 29, 2, 
2021/12/9, 7, 4, 24, 3, 1
2021/12/10, 28, 4, 20, 4, 1
2021/12/11, 31, 10, 23, 8, 1
2021/12/12, 51, 13, 26, 7, 1
2021/12/13, 58, 5, 28, 4, 1
2021/12/14, 40, 4, 18, 10, 1
2021/12/15, 36, 6, 19, 11, 1
2021/12/16, 42, 11, 19, 13, 1
2021/12/17, 51, 13, 28, 10, 1
2021/12/18, 50, 3, 26, 7, 1
2021/12/19, 27, 4, 25, 7, 1
2021/12/20, 37, 4, 27, 9, 1
2021/12/21, 31, 8, 23, 13, 1
2021/12/22, 46, 7, 30, 7, 1
2021/12/23, 44, 5, 27, 14, 1
2021/12/24, 40, 6, 21, 10, 1
2021/12/25, 39, 7, 24, 6, 1
2021/12/26, 48, 1, 25, 2, 1
2021/12/27, 49, 2, 26, 5, 1
2021/12/28, 31, 5, 28, 10, 1
2021/12/29, 26, 8, 25, 9, 1
2021/12/30, 46, 5, 31, 7, 1
2021/12/31, 53, 3, 28, 1, 
2022/1/1, 19, 2, 26, 2, 
2022/1/2, 7, , , , 
2021/10/1, , 6, 38, 1, 
