date, pm25, pm10, o3, no2, so2, co
2022/2/2, 70, 28, 39, 7, 1, 4
2022/2/3, 98, 20, 42, 4, 1, 3
2022/2/4, 71, 11, 44, 4, 1, 4
2022/2/5, 47, 16, 44, 1, 2, 2
2022/2/6, 62, 8, 42, 1, 1, 2
2022/2/7, 38, 13, 38, 3, 1, 3
2022/2/8, 49, 13, 36, 5, 1, 2
2022/2/9, 53, 11, 39, 5, 2, 2
2022/2/10, 48, 14, 38, 4, 1, 2
2022/2/11, 55, 13, 42, 4, 1, 3
2022/2/12, 53, 19, 33, 6, 4, 3
2022/2/13, 72, 13, 29, 2, 1, 2
2022/2/14, 59, 8, 38, 3, 1, 2
2022/2/15, 38, 12, 41, 4, 2, 2
2022/2/16, 46, 10, 40, 1, 1, 2
2022/2/17, 47, 10, 40, 1, 1, 2
2022/2/18, 43, 10, 37, 4, 2, 2
2022/2/19, 48, 6, 33, 1, 3, 2
2022/2/20, 23, 10, 41, 1, 1, 2
2022/2/21, 37, 9, 40, 3, 1, 3
2022/2/22, 46, 9, 40, 3, 1, 4
2022/2/23, 44, 13, 39, 2, 2, 5
2022/2/24, 57, 14, 28, 3, , 
2022/2/25, 63, , , , , 
2022/2/1, , 19, 41, 6, 1, 3
