date, pm25, pm10, o3, no2, so2, co
2023/12/2, 26, 10, 21, 13, 1, 5
2023/12/3, 36, 8, 29, 10, 2, 4
2023/12/4, 30, 7, 24, 14, 2, 4
2023/12/5, 24, 14, 12, 23, 1, 5
2023/12/6, 49, 11, 25, 15, 1, 4
2023/12/7, 31, 9, 32, 11, 6, 3
2023/12/8, 32, 8, 20, 19, 3, 4
2023/12/9, 31, 17, 21, 20, 5, 4
2023/12/10, 44, 27, 5, 17, 1, 4
2023/12/11, 59, , , , , 
2023/11/2, 45, 15, 35, 18, 2, 3
2023/11/3, 52, 24, 63, 11, 4, 3
2023/11/4, 64, 19, 46, 9, 3, 2
2023/11/5, 56, 20, 34, 10, 1, 3
2023/11/6, 53, 12, 27, 8, 1, 2
2023/11/7, 29, 14, 29, 6, 5, 2
2023/11/8, 30, 7, 31, 8, 2, 3
2023/11/9, 27, 11, 28, 15, 3, 2
2023/11/10, 33, 21, 14, 18, 2, 3
2023/11/11, 42, 10, 23, 11, 2, 4
2023/11/12, 22, 8, 20, 9, 2, 4
2023/11/13, 29, 5, 23, 10, 1, 3
2023/11/14, 19, 6, 23, 17, 1, 3
2023/11/15, 22, 7, 23, 10, 1, 2
2023/11/16, 22, 10, 26, 13, 1, 3
2023/11/17, 40, 12, 26, 20, 2, 3
2023/11/18, 34, 5, 26, 10, 14, 3
2023/11/19, 24, 8, 18, 12, 7, 4
2023/11/20, 27, 6, 25, 15, 1, 3
2023/11/21, 27, 14, 15, 26, 5, 4
2023/11/22, 46, 22, 16, 30, 10, 4
2023/11/23, 56, 24, 33, 23, 11, 4
2023/11/24, 58, 17, 35, 15, 11, 3
2023/11/25, 55, 4, 27, 7, 1, 4
2023/11/26, 12, 7, 21, 6, 1, 4
2023/11/27, 27, 17, 16, 18, 4, 4
2023/11/28, 53, 15, 30, 12, 5, 3
2023/11/29, 38, 9, 26, 13, 3, 3
2023/11/30, 28, 8, 26, 13, 2, 3
2023/12/1, 30, 7, 20, 16, 4, 3
2023/10/2, 39, 7, 37, 6, 2, 2
2023/10/3, 27, 9, 40, 9, 2, 3
2023/10/4, 31, 9, 28, 10, 1, 3
2023/10/5, 27, 14, 27, 14, 3, 4
2023/10/6, 34, 5, 32, 9, 1, 3
2023/10/7, 21, 7, 33, 7, 1, 4
2023/10/8, 29, 9, 29, 5, 1, 3
2023/10/9, 25, 5, 21, 6, , 2
2023/10/10, 10, 6, 25, 17, 1, 3
2023/10/11, 16, 7, 31, 10, 1, 3
2023/10/12, 23, 9, 33, 9, 2, 3
2023/10/13, 32, 10, 34, 10, 2, 3
2023/10/14, 28, 11, 39, 12, 4, 4
2023/10/15, 41, 10, 29, 8, 1, 4
2023/10/16, 24, 10, 42, 14, 2, 3
2023/10/17, 28, 7, 38, 12, 1, 3
2023/10/18, 34, 8, 33, 9, 1, 3
2023/10/19, 30, 10, 38, 13, 3, 2
2023/10/20, 35, 11, 33, 10, 8, 2
2023/10/21, 40, 6, 29, 7, 2, 3
2023/10/22, 17, 5, 30, 4, 3, 
2023/10/23, 21, 9, 32, 14, 2, 4
2023/10/24, 33, 12, 30, 15, 1, 3
2023/10/25, 40, 12, 28, 13, 1, 3
2023/10/26, 34, 8, 37, 11, 1, 3
2023/10/27, 32, 17, 41, 18, 7, 3
2023/10/28, 49, 14, 43, 13, 2, 3
2023/10/29, 47, 8, 30, 8, 1, 3
2023/10/30, 18, 7, 31, 9, 6, 3
2023/10/31, 25, 13, 25, 16, 2, 3
2023/11/1, 42, 16, 33, 14, 8, 3
2023/7/2, 30, 10, 57, 6, 3, 1
2023/7/3, 29, 17, 44, 11, 3, 2
2023/7/4, 45, 16, 41, 5, 1, 2
2023/7/5, 47, 9, 37, 3, 1, 1
2023/7/6, 25, 7, 34, 6, 4, 2
2023/7/7, 22, 20, 57, 12, 3, 2
2023/7/8, 47, 25, 32, 6, 14, 1
2023/7/9, 47, 26, 12, 7, 10, 1
2023/7/10, 49, 28, 22, 10, 8, 1
2023/7/11, 57, 23, 42, 12, 4, 2
2023/7/12, 57, 28, 25, 14, 10, 1
2023/7/13, 63, 19, 18, 17, 13, 2
2023/7/14, 47, 20, 61, 10, 5, 2
2023/7/15, 44, 15, 13, 9, 27, 
2023/7/16, 35, 14, 22, 7, 22, 
2023/7/17, 36, 15, 21, 5, 5, 1
2023/7/18, 37, 19, 38, 6, 5, 1
2023/7/19, 50, 23, 32, 11, 14, 3
2023/7/20, 50, 14, 29, 6, 9, 1
2023/7/21, 32, 14, 28, 5, 2, 1
2023/7/22, 33, 9, 27, 6, 2, 1
2023/7/23, 27, 8, 31, 4, 1, 1
2023/7/24, 26, 12, 26, 9, 6, 2
2023/7/25, 31, , 48, 11, 8, 2
2023/7/26, 35, 13, 84, 11, 10, 2
2023/7/27, 40, 12, 32, 6, 4, 1
2023/7/28, 34, 9, 25, 7, 6, 1
2023/7/29, 25, 8, 26, 4, 5, 
2023/7/30, 26, 6, 19, 3, 5, 1
2023/7/31, 21, 6, 14, 3, 4, 1
2023/8/1, 18, 12, 23, 11, 3, 1
2023/8/2, 25, 8, 15, 6, 4, 1
2023/8/3, 19, 6, 11, 3, 3, 1
2023/8/4, 18, 12, 24, 8, 8, 2
2023/8/5, 31, 9, 17, 9, 11, 1
2023/8/6, 24, 12, 10, 1, 2, 1
2023/8/7, 27, 8, 11, 3, 1, 1
2023/8/8, 15, 7, 17, 3, 1, 1
2023/8/9, 19, 17, 9, 1, , 1
2023/8/10, 20, 17, 14, 2, , 
2023/8/11, 22, 14, 19, 4, 1, 1
2023/8/12, 26, 9, 21, 4, 2, 1
2023/8/13, 24, 14, 8, 3, 1, 1
2023/8/14, 23, 24, 7, 1, 1, 
2023/8/15, 31, 29, 21, 1, 1, 1
2023/8/16, 34, 27, 18, 1, 1, 1
2023/8/18, 32, 18, 14, 6, 5, 1
2023/8/19, 39, 20, 26, 4, 6, 1
2023/8/20, 47, 13, 23, 2, 2, 1
2023/8/21, 37, 7, 10, 2, 1, 
2023/8/22, 15, 10, 8, 1, , 
2023/8/23, 16, 10, 7, 1, 1, 
2023/8/24, 17, 10, 8, 2, 4, 1
2023/8/25, 17, 8, 7, 4, 5, 1
2023/8/26, 19, 8, 16, 1, 1, 1
2023/8/27, 17, 9, 21, 5, 2, 1
2023/8/28, 28, 10, 36, 7, 5, 1
2023/8/29, 28, 10, 24, 8, 8, 1
2023/8/30, 27, 11, 9, 4, 7, 1
2023/8/31, 23, 10, 14, 4, 4, 
2023/9/1, 24, 9, 14, 3, 5, 1
2023/9/2, 24, 9, 16, 3, 3, 1
2023/9/3, 20, 10, 28, 3, 2, 1
2023/9/4, 26, 10, 13, 6, 1, 1
2023/9/5, 20, 10, 16, 4, 4, 1
2023/9/6, 25, 8, 11, 12, 7, 1
2023/9/7, 22, 9, 28, 7, 2, 1
2023/9/8, 25, 8, 24, 11, 2, 1
2023/9/9, 18, 9, 28, 8, 2, 1
2023/9/10, 22, 14, 16, 4, 3, 1
2023/9/11, 31, 8, 17, 8, 2, 1
2023/9/12, 21, 10, 30, 4, 1, 1
2023/9/13, 23, 12, 46, 9, 3, 1
2023/9/14, 36, 7, 15, 4, 2, 1
2023/9/15, 20, 15, 36, 8, 2, 2
2023/9/16, 33, 20, 44, 8, 3, 1
2023/9/17, 37, 8, 21, 4, 3, 1
2023/9/18, 26, 5, 13, 1, 2, 
2023/9/19, 14, 10, 15, 5, 5, 
2023/9/20, 26, 23, 37, 12, 4, 2
2023/9/21, 56, 19, 10, 6, 5, 1
2023/9/22, 36, 12, 26, 10, 5, 2
2023/9/23, 20, 6, 27, 6, 2, 1
2023/9/24, 12, 7, 33, 5, 4, 2
2023/9/25, 27, 9, 33, 9, 3, 2
2023/9/26, 30, 11, 35, 9, 4, 2
2023/9/27, 32, 12, 31, 11, 5, 3
2023/9/28, 33, 22, 42, 11, 5, 2
2023/9/29, 45, 14, 33, 5, 2, 1
2023/9/30, 29, 10, 36, 4, 2, 
2023/10/1, 25, 16, 35, 8, 5, 1
2023/4/2, 46, 13, 41, 7, 2, 
2023/4/3, 42, 8, 38, 7, 3, 2
2023/4/4, 32, 7, 42, 11, 1, 3
2023/4/5, 24, 8, 44, 12, 3, 2
2023/4/6, 33, 12, 37, 6, 3, 
2023/4/7, 33, 16, 34, 1, 1, 
2023/4/8, 40, 9, 41, 9, 2, 3
2023/4/9, 28, 9, 43, 8, 2, 3
2023/4/10, 41, 14, 43, 14, 6, 3
2023/4/11, 51, 14, 42, 10, 5, 
2023/4/12, 47, 15, 36, 9, 5, 2
2023/4/13, 45, 26, 40, 9, 4, 2
2023/4/14, 59, 27, 39, 7, 2, 
2023/4/15, 54, 13, 33, 9, 2, 2
2023/4/16, 27, 14, 40, 7, 2, 2
2023/4/17, 28, 10, 37, 8, 1, 2
2023/4/18, 27, 15, 40, 12, 2, 2
2023/4/19, 46, 31, 47, 16, 3, 5
2023/4/20, 65, 30, 44, 13, 4, 7
2023/4/21, 66, 15, 36, 15, 5, 11
