date, pm25, pm10, o3, no2, so2, co
2021/6/1, 72, 21, 46, 3, 1, 1
2021/6/2, 59, 10, 20, 4, 1, 1
2021/6/3, 22, 10, 43, 1, , 1
2021/6/4, 12, 10, 25, 1, 1, 1
2021/6/5, 23, 12, 34, 1, 2, 1
2021/6/6, 29, 12, 47, 3, 1, 1
2021/6/7, 34, 16, 46, 3, 3, 1
2021/6/8, 60, 27, 54, 3, 2, 1
2021/6/9, 83, 21, 49, 2, 1, 1
2021/6/10, 65, 19, 33, 5, , 1
2021/6/11, 43, 10, 15, 4, , 1
2021/6/12, 17, 11, 22, 1, , 1
2021/6/13, 22, 17, 29, 1, 5, 1
2021/6/14, 34, 15, 22, 2, 2, 1
2021/6/15, 40, 7, 28, 2, 2, 1
2021/6/16, 9, 12, 32, 2, 1, 1
2021/6/17, 17, 11, 22, 3, , 1
2021/6/18, 22, , , , , 
2021/5/1, 51, 12, 44, 1, 1, 1
2021/5/2, 35, 11, 43, 1, 4, 1
2021/5/3, 34, 15, 39, 1, 2, 1
2021/5/4, 47, 21, 41, 1, 1, 1
2021/5/5, 34, 15, 47, 2, 4, 1
2021/5/6, 44, 16, 31, 2, , 1
2021/5/7, 45, 22, 58, 1, 1, 1
2021/5/8, 49, 32, 59, 1, 1, 1
2021/5/9, 69, 39, 80, 2, 1, 1
2021/5/10, 82, 42, 39, 5, 1, 1
2021/5/11, 73, 16, 34, 2, , 1
2021/5/12, 28, 14, 33, 3, 1, 1
2021/5/13, 21, 24, 36, 2, 1, 1
2021/5/14, 33, 13, 21, 2, 1, 1
2021/5/15, 10, 12, 21, 1, , 1
2021/5/16, 17, 14, 34, 1, , 1
2021/5/17, 20, 24, 39, 1, , 1
2021/5/18, 23, 12, 45, 1, , 1
2021/5/19, 32, 14, 26, 2, , 2
2021/5/20, 16, 12, 49, 2, , 1
2021/5/21, 23, 13, 58, 1, , 1
2021/5/22, 36, 13, 54, 1, 1, 1
2021/5/23, 45, 12, 38, 2, , 1
2021/5/24, 23, 27, 51, 1, 1, 1
2021/5/25, 52, 24, 33, 5, 1, 2
2021/5/26, 50, 9, 46, 2, , 1
2021/5/27, 11, 11, 51, 2, , 1
2021/5/28, 31, 15, 60, 1, 1, 1
2021/5/29, 46, 19, 63, 3, 1, 1
2021/5/30, 53, 20, 82, 3, 2, 1
2021/5/31, 64, 26, 85, 3, 2, 1
2021/4/10, 36, 14, 48, 2, 5, 1
2021/4/11, 40, 13, 35, 5, 1, 1
2021/4/12, 33, 10, 42, 3, , 1
2021/4/13, 16, 12, 46, 2, , 1
2021/4/14, 34, 11, 43, 3, 2, 2
2021/4/15, 29, 12, 33, 3, 1, 1
2021/4/16, 24, 17, 41, 2, , 1
2021/4/17, 36, 13, 39, 1, , 2
2021/4/18, 31, 11, 52, 3, 1, 1
2021/4/19, 41, 11, 58, 4, 1, 1
2021/4/20, 46, 16, 60, 4, 2, 1
2021/4/21, 56, 18, 52, 4, 1, 1
2021/4/22, 60, 12, 47, 4, 1, 1
2021/4/23, 48, 14, 42, 2, 1, 1
2021/4/24, 42, 11, 45, 1, 1, 1
2021/4/25, 37, 11, 43, 3, 2, 1
2021/4/26, 31, 16, 42, 3, 1, 1
