date, pm25, pm10, o3, no2, so2, co
2021/6/1, 58, 18, 66, 5, 1, 4
2021/6/2, 69, 16, 32, 6, 1, 4
2021/6/3, 57, 9, 36, 5, , 3
2021/6/4, 23, 8, 41, 4, 2, 3
2021/6/5, 35, 8, 54, 2, 1, 2
2021/6/6, 36, 9, 56, 4, 1, 3
2021/6/7, 42, 15, 65, 5, 3, 3
2021/6/8, 66, 16, 79, 4, 2, 4
2021/6/9, 65, 21, 76, 5, 1, 3
2021/6/10, 75, 18, 27, 7, 1, 3
2021/6/11, 68, 19, 30, 4, 1, 4
2021/6/12, 61, 12, 33, 1, , 3
2021/6/13, 47, 11, 40, 3, 1, 3
2021/6/14, 39, 10, 30, 2, , 2
2021/6/15, 36, 6, 25, 3, , 3
2021/6/16, 27, 8, 39, 2, 1, 3
2021/6/17, 33, 8, 19, 9, 1, 3
2021/6/18, 37, , , , , 
2021/5/1, 31, 4, 34, 1, , 2
2021/5/2, 17, 10, 45, 2, 1, 3
2021/5/3, 30, 10, 43, 3, 5, 2
2021/5/4, 41, 13, 37, 2, 1, 3
2021/5/5, 27, 10, 52, 4, 1, 3
2021/5/6, 36, 12, 37, 8, 1, 4
2021/5/7, 42, 18, 41, 5, 1, 3
2021/5/8, 61, 19, 50, 3, 1, 2
2021/5/9, 60, 8, 48, 4, 1, 3
2021/5/10, 28, 13, 44, 7, 4, 5
2021/5/11, 45, 13, 33, 5, 1, 3
2021/5/12, 41, 7, 38, 3, 1, 3
2021/5/13, 26, 13, 43, 5, 1, 4
2021/5/14, 44, 13, 29, 5, 2, 4
2021/5/15, 40, 14, 16, 5, 1, 4
2021/5/16, 36, 11, 21, 7, 1, 3
2021/5/17, 30, 16, 24, 8, 1, 4
2021/5/18, 36, 8, 42, 4, 1, 3
2021/5/19, 29, 8, 16, 8, , 5
2021/5/20, 30, 6, 46, 4, 1, 2
2021/5/21, 23, 8, 45, 2, 1, 3
2021/5/22, 27, 10, 57, 2, 1, 3
2021/5/23, 41, 11, 37, 4, 1, 4
2021/5/24, 47, 17, 54, 3, 1, 3
2021/5/25, 52, 23, 45, 4, 1, 3
2021/5/26, 66, 8, 33, 6, 1, 3
2021/5/27, 34, 11, 48, 4, 1, 3
2021/5/28, 40, 11, 55, 2, 1, 3
2021/5/29, 50, 10, 53, 1, 1, 2
2021/5/30, 35, 9, 76, 2, 2, 3
2021/5/31, 39, 15, 73, 4, 1, 3
2021/4/1, 41, , 47, , , 
2021/4/2, 51, , 42, , , 
2021/4/3, 42, , 36, , , 
2021/4/4, 24, , 37, , , 
2021/4/5, 15, , 39, , , 
2021/4/6, 22, , 44, , , 
2021/4/7, 33, , 46, , , 
2021/4/8, 37, , 39, , , 
2021/4/9, 35, 9, 37, 7, 2, 4
