date, pm25, pm10, o3, no2, so2, co
2021/6/2, 59, 19, 45, 10, 2, 2
2021/6/3, 54, 12, 34, 5, 1, 1
2021/6/4, 38, 7, 36, 9, 1, 1
2021/6/5, 20, 10, 46, 8, 1, 
2021/6/6, 33, 12, 52, 7, 2, 
2021/6/7, 44, 12, 48, 13, 2, 
2021/6/8, 47, 19, 66, 11, 2, 
2021/6/9, 62, 18, 66, 10, 1, 
2021/6/10, 60, 16, 57, 13, 1, 
2021/6/11, 57, 18, 43, 9, 1, 
2021/6/12, 60, 14, 28, 6, 1, 
2021/6/13, 45, 16, 32, 5, 1, 
2021/6/14, 47, 15, 33, 12, 1, 2
2021/6/15, 50, 21, 43, 15, 2, 2
2021/6/16, 58, 10, 30, 4, 1, 1
2021/6/17, 29, 9, 42, 5, 1, 1
2021/6/18, 28, 16, 19, 14, 1, 2
2021/6/19, 50, 7, 29, 5, 1, 1
2021/6/20, 17, 12, 8, 7, , 
2021/6/21, 32, , , , , 
2021/5/2, 41, 8, 42, 3, 1, 
2021/5/3, 28, 9, 49, 5, 1, 
2021/5/4, 34, 11, 48, 9, 3, 
2021/5/5, 44, 11, 41, 6, 1, 
2021/5/6, 32, 18, 53, 11, 1, 
2021/5/7, 44, 23, 27, 19, 4, 
2021/5/8, 60, 29, 41, 12, 2, 
2021/5/9, 63, 26, 74, 8, 1, 2
2021/5/10, 65, 10, 48, 11, 2, 2
2021/5/11, 36, 14, 55, 10, 2, 2
2021/5/12, 44, 9, 41, 4, , 2
2021/5/13, 29, 10, 44, 8, 1, 2
2021/5/14, 28, 16, 37, 12, 1, 2
2021/5/15, 40, 12, 24, 10, 1, 2
2021/5/16, 37, 14, 26, 9, 2, 2
2021/5/17, 35, 12, 34, 9, 5, 2
2021/5/18, 33, 11, 38, 6, 1, 3
2021/5/19, 35, 15, 35, 14, 1, 3
2021/5/20, 37, 13, 21, 13, 1, 3
2021/5/21, 37, 10, 47, 7, 1, 1
2021/5/22, 26, 10, 52, 3, 1, 
2021/5/23, 36, 13, 59, 7, 1, 
2021/5/24, 43, 16, 40, 9, 1, 
2021/5/25, 46, 21, 61, 7, 1, 
2021/5/26, 46, 28, 33, 12, 1, 
2021/5/27, 70, , , , , 
2021/4/11, 26, 8, 38, 5, 1, 3
2021/4/12, 27, 8, 37, 7, 1, 2
2021/4/13, 27, 8, 30, 11, 1, 2
2021/4/14, 30, 10, 37, 8, , 2
2021/4/15, 31, 7, 41, 9, 1, 
2021/4/16, 24, 11, 36, 11, 1, 
2021/4/17, 37, 9, 42, 8, 1, 
2021/4/18, 24, 14, 38, 3, 1, 
2021/4/19, 38, 14, 52, 10, 1, 
2021/4/20, 44, 15, 57, 18, 1, 
2021/4/21, 43, 19, 65, 18, 4, 
2021/4/22, 58, 10, 44, 10, 1, 
2021/4/23, 37, 12, 48, 9, 1, 2
2021/4/24, 42, 20, 45, 14, 2, 2
2021/4/25, 54, 14, 44, 7, 1, 2
2021/4/26, 42, 7, 43, 6, 1, 2
2021/4/27, 24, 9, 32, 10, 1, 2
2021/4/28, 27, 15, 23, 17, 2, 2
2021/4/29, 41, 7, 31, 10, 1, 
2021/4/30, 21, 17, 42, 9, 1, 
2021/5/1, 47, 12, 41, 7, 1, 
2021/3/2, 25, 5, 32, 14, 1, 3
2021/3/3, 17, 7, 37, 5, 1, 2
2021/3/4, 22, 10, 19, 20, 2, 2
2021/3/5, 30, 6, 30, 6, , 2
2021/3/6, 16, 14, 37, 11, 1, 2
2021/3/7, 40, 6, 36, 3, 1, 2
2021/3/8, 25, 7, 35, 7, 1, 2
2021/3/9, 25, 8, 26, 17, 3, 3
2021/3/10, 24, 17, 41, 13, 2, 3
2021/3/11, 55, 10, 25, 19, 3, 3
2021/3/12, 36, 11, 29, 17, 1, 3
2021/3/13, 40, 13, 39, 8, , 3
2021/3/14, 35, 12, 42, 6, 1, 3
2021/3/15, 30, 25, 43, 15, 1, 5
2021/3/16, 66, 24, 30, 19, 4, 5
2021/3/17, 69, 23, 42, 12, 2, 3
2021/3/18, 55, 12, 35, 9, 1, 2
2021/3/19, 31, 9, 40, 10, 1, 3
2021/3/20, 26, 14, 29, 16, 2, 2
2021/3/21, 31, 25, 40, 13, 1, 3
2021/3/22, 51, 11, 37, 6, 2, 3
2021/3/23, 39, 8, 43, 13, 1, 3
2021/3/24, 23, 12, 46, 12, 2, 3
2021/3/25, 38, 16, 25, 18, 2, 2
2021/3/26, 50, 16, 54, 12, 2, 2
2021/3/27, 50, 16, 44, 11, 1, 2
2021/3/28, 49, 14, 39, 8, , 1
2021/3/29, 35, 21, 36, 16, , 2
2021/3/30, 50, , , , , 
2021/2/2, 58, 14, 35, 8, 1, 3
2021/2/3, 36, 7, 36, 5, 1, 2
2021/2/4, 27, 11, 36, 12, , 3
2021/2/5, 32, 9, 34, 16, 1, 4
2021/2/6, 33, 8, 35, 13, 1, 2
2021/2/7, 27, 15, 42, 11, , 3
2021/2/8, 44, 14, 36, 6, 1, 3
2021/2/9, 40, 10, 31, 10, 1, 3
2021/2/10, 21, 9, 35, 12, 1, 4
2021/2/11, 30, 18, 41, 15, 2, 4
2021/2/12, 58, 21, 32, 15, 1, 5
2021/2/13, 69, 32, 16, 27, 5, 4
2021/2/14, 88, 20, 25, 15, 2, 3
2021/2/15, 57, 9, 38, 7, , 3
2021/2/16, 28, 6, 39, 4, 1, 3
2021/2/17, 26, 5, 34, 3, 1, 3
2021/2/18, 27, 5, 32, 2, 1, 3
2021/2/19, 23, 5, 36, 5, , 2
2021/2/20, 27, , , , , 
2021/1/5, 29, 12, 34, 13, 2, 4
2021/1/6, 51, 5, 34, 9, 1, 3
2021/1/7, 18, 4, 30, 2, 1, 2
2021/1/8, 18, 3, 31, 2, , 2
2021/1/9, 11, 4, 32, 2, , 2
2021/1/10, 11, 5, 31, 1, , 2
2021/1/11, 15, 11, 28, 11, 2, 3
2021/1/12, 35, 13, 21, 13, 1, 3
2021/1/13, 38, 20, 30, 19, 1, 5
2021/1/14, 55, 27, 28, 23, 3, 5
2021/1/15, 63, 36, 15, 27, 5, 5
2021/1/16, 74, 30, 34, 17, 1, 4
2021/1/17, 70, 11, 33, 4, 1, 3
2021/1/18, 27, 7, 33, 8, 1, 3
2021/1/19, 29, 7, 31, 6, 1, 3
2021/1/20, 25, 7, 30, 12, 1, 4
