date, pm25, pm10, o3, no2, so2, co
2023/11/2, 59, 22, 36, 9, 1, 
2023/11/3, 55, 32, 64, 10, 1, 
2023/11/4, 85, 34, 53, 9, 1, 
2023/11/5, 100, 26, 48, 5, 1, 
2023/11/6, 79, 14, 33, 1, 1, 
2023/11/7, 30, 13, 37, 2, , 
2023/11/8, 17, 11, 36, 4, , 
2023/11/9, 57, 13, 40, 3, 1, 
2023/11/10, 44, 9, 30, 2, , 
2023/11/11, 18, 2, 27, , , 
2023/11/12, 10, 6, 12, , , 
2023/11/13, 13, , , , , 
2023/10/2, 27, 9, 37, 2, , 
2023/10/3, 18, 11, 51, 5, 1, 
2023/10/4, 33, 6, 36, 1, , 
2023/10/5, 15, 7, 35, 3, 1, 
2023/10/6, 21, 6, 32, 1, , 
2023/10/7, 32, 7, 33, 1, , 
2023/10/8, 42, 8, 30, 2, 1, 
2023/10/9, 14, 3, 29, 1, , 
2023/10/10, 7, 3, 37, 2, 1, 
2023/10/11, 25, 6, 32, 3, 1, 
2023/10/12, 40, 11, 45, 5, 1, 
2023/10/13, 46, 13, 47, 6, 1, 
2023/10/14, 44, 16, 38, 6, 1, 
2023/10/15, 46, 6, 46, 1, 1, 
2023/10/16, 22, 9, 41, 4, 1, 
2023/10/17, 38, 10, 39, 3, 1, 
2023/10/18, 34, 13, 46, 7, 1, 
2023/10/19, 31, 14, 47, 6, 1, 
2023/10/20, 42, 12, 39, 2, 1, 
2023/10/21, 39, 4, 30, 1, 1, 
2023/10/22, 7, 4, 32, 2, 1, 
2023/10/23, 54, 9, 36, 7, 1, 
2023/10/24, 46, 13, 48, 7, 1, 
2023/10/25, 48, 17, 42, 10, 1, 
2023/10/26, 53, 14, 42, 8, 1, 
2023/10/27, 48, 19, 61, 5, 1, 
2023/10/28, 56, 8, 42, 3, , 
2023/10/29, 24, 4, 29, 1, , 
2023/10/30, 22, 7, 33, 6, 1, 
2023/10/31, 54, 10, 36, 7, , 
2023/11/1, 25, 19, 43, 8, 1, 
2023/7/2, 8, 9, 42, 2, 1, 
2023/7/3, 51, 18, 43, 4, 1, 
2023/7/4, 20, 19, 55, 2, 1, 
2023/7/5, 33, 10, 40, 2, 1, 
2023/7/6, 14, 14, 68, 5, 1, 
2023/7/7, 47, 21, 46, 2, 1, 
2023/7/8, 56, 30, 16, 1, , 
2023/7/9, 40, 30, 20, 1, 1, 
2023/7/10, 46, 28, 23, 4, 1, 
2023/7/11, 51, 23, 40, 6, 1, 
2023/7/12, 50, 28, 21, 5, 1, 
2023/7/13, 57, 18, 29, 6, 1, 
2023/7/14, 22, 17, 28, 5, 1, 
2023/7/15, 34, 18, 17, 2, , 
2023/7/16, 25, 14, 20, 2, 1, 
2023/7/17, 31, 16, 42, 5, 1, 
2023/7/18, 35, 22, 66, , 1, 
2023/7/19, 55, 24, 20, 4, 1, 
2023/7/20, 59, 9, 45, 3, 1, 
2023/7/21, 25, 13, 41, 2, 1, 
2023/7/22, 31, 13, 42, 1, 1, 
2023/7/23, 30, 13, 50, 1, 1, 
2023/7/24, 36, 10, 27, 1, , 
2023/7/25, 27, 10, 30, 1, , 
2023/7/26, 31, 17, 41, 3, 1, 
2023/7/27, 44, 20, 44, 3, 1, 
2023/7/28, 49, 13, 25, 2, , 
2023/7/29, 27, 8, 28, 2, , 
2023/7/30, 28, 9, 18, 1, 1, 
2023/7/31, 25, 9, 16, 1, , 
2023/8/1, 25, 13, 16, 2, , 
2023/8/2, 28, 12, 15, 1, , 
2023/8/3, 27, 13, 15, 2, 4, 
2023/8/4, 40, 11, 22, 1, 1, 
2023/8/5, 25, 9, 18, 1, 1, 
2023/8/6, 14, 11, 16, 1, 1, 
2023/8/7, 10, 11, 14, 1, , 
2023/8/8, 14, 11, 18, 1, , 
2023/8/9, 38, 18, 12, 1, , 
2023/8/10, 11, 15, 16, 1, , 
2023/8/11, 28, 14, 31, 1, 1, 
2023/8/12, 38, 17, 47, 1, 1, 
2023/8/13, 37, 13, 24, 1, 1, 
2023/8/14, 33, 17, 12, 1, , 
2023/8/15, 15, 41, 29, 1, , 
2023/8/16, 55, 27, 22, 1, , 
2023/8/17, 46, 15, 18, , , 
2023/8/18, 31, 16, 14, 1, , 
2023/8/19, 35, 16, 26, 1, , 
2023/8/20, 33, 16, 31, 1, , 
2023/8/21, 40, 11, 34, 1, 1, 
2023/8/22, 23, 10, 15, 1, , 
2023/8/23, 29, 13, 9, 1, , 
2023/8/24, 17, 10, 9, 1, , 
2023/8/25, 5, 7, 13, 1, , 
2023/8/26, 38, 8, 24, 1, , 
2023/8/27, 21, 10, 30, 1, , 
2023/8/28, 30, 16, 39, 3, 1, 
2023/8/29, 31, 9, 21, 1, , 
2023/8/30, 25, 14, 11, 1, , 
2023/8/31, 31, 13, 13, 1, , 
2023/9/1, 19, 10, 12, 1, , 
2023/9/2, 7, 9, 20, 1, , 
2023/9/3, 12, 12, 41, 1, 1, 
2023/9/4, 40, 15, 24, 1, 1, 
2023/9/5, 21, 7, 24, 1, , 
2023/9/6, 19, 10, 14, 2, , 
2023/9/7, 6, 8, 30, 3, 1, 
2023/9/8, 11, 10, 24, 3, , 
2023/9/9, 13, 9, 39, 2, 1, 
2023/9/10, 46, 11, 22, 1, , 
2023/9/11, 34, 7, 17, 1, , 
2023/9/12, 10, 8, 25, 2, , 
2023/9/13, 48, 12, 37, 2, , 
2023/9/14, 34, 9, 23, 2, , 
2023/9/15, 50, 12, 55, 4, 1, 
2023/9/16, 42, 12, 31, 2, 1, 
2023/9/17, 41, 10, 16, 1, , 
2023/9/18, 29, 8, 13, 1, , 
2023/9/19, 19, 13, 21, 2, , 
2023/9/20, 49, 24, 31, 4, 1, 
2023/9/21, 35, 18, 12, 2, , 
2023/9/22, 20, 12, 37, 6, 1, 
2023/9/23, 14, 9, 35, 2, 1, 
2023/9/24, 15, 7, 39, 1, 1, 
2023/9/25, 25, 9, 40, 1, 1, 
2023/9/26, 27, 10, 41, 4, 1, 
2023/9/27, 27, 16, 63, 4, 1, 
2023/9/28, 42, 17, 49, 4, 1, 
2023/9/29, 48, 9, 46, 2, 1, 
2023/9/30, 35, 10, 41, 1, 1, 
2023/10/1, 27, 12, 39, 1, 1, 
2023/4/2, 59, 18, 54, 2, 1, 
2023/4/3, 52, 15, 48, 2, 1, 
2023/4/4, 19, 15, 53, 4, , 
2023/4/5, 32, 12, 47, 4, , 
2023/4/6, 34, 18, 41, 2, , 
2023/4/7, 40, 29, 36, 1, , 
2023/4/8, 16, 17, 45, 2, , 
2023/4/9, 50, 13, 42, 1, 1, 
2023/4/10, 50, 15, 52, 6, 1, 
2023/4/11, 51, 14, 46, 3, 1, 
2023/4/12, 49, 20, 39, 3, , 
2023/4/13, 47, 31, 48, 2, 1, 
2023/4/14, 60, 29, 50, 5, 1, 
2023/4/15, 66, 12, 38, 1, , 
2023/4/16, 28, 11, 48, 2, , 
2023/4/17, 39, 18, 42, 1, , 
2023/4/18, 40, 23, 49, 4, 1, 
2023/4/19, 60, 28, 36, 8, 1, 
2023/4/20, 87, 32, 55, 7, 1, 
2023/4/21, 88, 22, 54, 5, 1, 
2023/4/22, 56, 24, 39, 2, 1, 
2023/4/23, 35, 18, 51, 2, 1, 
2023/4/24, 45, 13, 42, 4, 1, 
2023/4/25, 31, 13, 45, 3, 1, 
