date, pm25, pm10, o3, no2, so2, co
2021/6/1, 50, 10, 39, 3, 1, 
2021/6/2, 38, 10, 35, 2, 1, 
2021/6/3, 31, 3, 41, 1, , 
2021/6/4, 8, 8, 48, 2, 1, 
2021/6/5, 30, 9, 43, 1, 1, 
2021/6/6, 32, 13, 65, 4, 1, 
2021/6/7, 48, 20, 69, 4, 2, 
2021/6/8, 62, 18, 68, 4, 1, 
2021/6/9, 63, 17, 47, 7, 1, 
2021/6/10, 60, 11, 32, 3, , 
2021/6/11, 43, 10, 30, 2, 1, 
2021/6/12, 41, 12, 25, 2, , 
2021/6/13, 43, 11, 35, 3, 1, 
2021/6/14, 37, 12, 38, 4, 1, 
2021/6/15, 35, 10, 29, 5, , 
2021/6/16, 21, 10, 40, 2, 1, 
2021/6/17, 34, 14, 29, 3, , 
2021/6/18, 41, , , , , 
2021/5/1, 47, 10, 41, 1, 1, 
2021/5/2, 31, 10, 45, 1, 1, 
2021/5/3, 37, 11, 55, 1, 1, 
2021/5/4, 42, 12, 30, 2, , 
2021/5/5, 36, 9, 52, 2, 1, 
2021/5/6, 30, 11, 32, 5, , 
2021/5/7, 33, 16, 51, 3, 1, 
2021/5/8, 47, 26, 58, 2, 1, 
2021/5/9, 78, 13, 51, 3, 1, 
2021/5/10, 46, 9, 46, 3, 1, 
2021/5/11, 35, 10, 40, 4, 1, 
2021/5/12, 31, 5, 42, 3, 1, 
2021/5/13, 15, 9, 46, 4, 1, 
2021/5/14, 37, 9, 35, 3, , 
2021/5/15, 33, 7, 34, 2, , 
2021/5/16, 12, 10, 26, 5, , 
2021/5/17, 16, 8, 36, 3, 1, 
2021/5/18, 32, 11, 25, 5, 1, 
2021/5/19, 30, 9, 20, 8, 1, 
2021/5/20, 23, 8, 36, 5, , 
2021/5/21, 16, 11, 45, 2, 1, 
2021/5/22, 31, 9, 43, 1, 1, 
2021/5/23, 37, 13, 43, 3, 1, 
2021/5/24, 39, 13, 59, 1, 1, 
2021/5/25, 51, 16, 51, 3, 1, 
2021/5/26, 54, 8, 40, 3, , 
2021/5/27, 26, 10, 43, 3, 1, 
2021/5/28, 34, 12, 56, 3, 1, 
2021/5/29, 41, 10, 48, 1, 1, 
2021/5/30, 38, 11, 56, 2, 1, 
2021/5/31, 41, 14, 54, 3, 1, 
2021/4/1, 73, 34, 44, 6, , 
2021/4/2, 65, 17, 39, 1, , 
2021/4/3, 40, 22, 33, 2, , 
2021/4/4, 35, 7, 38, 2, , 
2021/4/5, 15, 14, 31, 8, 1, 
2021/4/6, 26, 12, 41, 4, 1, 
2021/4/7, 22, 12, 48, 4, 1, 
2021/4/8, 34, 10, 41, 3, 1, 
