date, pm25, pm10, o3, no2, so2, co
2021/9/2, 66, 20, 18, 10, 2, 2
2021/9/3, 33, 5, 12, 2, 1, 2
2021/9/4, 9, 5, 26, 4, , 2
2021/9/5, 16, 9, 32, 3, 1, 2
2021/9/6, 27, 10, 38, 8, 1, 3
2021/9/7, 30, 13, 28, 13, 1, 4
2021/9/8, 37, 18, 31, 13, 1, 3
2021/9/9, 43, 10, 39, 9, 1, 4
2021/9/10, 27, 16, 51, 13, 1, 4
2021/9/11, 43, 20, 48, 12, 1, 5
2021/9/12, 57, 21, 39, 7, 1, 4
2021/9/13, 57, 20, 36, 10, 1, 4
2021/9/14, 51, 11, 25, 8, , 3
2021/9/15, 27, 7, 21, 6, , 3
2021/9/16, 19, 10, 27, 6, 1, 3
2021/9/17, 27, 13, 26, 11, 1, 4
2021/9/18, 30, 5, 30, 5, 1, 3
2021/9/19, 15, 8, 28, 1, , 2
2021/9/20, 19, , , , , 
2021/8/2, 64, 26, 41, 10, 1, 3
2021/8/3, 70, 19, 30, 9, 1, 3
2021/8/4, 56, 17, 38, 10, 1, 3
2021/8/5, 53, 20, 77, 11, 1, 4
2021/8/6, 54, 14, 35, 9, 1, 3
2021/8/7, 48, 10, 38, 7, 1, 3
2021/8/8, 34, 13, 17, 3, 1, 2
2021/8/9, 29, 7, 24, 4, , 2
2021/8/10, 15, 15, 39, 15, 1, 4
2021/8/11, 34, 16, 33, 9, 1, 4
2021/8/12, 44, 8, 29, 11, 1, 3
2021/8/13, 15, 10, 11, 8, 1, 3
2021/8/14, 11, 7, 41, 6, , 2
2021/8/15, 13, 6, 38, 5, 1, 3
2021/8/16, 18, 10, 17, 7, 1, 4
2021/8/17, 24, 14, 9, 11, 1, 4
2021/8/18, 24, 10, 21, 14, 1, 3
2021/8/19, 19, 10, 27, 13, 1, 4
2021/8/20, 21, 11, 18, 15, 1, 4
2021/8/21, 26, 16, 28, 12, 1, 4
2021/8/22, 34, 15, 8, 7, 1, 3
2021/8/23, 24, 15, 18, 9, 1, 4
2021/8/24, 34, 16, 10, 5, 1, 2
2021/8/25, 29, 19, 18, 9, 1, 3
2021/8/26, 41, 21, 29, 12, 1, 4
2021/8/27, 49, 20, 35, 13, 1, 4
2021/8/28, 50, 13, 33, 11, 1, 4
2021/8/29, 38, 13, 38, 5, 1, 3
2021/8/30, 37, 14, 35, 9, 1, 3
2021/8/31, 43, 19, 42, 8, 1, 3
2021/9/1, 57, 26, 31, 9, 1, 4
2021/7/2, 34, 17, 41, 12, 1, 5
2021/7/3, 39, 19, 35, 9, 1, 3
2021/7/4, 48, 29, 13, 5, 1, 3
2021/7/5, 54, 18, 16, 10, 1, 3
2021/7/6, 34, 19, 16, 12, 2, 3
2021/7/7, 53, 21, 16, 10, 1, 3
2021/7/8, 45, 14, 18, 13, 1, 3
2021/7/9, 28, 14, 20, 18, 1, 4
2021/7/10, 34, 13, 36, 15, 1, 4
2021/7/11, 44, 14, 43, 8, 1, 3
2021/7/12, 51, 15, 26, 11, 1, 3
2021/7/13, 44, 17, 37, 11, 1, 4
2021/7/14, 45, 23, 35, 13, 1, 4
2021/7/15, 58, 20, 40, 10, 1, 3
2021/7/16, 62, 10, 22, 8, 1, 3
2021/7/17, 39, 14, 28, 9, 1, 4
2021/7/18, 42, 13, 9, 7, 1, 3
2021/7/19, 30, 14, 33, 10, 1, 3
2021/7/20, 42, 17, 59, 12, 2, 3
2021/7/21, 48, 20, 60, 13, 1, 4
2021/7/22, 57, 17, 57, 9, 1, 4
2021/7/23, 53, 18, 55, 9, 2, 4
2021/7/24, 55, 18, 52, 9, 2, 4
2021/7/25, 53, 16, 49, 7, 2, 3
2021/7/26, 51, 14, 45, 10, 1, 3
2021/7/27, 47, 15, 49, 11, 1, 3
2021/7/28, 50, 15, 48, 9, 1, 3
2021/7/29, 50, 18, 42, 9, 1, 3
2021/7/30, 55, 18, 56, 14, 1, 4
2021/7/31, 55, 13, 51, 9, 1, 3
2021/8/1, 46, 22, 46, 6, 1, 3
2021/6/2, 62, 24, 62, 17, 1, 5
2021/6/3, 66, 21, 30, 14, 1, 4
2021/6/4, 58, 8, 31, 16, , 4
2021/6/5, 19, 9, 44, 8, 1, 3
2021/6/6, 31, 11, 44, 9, 1, 3
2021/6/7, 38, 12, 43, 15, 1, 3
2021/6/8, 41, 21, 59, 15, 1, 4
2021/6/9, 61, 22, 81, 13, 1, 4
2021/6/10, 65, 25, 69, 14, 1, 4
2021/6/11, 69, 20, 44, 16, 1, 4
2021/6/12, 60, 23, 34, 12, 1, 4
2021/6/13, 59, 18, 39, 7, 1, 4
2021/6/14, 49, 14, 35, 12, 1, 4
2021/6/15, 39, 13, 25, 12, , 3
2021/6/16, 35, 8, 26, 7, , 2
2021/6/17, 21, 11, 41, 11, 1, 4
2021/6/18, 31, 11, 20, 16, 1, 3
2021/6/19, 26, 8, 37, 12, 1, 4
2021/6/20, 20, 11, 43, 7, 1, 3
2021/6/21, 38, 16, 48, 12, 2, 3
2021/6/22, 52, 18, 48, 11, 1, 3
2021/6/23, 56, 15, 49, 11, 1, 3
2021/6/24, 46, 18, 53, 11, 1, 4
2021/6/25, 51, 23, 47, 10, 1, 3
2021/6/26, 61, 26, 29, 10, 1, 4
2021/6/27, 68, 19, 43, 8, 1, 4
2021/6/28, 52, 19, 56, 13, 1, 5
2021/6/29, 54, 19, 47, 13, 1, 4
2021/6/30, 53, 18, 46, 12, 1, 4
2021/7/1, 53, 14, 33, 9, 1, 3
2021/5/2, 40, 9, 39, 3, 1, 2
2021/5/3, 36, 12, 42, 7, 1, 3
2021/5/4, 44, 13, 42, 7, 3, 3
2021/5/5, 44, 11, 38, 9, 1, 3
2021/5/6, 25, 14, 46, 13, 2, 4
2021/5/7, 54, 17, 34, 19, 1, 4
2021/5/8, 54, 21, 38, 14, 1, 4
2021/5/9, 60, 23, 51, 7, , 3
2021/5/10, 61, 12, 42, 14, 2, 4
2021/5/11, 42, 18, 37, 15, 4, 5
2021/5/12, 52, 13, 33, 7, 2, 3
2021/5/13, 40, 8, 40, 13, 1, 4
2021/5/14, 29, 14, 37, 15, 1, 5
2021/5/15, 44, 15, 25, 15, 1, 4
2021/5/16, 42, 19, 14, 12, 1, 5
2021/5/17, 53, 15, 27, 11, 1, 3
2021/5/18, 31, 13, 23, 18, 1, 4
2021/5/19, 36, 12, 36, 14, 1, 4
2021/5/20, 37, 12, 15, 16, 1, 5
2021/5/21, 31, 9, 44, 11, 1, 3
2021/5/22, 25, 12, 44, 10, 1, 3
2021/5/23, 41, 15, 51, 8, 1, 3
2021/5/24, 44, 15, 37, 13, 1, 3
2021/5/25, 45, 20, 51, 13, 1, 4
2021/5/26, 55, 28, 42, 16, 1, 4
2021/5/27, 65, 10, 39, 13, 1, 4
2021/5/28, 30, 14, 45, 14, 1, 4
2021/5/29, 42, 16, 53, 12, 1, 4
2021/5/30, 49, 11, 49, 6, 1, 4
2021/5/31, 40, 16, 65, 12, 1, 5
2021/6/1, 54, 20, 67, 16, 1, 5
2021/4/2, 52, , 44, , , 
2021/4/3, 60, , 37, , , 
2021/4/4, 52, , 33, , , 
2021/4/5, 27, , 34, , , 
2021/4/6, 16, , 33, , , 
2021/4/7, 27, , 41, , , 
2021/4/8, 32, , 43, , , 
2021/4/9, 44, , 37, , , 
2021/4/10, 37, 9, 36, 13, 1, 4
