date, pm25, pm10, o3, no2, so2, co
2021/6/1, 62, 14, 45, 10, 1, 2
2021/6/2, 57, 10, 42, 9, 1, 2
2021/6/3, 49, 6, 33, 14, 1, 3
2021/6/4, 19, 12, 42, 12, 2, 3
2021/6/5, 49, 11, 63, 9, 3, 3
2021/6/6, 53, 13, 56, 15, 4, 3
2021/6/7, 57, 22, 79, 15, 4, 4
2021/6/8, 74, 19, 68, 10, 2, 3
2021/6/9, 74, 24, 61, 9, 2, 3
2021/6/10, 72, 17, 42, 10, 3, 3
2021/6/11, 61, 11, 34, 6, 3, 2
2021/6/12, 53, 15, 34, 7, 2, 2
2021/6/13, 57, 13, 40, 9, 2, 2
2021/6/14, 48, 14, 48, 10, 2, 2
2021/6/15, 57, 10, 28, 14, 1, 3
2021/6/16, 39, 10, 51, 11, 2, 2
2021/6/17, 44, 11, 29, 12, 2, 2
2021/6/18, 47, , , , , 
2021/5/1, 65, 10, 42, 2, 1, 2
2021/5/2, 43, 12, 48, 6, 1, 1
2021/5/3, 55, 13, 50, 9, 2, 3
2021/5/4, 56, 12, 40, 10, 1, 3
2021/5/5, 42, 19, 66, 17, 2, 3
2021/5/6, 48, 19, 36, 25, 3, 3
2021/5/7, 62, , , , , 
2021/5/10, 61, 11, 45, 10, 1, 3
2021/5/11, 46, 11, 39, 11, 1, 3
2021/5/12, 43, 10, 40, 10, 1, 3
2021/5/13, 34, 15, 68, 18, 2, 3
2021/5/14, 59, 11, 41, 12, 1, 2
2021/5/15, 50, 7, 28, 5, 1, 2
2021/5/16, 25, 17, 11, 10, 2, 2
2021/5/17, 43, 23, 33, 16, 2, 3
2021/5/18, 48, 19, 22, 22, 1, 5
2021/5/19, 68, 12, 17, 19, 1, 4
2021/5/20, 43, 13, 44, 14, , 2
2021/5/21, 32, 14, 44, 10, 3, 3
2021/5/22, 54, 17, 63, 12, 3, 3
2021/5/23, 63, 17, 44, 16, 3, 4
2021/5/24, 57, 14, 52, 9, 2, 3
2021/5/25, 54, 23, 47, 10, 2, 2
2021/5/26, 73, 14, 35, 17, 2, 3
2021/5/27, 42, 17, 48, 20, 4, 4
2021/5/28, 63, 20, 46, 8, 3, 4
2021/5/29, 64, 14, 61, 3, 2, 3
2021/5/30, 58, 13, 72, 10, 2, 3
2021/5/31, 59, 16, 75, 12, 1, 3
2021/4/1, 71, 33, , 13, 2, 
2021/4/2, 84, 17, , 10, 2, 
2021/4/3, 58, 21, , 8, 2, 
2021/4/4, 59, 6, 39, 5, 2, 
2021/4/5, 32, 13, 29, 17, 2, 
2021/4/6, 54, 11, 42, 12, 2, 
2021/4/7, 51, 12, 42, 13, 4, 
2021/4/8, 58, 9, 41, 6, 1, 
2021/4/9, 48, 6, 36, 6, 1, 
2021/4/10, 39, 8, 42, 8, 2, 2
2021/4/11, 47, 11, 36, 14, 1, 3
2021/4/12, 53, 9, 33, 13, 2, 3
2021/4/13, 44, 15, 37, 7, 1, 2
2021/4/14, 31, 9, 41, 12, 2, 3
2021/4/15, 49, 10, 34, 12, 1, 3
2021/4/16, 39, 9, 30, 18, 1, 3
2021/4/17, 32, 16, 36, 5, 1, 2
2021/4/18, 50, 17, 42, 14, 1, 3
2021/4/19, 59, 21, 55, 26, 3, 4
2021/4/20, 72, 24, 61, 16, 1, 4
2021/4/21, 79, 11, 42, 15, 2, 3
2021/4/22, 56, 16, 46, 13, 1, 2
2021/4/23, 59, 16, 45, 11, 2, 2
2021/4/24, 59, 10, 44, 5, 1, 2
2021/4/25, 44, 9, 39, 6, 1, 2
2021/4/26, 44, 8, 44, 13, 2, 3
2021/4/27, 43, 16, 25, 22, 1, 3
2021/4/28, 51, 10, 29, 10, 1, 2
2021/4/29, 15, 25, 49, 12, 2, 3
2021/4/30, 63, 25, 46, 10, 1, 2
2021/3/1, 49, 4, 33, 12, 1, 3
2021/3/2, 22, 6, , 7, 2, 2
2021/3/3, 36, 9, , 18, 1, 4
2021/3/4, 48, 4, , 8, , 1
2021/3/5, 27, 8, , 8, 1, 3
2021/3/6, 40, 8, 31, 4, 1, 2
2021/3/7, 41, 6, 34, 9, 1, 2
2021/3/8, 31, 11, 23, 25, 2, 4
2021/3/9, 51, 14, 41, 18, 1, 5
2021/3/10, 57, 13, 25, 26, 2, 4
2021/3/11, 55, 18, 33, 30, 2, 4
2021/3/12, 63, 6, 40, 5, 1, 2
2021/3/13, 23, 10, , 5, 1, 2
2021/3/14, 50, 24, , 24, 3, 5
2021/3/15, 85, 29, , 28, 3, 5
2021/3/16, 91, 24, , 9, 2, 3
2021/3/17, 69, 18, , 16, 3, 3
2021/3/18, 62, 12, , 12, 3, 3
2021/3/19, 53, 14, , 15, 2, 4
2021/3/20, 60, 8, , 9, 1, 3
2021/3/21, 27, 12, , 5, 1, 3
2021/3/22, 51, 13, , 17, 3, 3
2021/3/23, 61, 13, , 20, 1, 3
2021/3/24, 62, 15, , 27, 1, 4
2021/3/25, 63, 22, , 23, 4, 4
2021/3/26, 75, , , , , 
