date, pm25, pm10, o3, no2, so2, co
2021/6/1, 40, 16, 32, 15, 1, 2
2021/6/2, 37, 14, 31, 14, 1, 2
2021/6/3, 31, 7, 25, 7, 1, 2
2021/6/4, 7, 15, 36, 19, 3, 4
2021/6/5, 29, 15, 54, 8, 2, 2
2021/6/6, 33, 17, 67, 18, 3, 3
2021/6/7, 41, 24, 58, 16, 5, 2
2021/6/8, 62, 24, 56, 15, 1, 2
2021/6/9, 62, 25, 42, 23, , 3
2021/6/10, 58, 18, 31, 16, 1, 2
2021/6/11, 45, 16, 33, 9, 1, 2
2021/6/12, 32, 18, 24, 6, 1, 2
2021/6/13, 39, 16, 36, 12, 1, 2
2021/6/14, 35, 19, 49, 16, 1, 3
2021/6/15, 44, 14, 27, 15, 1, 2
2021/6/16, 30, 13, 36, 11, 1, 2
2021/6/17, 23, 17, 22, 20, 1, 2
2021/6/18, 38, , , , , 
2021/5/1, 47, 8, 39, 3, , 2
2021/5/2, 16, 14, 45, 6, 1, 2
2021/5/3, 28, 17, 53, 10, 4, 3
2021/5/4, 38, 15, 39, 6, 1, 2
2021/5/5, 43, 16, 51, 15, 2, 3
2021/5/6, 23, 16, 23, 21, 1, 3
2021/5/7, 52, 25, 41, 16, 2, 3
2021/5/8, 54, 38, 52, 8, 1, 3
2021/5/9, 72, 19, 47, 14, 1, 2
2021/5/10, 37, 12, 41, 13, 1, 2
2021/5/11, 30, 14, 39, 14, 1, 2
2021/5/12, 36, 11, 36, 14, 2, 3
2021/5/13, 14, 12, 38, 18, 2, 2
2021/5/14, 27, 14, 34, 12, , 2
2021/5/15, 35, 8, 31, 5, 1, 2
2021/5/16, 8, 15, 24, 13, 1, 2
2021/5/17, 14, 10, 34, 10, 1, 3
2021/5/18, 24, 18, 24, 15, 1, 3
2021/5/19, 45, 14, 19, 15, 1, 3
2021/5/20, 23, 13, 35, 20, 1, 3
2021/5/21, 33, 17, 33, 17, 1, 4
2021/5/22, 37, 20, 43, 7, 1, 3
2021/5/23, 33, 18, 45, 16, 1, 3
2021/5/24, 43, 27, 49, 13, 1, 2
2021/5/25, 38, 22, 42, 10, 1, 2
2021/5/26, 46, 13, 32, 18, 1, 4
2021/5/27, 39, 19, 33, 24, 2, 4
2021/5/28, 42, 20, 49, 10, 2, 3
2021/5/29, 45, 14, 48, 6, 1, 2
