date, pm25, pm10, o3, no2, so2, co
2022/5/2, 29, 9, 52, 5, 1, 1
2022/5/3, 25, 13, 52, 4, 3, 1
2022/5/4, 31, 13, 48, 6, 8, 1
2022/5/5, 39, 12, 43, 4, 3, 1
2022/5/6, 34, 8, 38, 6, 1, 1
2022/5/7, 26, 9, 38, 4, 1, 
2022/5/8, 28, 8, 37, 2, 1, 1
2022/5/9, 29, 16, 29, 10, 12, 1
2022/5/10, 35, 12, 33, 7, 2, 1
2022/5/11, 29, 6, 28, 8, 1, 1
2022/5/12, 17, 11, 20, 8, 1, 
2022/5/13, 27, 12, 10, 11, , 2
2022/5/14, 19, 12, 47, 4, 1, 1
2022/5/15, 35, 11, 35, 6, 1, 1
2022/5/16, 35, 11, 44, 7, 1, 1
2022/5/17, 26, 14, 64, 8, , 1
2022/5/18, 32, 14, 68, 8, 4, 1
2022/5/19, 37, 18, 65, 10, 8, 1
2022/5/20, 47, 21, 40, 13, 2, 1
2022/5/21, 47, 10, 44, 6, 6, 1
2022/5/22, 25, 11, 10, 5, 1, 
2022/5/23, 21, , , , , 
2022/4/2, 30, 8, 39, 7, 3, 1
2022/4/3, 41, 7, 41, 5, 3, 1
2022/4/4, 28, 8, 45, 9, 3, 1
2022/4/5, 21, 8, 44, 12, 5, 1
2022/4/6, 27, 10, 55, 10, 1, 1
2022/4/7, 35, 15, 58, 9, 1, 1
2022/4/8, 28, 16, 50, 11, 1, 1
2022/4/9, 32, 14, 52, 8, 4, 1
2022/4/10, 38, 13, 45, 6, 2, 1
2022/4/11, 59, 19, 23, 13, 1, 1
2022/4/12, 47, 11, 24, 7, 1, 1
2022/4/13, 22, 11, 28, 8, 1, 1
2022/4/14, 34, 17, 16, 11, 1, 2
2022/4/15, 33, 9, 31, 4, , 1
2022/4/16, 20, 8, 40, 5, 1, 
2022/4/17, 22, 12, 44, 4, 6, 1
2022/4/18, 39, 9, 46, 9, 1, 1
2022/4/19, 31, 14, 56, 10, 3, 1
2022/4/20, 41, 13, 57, 10, 3, 1
2022/4/21, 34, 18, 31, 13, 1, 1
2022/4/22, 40, 18, 51, 9, , 1
2022/4/23, 37, 13, 29, 12, 1, 2
2022/4/24, 35, 8, 31, 5, 1, 1
2022/4/25, 25, 15, 30, 6, 2, 1
2022/4/26, 21, 17, 17, 5, 1, 
2022/4/27, 21, 24, 42, 6, 1, 1
2022/4/28, 37, 24, 38, 8, 2, 1
2022/4/29, 46, 17, 41, 3, , 1
2022/4/30, 37, 8, 40, 3, 4, 
2022/5/1, 27, 10, 45, 3, 1, 1
2022/3/2, 29, 13, 38, 11, 1, 2
2022/3/3, 32, 12, 45, 14, 1, 2
2022/3/4, 30, 22, 42, 18, 1, 2
2022/3/5, 51, 17, 42, 12, 1, 2
2022/3/6, 40, 9, 37, 4, 1, 1
2022/3/7, 23, 16, 35, 14, 5, 2
2022/3/8, 43, 15, 45, 15, 1, 2
2022/3/9, 29, 22, 55, 16, 3, 2
2022/3/10, 41, 18, 50, 17, 5, 1
2022/3/11, 50, 17, 47, 14, 2, 2
2022/3/12, 46, 15, 42, 11, 1, 1
2022/3/13, 39, 18, 35, 6, 2, 1
2022/3/14, 33, 11, 33, 9, 1, 1
2022/3/15, 30, 12, 44, 10, 1, 1
2022/3/16, 37, 7, 44, 11, 1, 2
2022/3/17, 25, 11, 41, 13, 1, 2
2022/3/18, 40, 13, 34, 9, , 1
2022/3/19, 26, 9, 33, 5, 1, 2
2022/3/20, 30, 9, 39, 5, , 2
2022/3/21, 26, 10, 34, 8, 19, 2
2022/3/22, 28, 9, 37, 8, 3, 1
2022/3/23, 26, 10, 25, 12, 1, 2
2022/3/24, 28, 14, 46, 11, 1, 2
2022/3/25, 34, 14, 39, 13, 2, 2
2022/3/26, 36, 13, 37, 8, , 1
2022/3/27, 29, 11, 41, 4, 1, 1
2022/3/28, 20, 15, 38, 9, 1, 1
2022/3/29, 45, 13, 31, 12, 3, 1
2022/3/30, 35, 9, 36, 9, 2, 1
2022/3/31, 26, 8, 32, 8, 1, 1
2022/4/1, 26, 11, 38, 7, 1, 1
2022/2/2, 60, 21, 32, 23, 1, 3
2022/2/3, 61, 17, 35, 14, 1, 2
2022/2/4, 63, 9, 38, 9, 1, 2
2022/2/5, 22, 15, 37, 4, 1, 1
2022/2/6, 51, 8, 27, 2, 1, 1
2022/2/7, 17, 9, 33, 13, 1, 2
2022/2/8, 38, 13, 25, 16, 1, 2
2022/2/9, 33, 12, 27, 17, 7, 2
2022/2/10, 31, 8, 31, 12, 1, 1
2022/2/11, 36, 12, 38, 11, 2, 1
2022/2/12, 27, 14, 14, 22, 2, 3
2022/2/13, 38, 17, 19, 10, 1, 1
2022/2/14, 31, 7, 35, 10, 11, 1
2022/2/15, 26, 11, 37, 11, 1, 2
2022/2/16, 23, 10, 35, 5, 1, 1
2022/2/17, 30, 8, 36, 5, , 1
2022/2/18, 29, 10, 34, 11, 9, 3
2022/2/19, 19, 7, 25, 9, 8, 1
2022/2/20, 21, 6, 36, 5, 1, 1
2022/2/21, 29, 7, 36, 10, 1, 2
2022/2/22, 22, 9, 36, 13, 1, 2
2022/2/23, 22, 10, 34, 9, 1, 1
2022/2/24, 41, 11, 37, 12, 1, 1
