date, pm25, pm10, o3, no2, so2, co
2022/12/2, 18, 4, 24, 2, , 
2022/12/3, 22, 13, 18, 8, , 
2022/12/4, 44, 14, 25, 3, , 
2022/12/5, 55, 7, 25, 3, , 
2022/12/6, 21, 5, 30, 2, , 
2022/12/7, 24, 11, 26, 5, , 
2022/12/8, 41, 15, 31, 6, , 
2022/12/9, 52, 17, 22, 10, , 
2022/12/10, 56, 16, 29, 8, , 
2022/12/11, 63, 13, 11, 7, , 
2022/12/12, 68, , , , , 
2022/11/2, 48, 7, 29, 5, , 
2022/11/3, 29, 15, 29, 5, , 
2022/11/4, 52, 11, 33, 2, , 
2022/11/5, 39, 8, 28, 2, , 
2022/11/6, 29, 4, 4, 1, , 
2022/11/7, 15, 11, 27, 6, , 
2022/11/8, 46, 11, 37, 4, , 
2022/11/9, 42, 14, 38, 6, , 
2022/11/10, 51, 26, 36, 8, , 
2022/11/11, 72, 21, 40, 6, , 
2022/11/12, 81, 32, 43, 7, , 
2022/11/13, 110, 23, 24, 6, , 
2022/11/14, 80, 6, 24, 2, , 
2022/11/15, 21, 9, 32, 4, , 
2022/11/16, 32, 11, 32, 4, , 
2022/11/17, 44, 14, 26, 6, 2, 3
2022/11/18, 52, 16, 30, 6, 3, 3
2022/11/19, 61, 20, 31, 5, 2, 2
2022/11/20, 73, 17, 30, 5, 3, 2
2022/11/21, 59, 13, 27, 5, 4, 2
2022/11/22, 48, 15, 25, 6, 2, 2
2022/11/23, 35, 8, 17, 4, , 2
2022/11/24, 19, 5, 20, 3, , 
2022/11/25, 16, 6, 21, 5, , 
2022/11/26, 23, 11, 19, 6, , 
2022/11/27, 40, 16, 28, 3, , 
2022/11/28, 47, 16, 18, 8, , 
2022/11/29, 52, 11, 22, 6, , 
2022/11/30, 45, 7, 26, 2, , 
2022/12/1, 22, 5, 24, 1, , 
2022/10/2, 52, 15, 46, 2, 3, 2
2022/10/3, 54, 15, 42, 4, 3, 2
2022/10/4, 50, 16, 31, 3, , 
2022/10/5, 43, 5, 24, 1, , 
2022/10/6, 14, 7, 27, 3, , 
2022/10/7, 21, 7, 24, 3, , 
2022/10/8, 21, 7, 30, 1, , 
2022/10/9, 16, 7, 16, 2, , 
2022/10/10, 28, 7, 26, 2, , 
2022/10/11, 20, 8, 27, 3, , 
2022/10/12, 20, 8, 28, 3, , 
2022/10/13, 23, 10, 32, 4, , 
2022/10/14, 32, 12, 35, 5, 2, 1
2022/10/15, 38, 14, 36, 4, 3, 1
2022/10/16, 54, 16, 39, 3, 4, 2
2022/10/17, 55, 21, 20, 4, 3, 1
2022/10/18, 62, 12, 26, 1, 4, 1
2022/10/19, 37, 3, 24, 2, 3, 
2022/10/20, 19, 6, 29, 5, 3, 
2022/10/21, 27, 14, 38, 6, , 
2022/10/22, 48, 21, 33, 6, , 
2022/10/23, 71, 15, 42, 2, , 
2022/10/24, 47, 5, 28, 1, , 
2022/10/25, 21, 3, 26, 2, , 
2022/10/26, 17, 6, 25, 3, , 
2022/10/27, 24, 10, 17, 6, , 
2022/10/28, 41, 11, 31, 4, , 
2022/10/29, 42, 8, 30, 2, , 
2022/10/30, 29, 8, 27, 2, , 
2022/10/31, 30, 16, 32, 5, , 
2022/11/1, 58, 8, 10, 6, , 
2022/9/2, 25, 5, 21, 2, , 
2022/9/3, 9, 10, 25, 1, 1, 2
2022/9/4, 21, 12, 22, 2, 1, 1
2022/9/5, 19, 10, 16, 2, 1, 
2022/9/6, 16, 10, 28, 2, 2, 1
2022/9/7, 15, 7, 34, 1, 3, 1
2022/9/8, 19, 9, 30, 2, 2, 1
2022/9/9, 23, 6, 29, 2, 3, 2
2022/9/10, 18, 7, 22, 1, , 
2022/9/11, 18, 13, 33, 1, , 
2022/9/12, 29, 16, 40, 2, , 
2022/9/13, 40, 17, 50, 3, , 
2022/9/14, 40, 16, 43, 2, , 
2022/9/15, 49, 16, 34, 3, , 
2022/9/16, 42, 18, 51, 3, , 
2022/9/17, 47, 11, 34, 3, , 
2022/9/18, 31, 13, 21, 1, , 
2022/9/19, 29, 21, 27, 1, , 
2022/9/20, 27, 8, 29, 1, , 
2022/9/21, 21, 8, 28, 1, , 
2022/9/22, 20, 7, 27, 4, , 
2022/9/23, 23, 7, 21, 3, , 
2022/9/24, 20, 13, 43, 2, , 
2022/9/25, 41, 11, 41, 2, , 
