date, pm25, pm10, o3, no2, so2, co
2023/1/3, 17, 2, 27, 1, , 
2023/1/4, 11, 3, 30, 1, 1, 3
2023/1/5, 9, 3, 29, 1, , 3
2023/1/6, 11, 4, 28, 3, 1, 3
2023/1/7, 14, 11, 34, 2, , 3
2023/1/8, 44, 8, 35, 2, 1, 3
2023/1/9, 31, 12, 34, 2, 1, 4
2023/1/10, 44, 9, 32, 1, , 3
2023/1/11, 30, 8, 26, 5, 2, 3
2023/1/12, 27, 10, 27, 6, 2, 3
2023/1/13, 35, 12, 31, 4, 1, 3
2023/1/14, 41, 5, 31, 3, , 4
2023/1/15, 14, 8, 31, , , 4
2023/1/16, 24, , , , , 
2022/10/2, 50, 20, 40, 1, 1, 5
2022/10/3, 59, 16, 35, 2, 1, 5
2022/10/4, 49, 14, 39, 1, 1, 5
2022/10/5, 38, 8, 26, 1, 1, 5
2022/10/6, 17, 6, 27, 1, 1, 5
2022/10/7, 15, 7, 32, 5, 1, 5
2022/10/8, 19, 5, 31, 1, 1, 3
2022/10/9, 13, 7, 18, 1, , 4
2022/10/10, 19, 8, 32, 2, , 
2022/10/11, 22, 8, 29, 2, , 4
2022/10/12, 20, 9, 32, 2, , 4
2022/10/13, 23, 10, 30, 2, , 4
2022/10/14, 30, 11, 32, 3, 1, 4
2022/10/15, 38, 11, 33, 2, 1, 4
2022/10/16, 39, 13, 33, 1, , 4
2022/10/17, 44, 15, 32, 4, , 4
2022/10/18, 48, 9, 32, 1, , 4
2022/10/19, 28, 6, 29, 1, , 4
2022/10/20, 17, 7, 29, 4, 1, 4
2022/10/21, 23, 10, 38, 3, 1, 4
2022/10/22, 32, 12, 31, 2, , 4
2022/10/23, 40, 13, 38, 1, 1, 
2022/10/24, 39, 6, 28, 1, 1, 3
2022/10/25, 18, 11, 27, 1, 1, 3
2022/10/26, 25, 6, 28, 3, 1, 3
2022/10/27, 18, 9, 28, 4, 1, 3
2022/10/28, 29, 9, 33, 3, 1, 3
2022/10/29, 30, 8, 31, 2, , 3
2022/10/30, 29, 7, 31, 1, 1, 4
2022/10/31, 20, 8, 31, 3, 1, 4
