date, pm25, pm10, o3, no2, so2, co
2023/9/2, 22, 10, 24, 4, , 
2023/9/3, 24, 12, 31, 2, , 
2023/9/4, 33, 17, 30, 1, , 
2023/9/5, 43, 9, 27, 1, , 
2023/9/6, 15, 8, 26, 1, , 
2023/9/7, 17, 11, 31, 1, , 
2023/9/8, 24, 14, 27, 1, , 
2023/9/9, 28, 12, 37, 3, , 
2023/9/10, 30, , , , , 
2023/8/2, 25, 13, 15, 1, , 
2023/8/3, 29, 12, 20, 1, , 
2023/8/4, 27, 9, 22, 1, , 
2023/8/5, 17, 10, 8, 4, , 
2023/8/6, 14, 8, 22, 1, , 
2023/8/7, 22, 7, 19, 1, , 
2023/8/8, 17, 8, 20, 1, , 
2023/8/9, 18, 19, 20, 2, , 
2023/8/10, 39, 8, 19, 2, , 
2023/8/11, 19, 11, 31, 1, , 
2023/8/12, 24, 19, 47, 1, , 
2023/8/13, 38, 18, 35, 1, , 
2023/8/14, 45, 13, 18, 1, , 
2023/8/15, 32, 6, 17, 1, , 
2023/8/16, 8, 20, 22, 2, 1, 
2023/8/17, 32, 13, 19, 2, 1, 
2023/8/18, 20, 14, 25, 3, 1, 
2023/8/19, 27, 15, 28, 2, 1, 
2023/8/20, 31, 24, 56, 3, 1, 
2023/8/21, 47, 25, 61, 4, 1, 
2023/8/22, 48, 9, 24, 5, 1, 
2023/8/23, 21, 8, 20, 3, 1, 
2023/8/24, 18, 9, 13, 5, 1, 
2023/8/25, 13, 9, 19, 2, 1, 
2023/8/26, 15, 12, 40, 2, 1, 
2023/8/27, 26, 895, 195, 119, 1, 
2023/8/28, 434, 8, 30, 4, , 
2023/8/29, 22, 8, 23, 3, , 
2023/8/30, 16, 9, 15, 4, , 
2023/8/31, 18, 12, 14, 3, , 
2023/9/1, 22, 11, 16, 3, , 
2023/7/2, 11, 13, 47, 2, 1, 
2023/7/3, 33, 20, 52, 6, 1, 
2023/7/4, 46, 22, 80, 4, 1, 
2023/7/5, 52, 15, 38, 5, 1, 
2023/7/6, 35, 25, 71, 5, , 
2023/7/7, 54, 22, 48, 4, , 
2023/7/8, 47, 30, 19, 1, , 
2023/7/9, 37, 20, 23, 1, , 
2023/7/10, 25, 27, 28, 3, 1, 
2023/7/11, 40, 28, 26, 1, 2, 
2023/7/12, 51, 26, 21, 2, 1, 
2023/7/13, 50, 18, 17, 4, 1, 
2023/7/14, 32, 25, 13, 3, 1, 
2023/7/15, 37, 20, 14, 1, 1, 
2023/7/16, 19, 14, 15, 1, 1, 
2023/7/17, 18, 15, 37, 2, , 
2023/7/18, 33, 24, 76, 6, , 
2023/7/19, 55, 16, 18, 2, , 
2023/7/20, 26, 8, 42, 1, , 
2023/7/21, 20, 12, 55, 2, , 
2023/7/22, 35, 13, 38, 1, , 
2023/7/23, 30, 12, 31, 2, , 
2023/7/24, 29, 11, 25, 2, , 
2023/7/25, 30, 12, 28, 2, , 
2023/7/26, 33, 14, 37, 3, , 
2023/7/27, 38, 21, 68, 4, , 
2023/7/28, 53, 24, 73, 3, , 
2023/7/29, 55, 11, 32, 1, , 
2023/7/30, 26, 9, 16, 1, , 
2023/7/31, 21, 9, 20, 2, , 
2023/8/1, 19, 12, 25, 1, , 
2023/4/2, 55, 14, 45, 1, , 
2023/4/3, 48, 13, 43, 1, , 
2023/4/4, 45, 14, 47, 3, 1, 
2023/4/5, 44, 9, 39, 3, 1, 
2023/4/6, 35, 18, 38, 3, 1, 
2023/4/7, 38, 9, 37, 3, 1, 
2023/4/8, 18, 15, 43, 2, 1, 
2023/4/9, 38, 18, 46, 3, 1, 
2023/4/10, 56, 15, 49, 3, 2, 
2023/4/11, 45, 14, 43, 2, , 
2023/4/12, 41, 34, 37, 3, , 
2023/4/13, 57, 52, 46, 5, , 
2023/4/14, 83, 37, 44, 4, , 
2023/4/15, 56, 7, 37, 2, , 
2023/4/16, 14, 15, 44, 2, , 
2023/4/17, 42, 19, 41, 3, , 
2023/4/18, 45, 28, 51, 2, , 
2023/4/19, 57, 27, 36, 5, , 
2023/4/20, 48, 31, 45, 5, 1, 
2023/4/21, 64, 29, 40, 1, 2, 
2023/4/22, 56, 29, 44, 1, 1, 
2023/4/23, 66, 11, 44, 1, 1, 
2023/4/24, 43, 11, 43, 1, 1, 
2023/4/25, 54, 8, 39, 3, 1, 
2023/4/26, 32, 3, 37, 2, 1, 
2023/4/27, 8, 14, 53, 6, 2, 
2023/4/28, 46, 12, 57, 4, 1, 
2023/4/29, 41, 10, 42, 1, 1, 
2023/4/30, 27, 20, 38, 4, 1, 
2023/5/1, 36, 16, 54, 2, 1, 
2023/5/2, 45, 11, 44, 1, , 
2023/5/3, 38, 13, 48, 1, , 
2023/5/4, 41, 12, 45, 1, , 
2023/5/5, 31, 11, 41, 1, , 
2023/5/6, 28, 19, 36, 1, , 
2023/5/7, 35, 6, 30, 2, , 
2023/5/8, 9, 9, 47, 1, , 
2023/5/9, 30, 14, 45, 4, , 
2023/5/10, 43, 15, 59, 5, , 
2023/5/11, 50, 10, 47, 1, , 
2023/5/12, 39, 9, 57, 4, , 
2023/5/13, 33, 11, 53, 2, , 
2023/5/14, 39, 5, 38, 1, , 
2023/5/15, 13, 7, 45, 4, , 
2023/5/16, 22, 16, 73, 4, , 
2023/5/17, 49, 27, 91, 3, , 
2023/5/18, 70, 22, 46, 2, , 
2023/5/19, 52, 6, 37, 3, , 
2023/5/20, 13, 12, 38, 2, , 
2023/5/21, 35, 13, 44, 2, , 
2023/5/22, 39, 22, 55, 2, , 
2023/5/23, 44, 31, 35, 1, , 
2023/5/24, 48, 6, 35, 1, , 
2023/5/25, 20, 10, 42, 2, , 
2023/5/26, 27, 11, 36, 2, 1, 
2023/5/27, 30, 11, 37, 2, 1, 
2023/5/28, 29, 13, 34, 1, 1, 
2023/5/29, 28, 13, 20, 3, 1, 
2023/5/30, 18, 7, 32, 4, 1, 
2023/5/31, 18, 12, 33, 3, 1, 
2023/6/1, 34, 12, 35, 4, 1, 
2023/6/2, 31, 4, 32, 5, , 
2023/6/3, 9, 18, 44, 1, , 
2023/6/4, 43, 14, 62, 3, 1, 
2023/6/5, 40, 19, 67, 6, 2, 
2023/6/6, 54, 13, 41, 4, 1, 
2023/6/7, 36, 14, 53, 4, , 
2023/6/8, 38, 14, 41, 8, , 
2023/6/9, 39, 9, 45, 5, , 
2023/6/10, 25, 12, 44, 4, , 
2023/6/11, 31, 7, 35, 2, , 
2023/6/12, 16, 11, 11, 9, , 
2023/6/13, 25, 14, 38, 5, , 
2023/6/14, 38, 10, 32, 5, , 
2023/6/15, 23, 17, 38, 6, , 
2023/6/16, 42, 14, 59, 4, , 
2023/6/17, 42, 17, 82, 3, , 
2023/6/18, 51, 40, 65, 5, , 
2023/6/19, 69, 17, 49, 1, , 
2023/6/20, 50, 15, 54, 2, , 
2023/6/21, 42, 14, 33, 4, , 
2023/6/22, 33, 7, 30, 3, , 
2023/6/23, 17, 16, 55, 6, , 
2023/6/24, 42, 22, 52, 5, , 
2023/6/25, 55, 13, 52, 3, , 
2023/6/26, 36, 17, 35, 3, , 
2023/6/27, 42, 22, 19, 3, , 
2023/6/28, 49, 21, 24, 2, , 
2023/6/29, 42, 19, 25, 2, , 
2023/6/30, 39, 19, 13, 1, 1, 
2023/7/1, 30, 7, 38, 2, 1, 
2023/1/3, 58, 5, 30, 3, 3, 
2023/1/4, 15, 5, 30, 2, 1, 
2023/1/5, 20, 6, 30, 3, , 
2023/1/6, 21, 16, 34, 10, , 
2023/1/7, 54, 33, 26, 13, , 
2023/1/8, 99, 23, 35, 8, , 
2023/1/9, 70, 29, 28, 15, , 
2023/1/10, 74, 9, 30, 3, 1, 
2023/1/11, 26, 10, 20, 17, 1, 
2023/1/12, 34, 18, 25, 19, 3, 
2023/1/13, 56, 10, 29, 8, 2, 
2023/1/14, 32, 4, 31, 6, 1, 
2023/1/15, 12, 5, 30, 3, 1, 
2023/1/16, 14, 5, 30, 4, 1, 
2023/1/17, 18, 8, 28, 10, , 
2023/1/18, 25, 9, 29, 8, , 
2023/1/19, 28, 12, 29, 10, , 
2023/1/20, 40, 21, 35, 7, , 
2023/1/21, 56, 7, 28, 2, , 
2023/1/22, 24, 8, 26, 8, 2, 
2023/1/23, 25, 11, 26, 6, 1, 
2023/1/24, 28, 11, 30, 3, 1, 
2023/1/25, 26, 6, 29, 2, 1, 
2023/1/26, 9, 8, 26, 8, 1, 
2023/1/27, 30, 8, 29, 7, 3, 
2023/1/28, 29, 6, 28, 3, , 
2023/1/29, 22, 10, 29, 3, , 
2023/1/30, 34, 9, 30, 5, , 
2023/1/31, 28, 9, 28, 10, , 
2023/2/1, 34, 12, 24, 14, , 
2023/2/2, 43, 10, 34, 1, , 
2023/2/3, 39, 10, 31, 10, , 
2023/2/4, 38, 16, 32, 11, 2, 
2023/2/5, 58, 13, 35, 8, 3, 
2023/2/6, 43, 16, 24, 18, 2, 
2023/2/7, 53, 13, 30, 11, 1, 
2023/2/8, 48, 13, 37, 5, 3, 
2023/2/9, 46, 9, 33, 1, 1, 
2023/2/10, 34, 7, 30, 6, 1, 
2023/2/11, 20, 6, 35, 3, , 
2023/2/12, 21, 8, 36, 8, , 
2023/2/13, 29, 8, 36, 2, , 
2023/2/14, 28, 6, 34, 1, , 
2023/2/15, 24, 4, 30, 1, , 
2023/2/16, 12, 5, 32, 3, , 
2023/2/17, 18, 13, 30, 12, , 
2023/2/18, 39, 12, 29, 11, , 
2023/2/19, 43, 15, 36, 6, , 
2023/2/20, 44, 15, 35, 4, , 
2023/2/21, 51, 5, 33, 1, , 
2023/2/22, 13, 8, 32, 8, , 
2023/2/23, 24, 16, 31, 12, , 
2023/2/24, 60, 14, 20, 15, , 
2023/2/25, 57, 10, 36, 1, , 
2023/2/26, 34, 8, 34, 1, , 
2023/2/27, 23, 10, 36, 10, , 
2023/2/28, 32, 11, 37, 9, , 
2023/3/1, 39, 10, 38, 5, , 
2023/3/2, 41, 7, 36, 3, , 
2023/3/3, 34, 13, 36, 7, , 
2023/3/4, 39, 15, 42, 6, , 
2023/3/5, 49, 9, 37, 1, , 
2023/3/6, 31, 11, 37, 9, , 
2023/3/7, 36, 18, 43, 15, , 
2023/3/8, 61, 21, 58, 9, , 
2023/3/9, 65, 23, 41, 4, , 
2023/3/10, 65, 18, 39, 6, 3, 
2023/3/11, 53, 24, 45, 7, 1, 
2023/3/12, 60, 23, 46, 4, 1, 
2023/3/13, 54, 10, 36, 2, 1, 
2023/3/14, 32, 12, 33, 9, 1, 
2023/3/15, 42, 15, 42, 5, 1, 
2023/3/16, 38, 11, 38, 3, 1, 
2023/3/17, 31, 11, 40, 2, , 
2023/3/18, 36, 5, 37, 1, , 
2023/3/19, 16, 10, 41, 3, 1, 
2023/3/20, 31, 11, 46, 5, 1, 
2023/3/21, 35, 13, 39, 5, 1, 
2023/3/22, 34, 9, 44, 7, 1, 
2023/3/23, 29, 7, 34, 3, , 
2023/3/24, 15, 7, 37, 3, 1, 
2023/3/25, 23, 50, 36, 1, , 
2023/3/26, 73, 5, 35, 1, , 
2023/3/27, 9, 36, 37, 1, , 
2023/3/28, 59, 27, 39, 2, , 
2023/3/29, 58, 23, 45, 2, , 
2023/3/30, 58, 23, 45, 12, , 
2023/3/31, 67, 16, 44, 10, , 
2023/4/1, 47, 19, 60, 5, , 
2022/10/2, 47, 13, 49, 3, , 
2022/10/3, 43, 14, 38, 4, , 
2022/10/4, 37, 15, 33, 2, , 
2022/10/5, 29, 8, 28, 1, , 
2022/10/6, 17, 5, 31, 1, , 
2022/10/7, 14, 6, 27, 5, , 
2022/10/8, 17, 6, 32, 1, 1, 
2022/10/9, 14, 5, 28, 1, 1, 
2022/10/10, 14, 7, 28, 5, 1, 
2022/10/11, 17, 7, 31, 2, 1, 
2022/10/12, 21, 8, 31, 2, 2, 
2022/10/13, 21, 10, 32, 1, , 
2022/10/14, 29, 9, 34, 1, , 
2022/10/15, 26, 10, 36, 1, , 
2022/10/16, 28, 11, 37, 2, , 
2022/10/17, 30, 16, 22, 8, , 
2022/10/18, 41, 9, 27, 1, , 
2022/10/19, 22, 6, 28, 1, , 
2022/10/20, 18, 6, 32, 3, 1, 
2022/10/21, 17, 8, 38, 5, 1, 
2022/10/22, 22, 9, 31, 7, 1, 
2022/10/23, 26, 14, 43, 2, 2, 
2022/10/24, 41, 5, 30, 1, 1, 
2022/10/25, 16, 3, 27, 1, 1, 
2022/10/26, 12, 5, 27, 1, 1, 
2022/10/27, 13, 5, 25, 8, , 
2022/10/28, 18, 7, 32, 4, , 
2022/10/29, 23, 8, 31, 1, , 
2022/10/30, 23, 6, 31, 1, , 
2022/10/31, 19, 8, 33, 5, , 
2022/11/1, 25, 4, 29, 4, , 
2022/11/2, 13, 6, 30, 6, , 
2022/11/3, 18, 14, 38, 7, , 
2022/11/4, 44, 14, 39, 4, , 
2022/11/5, 45, 8, 30, 2, , 
2022/11/6, 24, 5, 31, 1, , 
2022/11/7, 16, 7, 32, 7, , 
2022/11/8, 21, 11, 40, 4, , 
2022/11/9, 35, 12, 39, 10, , 
2022/11/10, 42, 16, 42, 11, , 
2022/11/11, 53, 19, 40, 12, , 
2022/11/12, 58, 17, 44, 7, , 
2022/11/13, 51, 8, 36, 2, , 
2022/11/14, 28, 6, 27, 2, , 
2022/11/15, 16, 8, 33, 5, , 
2022/11/16, 27, 12, 34, 5, , 
2022/11/17, 35, 12, 31, 11, , 
2022/11/18, 42, 12, 30, 9, , 
2022/11/19, 37, , , , , 
2022/11/21, 8, 7, 30, 5, , 
2022/11/22, 22, 10, 33, 2, , 
2022/11/23, 33, 8, 29, 2, , 
2022/11/24, 20, 6, 28, 1, , 
2022/11/25, 14, 8, 24, 8, , 
2022/11/26, 22, , , , , 
2022/11/29, 30, 10, 31, 7, , 
2022/11/30, 23, 5, 28, 1, , 
2022/12/1, 11, 5, 24, 2, , 
2022/12/2, 11, 2, 26, 4, , 
2022/12/3, 8, 15, 26, 10, , 
2022/12/4, 49, 16, 28, 8, , 
2022/12/5, 50, 8, 28, 4, , 
2022/12/6, 22, 6, 29, 4, , 
2022/12/7, 19, 14, 28, 9, , 
2022/12/8, 47, 17, 29, 10, , 
2022/12/9, 52, 17, 30, 15, , 
2022/12/10, 42, 15, 29, 16, , 
2022/12/11, 54, 14, 35, 9, , 
2022/12/12, 40, 7, 28, 10, , 
2022/12/13, 24, 11, 29, 7, , 
2022/12/14, 38, 24, 30, 2, , 
2022/12/15, 42, 8, 28, 4, , 
2022/12/16, 28, 15, 26, 9, 1, 
2022/12/17, 40, 9, 22, 8, 1, 
2022/12/18, 33, 4, 27, 2, 1, 
2022/12/19, 18, 6, 29, 6, 1, 
2022/12/20, 24, 11, 28, 9, 2, 
2022/12/21, 40, 10, 28, 9, 1, 
