date, pm25, pm10, o3, no2, so2, co
2021/6/1, 54, 16, 51, 12, 1, 
2021/6/2, 56, 12, 37, 13, 1, 
2021/6/3, 47, 7, 16, 11, 1, 
2021/6/4, 19, 9, 38, 10, 1, 
2021/6/5, 38, 10, 45, 8, 1, 
2021/6/6, 42, 13, 48, 17, 2, 
2021/6/7, 52, 19, 76, 17, 3, 
2021/6/8, 67, 19, 90, 12, 1, 
2021/6/9, 67, 21, 57, 8, 1, 
2021/6/10, 67, 17, 33, 9, 1, 
2021/6/11, 58, 13, 26, 11, , 
2021/6/12, 51, 14, 34, 7, , 
2021/6/13, 53, 12, 28, 9, 1, 
2021/6/14, 42, 12, 37, 8, 1, 
2021/6/15, 46, 9, 21, 11, 1, 
2021/6/16, 38, 8, 41, 9, 1, 
2021/6/17, 38, 10, 26, 9, 1, 
2021/6/18, 42, , , , , 
2021/5/1, 64, 8, 44, 1, 1, 
2021/5/2, 41, 11, 51, 6, 1, 
2021/5/3, 50, 11, 47, 8, 1, 
2021/5/4, 50, 10, 40, 4, 1, 
2021/5/5, 34, 12, 49, 18, 1, 
2021/5/6, 47, 14, 36, 17, 1, 
2021/5/7, 52, 14, 36, 7, 1, 
2021/5/8, 47, 29, 74, 4, , 
2021/5/9, 78, 12, 44, 13, 1, 
2021/5/10, 51, 10, 48, 9, 1, 
2021/5/11, 46, 11, 36, 11, 1, 
2021/5/12, 44, 6, 40, 8, 1, 
2021/5/13, 31, 12, 46, 23, 1, 
2021/5/14, 49, 12, 33, 13, 1, 
2021/5/15, 40, 6, 27, 6, 1, 
2021/5/16, 27, 21, 30, 6, 1, 
2021/5/17, 44, 15, 23, 17, 2, 
2021/5/18, 50, 20, 14, 24, 2, 
2021/5/19, 61, 18, 16, 17, 1, 
2021/5/20, 45, 16, 42, 6, 1, 
2021/5/21, 33, 13, 49, 7, 1, 
2021/5/22, 52, 15, 57, 9, 1, 
2021/5/23, 57, 14, 43, 14, 1, 
2021/5/24, 55, 12, 48, 6, 1, 
2021/5/25, 48, 20, 46, 9, 1, 
2021/5/26, 66, 14, 31, 14, 1, 
2021/5/27, 40, 13, 47, 11, 2, 
2021/5/28, 52, 17, 56, 5, 1, 
2021/5/29, 59, 12, 56, 4, 1, 
2021/5/30, 52, 11, 52, 9, 1, 
2021/5/31, 48, 14, 54, 13, 1, 
2021/4/1, 69, 31, 43, 4, , 
2021/4/2, 87, 15, 39, 12, 1, 
2021/4/3, 60, 16, 28, 11, 1, 
2021/4/4, 53, 4, 37, 3, , 
2021/4/5, 25, 9, 25, 13, 1, 
2021/4/6, 46, 9, 34, 16, 1, 
