date, pm25, pm10, o3, no2, so2, co
2022/9/2, 19, 11, 46, 8, 1, 
2022/9/3, 20, 10, 26, 6, 1, 
2022/9/4, 21, 12, 23, 5, , 
2022/9/5, 25, 17, 19, 6, , 
2022/9/6, 24, 16, 12, 4, , 
2022/9/7, 22, 9, 40, 4, 1, 
2022/9/8, 18, 8, 33, 4, 1, 
2022/9/9, 22, 8, 22, 10, 1, 
2022/9/10, 16, 10, 31, 4, 1, 
2022/9/11, 29, 16, 49, 7, 2, 
2022/9/12, 40, 16, 39, 15, 2, 
2022/9/13, 41, 14, 52, 6, 1, 
2022/9/14, 41, 18, 39, 5, 1, 
2022/9/15, 54, 18, 49, 10, 1, 
2022/9/16, 46, 15, 44, 8, 1, 
2022/9/17, 42, 10, 29, 4, 1, 
2022/9/18, 24, 7, 23, 2, , 
2022/9/19, 23, , , , , 
2022/8/2, 28, 15, 13, 7, 1, 
2022/8/3, 28, 23, 35, 14, 2, 
2022/8/4, 47, 24, 31, 10, 2, 
2022/8/5, 50, 20, 34, 12, 1, 
2022/8/6, 45, 17, 34, 10, 1, 
2022/8/7, 36, 17, 34, 6, 1, 
2022/8/8, 33, 24, 19, 7, 3, 
2022/8/9, 53, 25, 16, 7, 4, 
2022/8/10, 52, 19, 14, 5, 1, 
2022/8/11, 35, 14, 13, 5, 1, 
2022/8/12, 22, 12, 14, 8, 2, 
2022/8/13, 21, 19, 36, 7, 1, 
2022/8/14, 37, 28, 34, 8, 3, 
2022/8/15, 58, 40, 24, 5, 2, 
2022/8/16, 64, 30, 11, 5, 1, 
2022/8/17, 46, 18, 13, 8, 2, 
2022/8/18, 29, 17, 45, 4, 1, 
2022/8/19, 26, 15, 50, 9, 2, 
2022/8/20, 33, 22, 29, 10, 1, 
2022/8/21, 48, 15, 31, 7, 1, 
2022/8/22, 25, 22, 29, 7, 1, 
2022/8/23, 39, 26, 41, 11, 1, 
2022/8/24, 49, 16, 37, 8, 1, 
2022/8/25, 36, 21, 41, 14, 2, 
2022/8/26, 43, 12, 40, 10, 2, 
2022/8/27, 38, 18, 51, 11, 2, 
2022/8/28, 55, 11, 45, 1, , 
2022/8/29, 39, 12, 39, 10, 1, 
2022/8/30, 38, 13, 40, 11, 1, 
2022/8/31, 23, 16, 12, 10, 1, 
2022/9/1, 31, 16, 24, 6, 1, 
2022/7/2, 51, 18, 10, 5, 1, 
2022/7/3, 21, 10, 11, 5, 1, 
2022/7/4, 14, 13, 7, 9, 1, 
2022/7/5, 12, 19, 16, 9, 1, 
2022/7/6, 21, 15, 33, 8, 2, 
2022/7/7, 35, 23, 42, 9, 1, 
2022/7/8, 53, 19, 27, 11, 1, 
2022/7/9, 40, 16, 22, 6, 1, 
2022/7/10, 38, 16, 23, 6, 1, 
2022/7/11, 20, 14, 19, 8, 1, 
2022/7/12, 25, 14, 25, 13, 1, 
2022/7/13, 28, 10, 34, 7, 1, 
2022/7/14, 26, 15, 24, 13, 1, 
2022/7/15, 30, 19, 25, 12, 1, 
2022/7/16, 41, 17, 30, 13, 1, 
2022/7/17, 33, 18, 52, 9, 3, 
2022/7/18, 42, 24, 37, 9, 3, 
2022/7/19, 52, 33, 32, 6, 1, 
2022/7/20, 37, 17, 41, 15, 2, 
2022/7/21, 39, 22, 51, 19, 3, 
2022/7/22, 53, 15, 49, 5, 1, 
2022/7/23, 37, 8, 31, 5, 1, 
2022/7/24, 19, 10, 39, 5, 1, 
2022/7/25, 30, 20, 40, 9, 1, 
2022/7/26, 42, 26, 60, 12, 2, 
2022/7/27, 62, 27, 56, 8, 1, 
2022/7/28, 48, 15, 15, 7, 1, 
2022/7/29, 25, 14, 22, 10, 1, 
2022/7/30, 27, 14, 15, 5, 1, 
2022/7/31, 24, 19, 10, 4, 1, 
2022/8/1, 28, 14, 11, 4, 2, 
2022/6/2, 39, 15, 58, 18, 2, 
2022/6/3, 53, 13, 52, 13, 1, 
2022/6/4, 49, 9, 47, 4, 1, 
2022/6/5, 38, 11, 39, 6, 1, 
2022/6/6, 37, 7, 35, 8, 1, 
2022/6/7, 16, 3, 32, 3, 1, 
2022/6/8, 11, 6, 42, 7, 1, 
2022/6/9, 22, 10, 39, 9, 1, 
2022/6/10, 28, 12, 33, 10, 2, 
2022/6/11, 36, 14, 34, 9, 1, 
