date, pm25, pm10, o3, no2, so2, co
2023/11/2, 52, 24, 50, 26, 1, 4
2023/11/3, 69, 26, 54, 20, 1, 5
2023/11/4, 72, 29, 41, 17, 1, 4
2023/11/5, 78, 26, 48, 9, 1, 3
2023/11/6, 71, 9, 32, 10, , 2
2023/11/7, 24, 14, 31, 11, , 2
2023/11/8, 43, 12, 33, 13, 1, 2
2023/11/9, 40, 15, 36, 15, 1, 3
2023/11/10, 46, 10, 28, 14, , 3
2023/11/11, 33, 5, 28, 4, 1, 2
2023/11/12, 16, 10, 24, 10, 1, 2
2023/11/13, 24, 5, 25, 11, 1, 2
2023/11/14, 16, 8, 24, 16, 1, 3
2023/11/15, 23, 10, 24, 19, 1, 3
2023/11/16, 31, 10, 28, 17, 1, 3
2023/11/17, 33, 9, 23, 12, 1, 3
2023/11/18, 25, 6, 26, 8, 1, 2
2023/11/19, 22, 10, 23, 9, 1, 3
2023/11/20, 35, , , , , 
2023/10/2, 34, 9, 33, 9, 1, 2
2023/10/3, 35, 9, 37, 13, 1, 2
2023/10/4, 32, 9, 35, 10, 1, 2
2023/10/5, 30, 10, 26, 8, 1, 2
2023/10/6, 31, 8, 28, 9, 1, 2
2023/10/7, 31, 9, 31, 8, 1, 2
2023/10/8, 27, 9, 33, 6, 1, 2
2023/10/9, 30, 5, 26, 4, 1, 2
2023/10/10, 17, 6, 29, 8, 1, 2
2023/10/11, 29, 10, 32, 10, 1, 2
2023/10/12, 30, 9, 35, 11, 1, 2
2023/10/13, 32, 7, 35, 11, 1, 3
2023/10/14, 25, 12, 33, 13, 1, 3
2023/10/15, 41, 10, 36, 7, 1, 2
2023/10/16, 38, 14, 36, 17, 1, 4
2023/10/17, 48, 14, 35, 16, 1, 3
2023/10/18, 44, 12, 36, 16, 1, 3
2023/10/19, 36, 18, 42, 21, 1, 3
2023/10/20, 52, 17, 31, 17, 3, 2
2023/10/21, 51, 6, 27, 6, 1, 2
2023/10/22, 21, 7, 34, 10, 1, 3
2023/10/23, 29, 12, 41, 18, 2, 3
2023/10/24, 46, 15, 45, 19, 1, 4
2023/10/25, 47, 17, 37, 18, 1, 3
2023/10/26, 55, 16, 33, 21, 1, 3
2023/10/27, 51, 20, 41, 20, 1, 3
2023/10/28, 58, 10, 31, 10, 1, 2
2023/10/29, 32, 7, 29, 7, 1, 2
2023/10/30, 24, 9, 28, 14, 1, 2
2023/10/31, 25, 10, 32, 19, 1, 3
2023/11/1, 35, 17, 34, 25, 2, 4
2023/7/2, 23, 14, 57, 8, 1, 2
2023/7/3, 39, 21, 38, 12, , 3
2023/7/4, 53, 20, 60, 9, 1, 3
2023/7/5, 53, 15, 32, 10, 1, 2
2023/7/6, 40, 20, 68, 13, 1, 3
2023/7/7, 52, 34, 67, 14, 1, 3
2023/7/8, 76, 31, 17, 10, 1, 2
2023/7/9, 64, 31, 17, 7, 1, 2
2023/7/10, 50, 29, 16, 11, 1, 2
2023/7/11, 59, 21, 20, 11, 1, 1
2023/7/12, 57, 23, 17, 11, 1, 1
2023/7/13, 59, 22, 11, 13, 1, 2
2023/7/14, 47, 18, 20, 11, 1, 2
2023/7/15, 39, 15, 22, 7, , 1
2023/7/16, 30, 12, 22, 4, , 1
2023/7/17, 31, 15, 37, 7, , 2
2023/7/18, 47, 20, 39, 10, 1, 2
2023/7/19, 58, 16, 15, 9, 1, 2
2023/7/20, 41, 8, 35, 5, 1, 1
2023/7/21, 25, 13, 43, 11, 1, 2
2023/7/22, 41, 15, 41, 6, 1, 1
2023/7/23, 44, 13, 37, 4, 1, 1
2023/7/24, 40, 13, 44, 8, 1, 1
2023/7/25, 41, 12, 33, 11, 1, 1
2023/7/26, 30, 19, 45, 10, 1, 
2023/7/27, 51, 23, 35, 13, 1, 2
2023/7/28, 62, 25, 43, 13, 1, 2
2023/7/29, 63, 13, 42, 8, 1, 1
2023/7/30, 37, 11, 33, 5, 1, 1
2023/7/31, 32, 11, 30, 8, 1, 1
2023/8/1, 26, 12, 37, 10, 1, 1
2023/8/2, 27, 12, 26, 11, 1, 1
2023/8/3, 33, 13, 33, 10, 1, 1
2023/8/4, 32, 10, 30, 9, , 1
2023/8/5, 26, 8, 19, 4, 1, 1
2023/8/6, 24, 10, 16, 2, 1, 
2023/8/7, 25, 8, 13, 2, 1, 
2023/8/8, 18, 8, 13, 3, 1, 
2023/8/9, 24, 19, 8, 3, 1, 1
2023/8/10, 42, 13, 15, 1, 1, 
2023/8/11, 23, 14, 23, 3, 1, 1
2023/8/12, 25, 18, 35, 6, 1, 1
2023/8/13, 46, 17, 29, 4, 1, 1
2023/8/14, 48, 13, 20, 3, 1, 1
2023/8/15, 39, 8, 18, 1, 1, 1
2023/8/16, 21, 15, 20, 7, 1, 2
2023/8/17, 28, 18, 22, 9, 1, 2
2023/8/18, 47, 16, 28, 6, 1, 2
2023/8/19, 41, 17, 42, 9, 1, 2
2023/8/20, 37, 17, 32, 4, 1, 2
2023/8/21, 40, 19, 42, 8, 1, 1
2023/8/22, 49, 8, 11, 5, 1, 1
2023/8/23, 17, 10, 11, 3, 1, 
2023/8/24, 24, 7, 15, 7, 1, 1
2023/8/25, 20, 9, 21, 8, 1, 1
2023/8/26, 24, 11, 31, 6, 1, 1
2023/8/27, 25, 9, 34, 5, 1, 1
