date, pm25, pm10, o3, no2, so2, co
2022/10/2, 52, 13, 42, 3, 1, 2
2022/10/3, 56, 15, 42, 4, 1, 2
2022/10/4, 55, 20, 47, 6, 1, 3
2022/10/5, 60, 7, 19, 6, , 2
2022/10/6, 33, 5, 18, 8, , 2
2022/10/7, 23, 8, 18, 9, , 3
2022/10/8, 26, 5, 29, 3, , 2
2022/10/9, 41, , 6, , , 
2022/10/10, 16, , , , , 
2022/9/2, 59, 9, 28, 7, 1, 2
2022/9/3, 24, 10, 35, 7, 1, 2
2022/9/4, 38, 12, 35, 3, 1, 2
2022/9/5, 49, 15, 32, 5, 1, 2
2022/9/6, 47, 12, 26, 5, 1, 2
2022/9/7, 48, 17, 20, 7, 1, 4
2022/9/8, 26, 6, 25, 7, 1, 2
2022/9/9, 32, 9, 28, 6, 1, 2
2022/9/10, 42, 14, 33, 5, 1, 2
2022/9/11, 36, 14, 33, 3, 1, 2
2022/9/12, 57, 9, 38, 5, 1, 13
2022/9/13, 43, 15, 40, 7, 1, 6
2022/9/14, 59, 17, 43, 7, 1, 3
2022/9/15, 58, 17, 29, 6, 1, 2
2022/9/16, 39, 15, 54, 9, , 2
2022/9/17, 53, 14, 40, 6, 1, 2
2022/9/18, 43, 13, 14, 4, 1, 2
2022/9/19, 40, 15, 22, 2, 1, 2
2022/9/20, 41, 13, 20, 3, 1, 
2022/9/21, 32, 8, 27, 7, 1, 2
2022/9/22, 36, 8, 22, 7, 1, 2
2022/9/23, 26, 6, 16, 5, 1, 2
2022/9/24, 32, 5, 27, 3, 1, 2
2022/9/25, 35, 7, 36, 1, 1, 2
2022/9/26, 41, 15, 46, 7, 1, 2
2022/9/27, 52, 20, 57, 7, , 2
2022/9/28, 59, 10, 38, 7, , 3
2022/9/29, 45, 8, 40, 7, 1, 2
2022/9/30, 46, 13, 56, 7, 1, 2
2022/10/1, 56, 12, 45, 4, 1, 2
2022/8/2, 57, 13, 27, 3, 1, 
2022/8/3, 62, 14, 29, 3, 1, 
2022/8/4, 60, 11, 34, 7, 1, 2
2022/8/5, 36, 11, 33, 7, 1, 2
2022/8/6, 35, 13, 41, 5, 1, 1
2022/8/7, 44, 16, 44, 4, 1, 2
2022/8/8, 55, 19, 57, 5, 1, 2
2022/8/9, 57, 18, 58, 4, 1, 1
2022/8/10, 66, 17, 58, 5, 1, 1
2022/8/11, 71, 12, 40, 4, 1, 1
2022/8/12, 57, 9, 29, 4, 1, 
2022/8/13, 35, 11, 18, 2, 1, 1
2022/8/14, 29, 7, 31, 2, 1, 1
2022/8/15, 40, 16, 52, 3, 1, 1
2022/8/16, 63, 16, 27, 3, 1, 1
2022/8/17, 69, 10, 38, 7, 1, 2
2022/8/18, 33, 7, 33, 5, 1, 2
2022/8/19, 42, 8, 54, 5, 1, 2
2022/8/20, 66, 17, 44, 6, 1, 2
2022/8/21, 42, 12, 40, 3, 1, 2
2022/8/22, 53, 11, 47, 6, 1, 2
2022/8/23, 45, 31, 59, 8, 1, 3
2022/8/24, 69, 18, 47, 7, 1, 2
2022/8/25, 65, 16, 51, 9, 1, 2
2022/8/26, 43, 27, 66, 9, 1, 2
2022/8/27, 63, 32, 54, 5, 1, 2
2022/8/28, 72, 10, 32, 3, 1, 2
2022/8/29, 34, 9, 38, 7, 1, 2
2022/8/30, 42, 14, 44, 8, 1, 2
2022/8/31, 55, 11, 39, 7, 1, 2
2022/9/1, 42, 11, 27, 5, 1, 2
2022/7/2, 71, 31, 87, 5, 1, 2
2022/7/3, 85, 25, 38, 3, 1, 2
2022/7/4, 73, 9, 23, 6, 1, 2
2022/7/5, 34, 17, 54, 10, 1, 2
2022/7/6, 49, 9, 32, 5, 1, 
2022/7/7, 47, 8, 35, 5, 1, 1
2022/7/8, 50, 8, 33, 5, 1, 1
2022/7/9, 38, 13, 45, 4, 1, 3
2022/7/10, 55, 14, 45, 3, 1, 2
2022/7/11, 58, 15, 54, 5, 1, 2
2022/7/12, 52, 13, 21, 6, 1, 1
2022/7/13, 36, 6, 29, 5, 1, 1
2022/7/14, 38, 8, 19, 5, 1, 1
2022/7/15, 27, 7, 33, 4, 1, 1
2022/7/16, 27, 6, 39, 5, 1, 2
2022/7/17, 31, 8, 43, 2, 1, 2
2022/7/18, 39, 12, 50, 3, 1, 2
2022/7/19, 50, 29, 42, 9, 1, 3
2022/7/20, 70, 12, 38, 4, 1, 2
2022/7/21, 49, 19, 71, 6, 1, 2
2022/7/22, 64, 25, 62, 7, 1, 2
2022/7/23, 61, 9, 35, 3, 1, 2
2022/7/24, 51, 13, 52, 2, 1, 1
2022/7/25, 62, 21, 67, 7, 1, 2
2022/7/26, 60, 16, 37, 6, 1, 1
2022/7/27, 45, 15, 39, 5, 1, 1
2022/7/28, 49, 13, 48, 5, 1, 1
2022/7/29, 53, 9, 51, 6, 1, 1
2022/7/30, 54, 15, 50, 4, 1, 1
2022/7/31, 62, 14, 38, 2, 1, 
2022/8/1, 59, 10, 42, 3, 1, 
2022/6/2, 47, 13, 65, 7, 1, 1
2022/6/3, 74, 18, 45, 7, 1, 1
2022/6/4, 60, 9, 50, 4, 1, 2
2022/6/5, 50, 11, 46, 3, 1, 2
2022/6/6, 48, 4, 26, 5, 1, 2
2022/6/7, 16, 4, 34, 7, 1, 2
2022/6/8, 32, 9, 28, 7, 1, 2
2022/6/9, 33, 9, 41, 6, 1, 2
2022/6/10, 45, 16, 37, 7, 1, 3
2022/6/11, 56, 13, 39, 6, 1, 2
2022/6/12, 45, 10, 36, 1, 1, 1
2022/6/13, 57, 9, 38, 3, 1, 1
2022/6/14, 61, 8, 25, 5, 1, 1
2022/6/15, 31, 9, 33, 9, 1, 2
2022/6/16, 35, 10, 38, 8, 1, 2
2022/6/17, 43, 17, 58, 9, 1, 2
2022/6/18, 59, 39, 76, 9, 1, 3
2022/6/19, 89, 28, 53, 5, 1, 2
2022/6/20, 86, 19, 66, 6, 1, 2
2022/6/21, 65, 24, 67, 7, 1, 3
2022/6/22, 62, 27, 49, 6, 1, 2
2022/6/23, 63, 21, 34, 7, 1, 2
2022/6/24, 48, 19, 52, 7, 1, 2
2022/6/25, 61, 15, 45, 4, 1, 2
2022/6/26, 67, 10, 27, 2, 1, 
2022/6/27, 40, 11, 33, 4, 1, 
2022/6/28, 71, 16, 97, 6, 1, 2
2022/6/29, 62, 28, 97, 7, 1, 2
2022/6/30, 73, 22, 71, 5, 1, 2
2022/7/1, 67, 25, 92, 7, 1, 2
2022/5/2, 37, 7, 41, 3, 1, 2
2022/5/3, 44, 6, 40, 2, 1, 2
2022/5/4, 53, 12, 58, 4, 1, 2
2022/5/5, 57, 17, 78, 4, 1, 2
2022/5/6, 64, 18, 64, 8, 1, 2
2022/5/7, 74, 11, 49, 5, 1, 2
2022/5/8, 55, 6, 39, 2, 1, 
2022/5/9, 37, 7, 34, 8, 1, 2
2022/5/10, 25, 8, 47, 5, 1, 2
2022/5/11, 52, 13, 60, 8, 1, 2
2022/5/12, 49, 15, 59, 9, 1, 2
2022/5/13, 57, 7, 28, 8, 1, 2
