date, pm25, pm10, o3, no2, so2, co
2023/11/2, 26, 12, 38, 3, 1, 4
2023/11/3, 46, 17, 49, 2, 1, 3
2023/11/4, 54, 15, 31, 4, , 3
2023/11/5, 51, 13, 33, 2, 1, 3
2023/11/6, 44, 10, 32, 3, , 2
2023/11/7, 38, 12, 36, 1, 1, 2
2023/11/8, 30, 8, 35, 3, 1, 2
2023/11/9, 18, 8, 28, 2, , 3
2023/11/10, 30, 10, 36, 3, 1, 3
2023/11/11, 35, 6, 34, 1, 1, 2
2023/11/12, 16, 5, 30, 1, 1, 2
2023/11/13, 14, 2, 36, 1, , 2
2023/11/14, 7, 4, 35, 3, 1, 2
2023/11/15, 15, 5, 31, 3, 2, 3
2023/11/16, 12, 5, 30, 4, , 2
2023/11/17, 18, 5, 40, 4, , 2
2023/11/18, 16, , 38, , , 
2023/11/1, , 9, 38, 2, 1, 2
