date, pm25, pm10, o3, no2, so2, co
2023/8/2, 25, 12, 18, 11, , 2
2023/8/3, 21, 12, 15, 7, , 1
2023/8/4, 25, 18, 32, 13, , 4
2023/8/5, 42, 14, 21, 7, , 2
2023/8/6, 25, 17, 14, 5, , 2
2023/8/7, 29, 13, 16, 10, , 2
2023/8/8, 22, 13, 23, 10, , 2
2023/8/9, 22, 23, 9, 9, , 2
2023/8/10, 26, 25, 23, 8, , 1
2023/8/11, 38, 18, 22, 5, , 1
2023/8/12, 30, 13, 35, 7, , 1
2023/8/13, 29, 17, 14, 6, , 2
2023/8/14, 26, 31, 13, 5, , 1
2023/8/15, 37, 45, 23, 6, , 3
2023/8/16, 55, 40, 22, 5, , 2
2023/8/17, 58, 20, 23, 8, , 2
2023/8/18, 37, 23, 22, 10, , 5
2023/8/19, 42, 28, 48, 11, , 3
2023/8/20, 52, 23, 57, 9, , 2
2023/8/21, 49, 11, 25, 11, , 1
2023/8/22, 24, 15, 13, 11, , 2
2023/8/23, 23, 15, 10, 8, , 2
2023/8/24, 23, 15, 14, 8, , 2
2023/8/25, 25, 9, 11, 8, , 1
2023/8/26, 18, 9, 17, 9, , 2
2023/8/27, 21, , , , , 
2023/7/2, 21, 10, 68, 8, , 2
2023/7/3, 24, 29, 62, 18, , 4
2023/7/4, 54, 21, 47, 13, , 3
2023/7/5, 47, 14, 37, 14, , 2
2023/7/6, 32, 14, 45, 14, , 3
2023/7/7, 30, 26, 46, 20, , 3
2023/7/8, 52, 29, 33, 7, , 2
2023/7/9, 50, 31, 19, 5, , 2
2023/7/10, 50, 41, 30, 12, , 2
2023/7/11, 58, 35, 41, 21, , 3
2023/7/12, 57, 36, 34, 17, , 2
2023/7/13, 61, 14, 26, 15, , 2
2023/7/14, 38, 24, 39, 23, , 3
2023/7/15, 49, 15, 18, 7, , 1
2023/7/16, 26, 24, 29, 10, , 3
2023/7/17, 43, 23, 37, 12, , 3
2023/7/18, 51, 22, 73, 17, , 3
2023/7/19, 57, 31, 32, 18, , 3
2023/7/20, 58, 18, 32, 12, 2, 2
2023/7/21, 38, 16, 35, 10, 1, 2
2023/7/22, 34, 12, 40, 9, 1, 2
2023/7/23, 30, 14, 52, 9, 2, 2
2023/7/24, 33, 12, 32, 13, 2, 2
2023/7/25, 29, 13, 73, 16, 2, 2
2023/7/26, 33, , 61, 22, 2, 3
2023/7/28, 41, 13, 33, 13, , 2
2023/7/29, 30, 11, 33, 9, , 2
2023/7/30, 28, 12, 29, 5, , 1
2023/7/31, 28, 13, 19, 7, , 2
2023/8/1, 24, 14, 25, 16, , 2
2023/4/2, 57, 16, 43, 8, , 2
2023/4/3, 45, 11, 41, 12, , 2
2023/4/4, 35, 13, 44, 20, , 3
2023/4/5, 40, 16, 49, 23, , 3
2023/4/6, 49, 11, 44, 10, , 2
2023/4/7, 29, 21, 35, 8, , 2
2023/4/8, 39, 8, 36, 11, , 3
2023/4/9, 19, 13, 47, 8, , 2
2023/4/10, 43, 16, 49, 17, , 3
2023/4/11, 50, 17, 45, 16, , 3
2023/4/12, 47, 15, 41, 11, , 2
2023/4/13, 40, 33, 42, 14, , 2
2023/4/14, 63, 32, 41, 14, , 3
2023/4/15, 60, 14, 37, 18, , 3
2023/4/16, 33, 9, 37, 12, , 3
2023/4/17, 28, 14, 40, 12, , 2
2023/4/18, 38, 21, 36, 20, , 3
2023/4/19, 56, 28, 42, 26, , 4
