date, pm25, pm10, o3, no2, so2
2022/3/2, 55, 20, 34, 12, 1
2022/3/3, 61, 15, 41, 12, 1
2022/3/4, 53, 25, 41, 15, 1
2022/3/5, 74, 27, 34, 12, 
2022/3/6, 74, 9, 38, 3, 1
2022/3/7, 32, 18, 31, 10, 
2022/3/8, 58, 17, 43, 13, 1
2022/3/9, 55, 29, 54, 13, 2
2022/3/10, 79, 26, 39, 16, 1
2022/3/11, 77, 23, 36, 16, 2
2022/3/12, 66, 22, 35, 14, 2
2022/3/13, 63, 17, 35, 5, 2
2022/3/14, 52, 14, 37, 9, 1
2022/3/15, 40, 16, 40, 8, 1
2022/3/16, 48, 15, 42, 12, 1
2022/3/17, 49, 19, 40, 9, 1
2022/3/18, 54, 9, 36, 8, 1
2022/3/19, 31, 7, 36, 6, 1
2022/3/20, 29, 5, 39, 5, 1
2022/3/21, 18, , 38, , 1
2022/3/23, 31, 9, 26, 14, 
2022/3/24, 34, 27, 48, 10, 
2022/3/25, 77, 24, 42, 13, 
2022/3/26, 71, 14, 41, 3, 
2022/3/27, 46, , , , 
2022/2/2, 64, 32, 36, 15, 1
2022/2/3, 89, 14, 32, 8, 1
2022/2/4, 46, 12, 38, 9, 
2022/2/5, 41, 14, 35, 5, 
2022/2/6, 46, 11, 30, 3, 1
2022/2/7, 38, 9, 25, 10, 1
2022/2/8, 35, 9, 30, 13, 1
2022/2/9, 37, 10, 28, 15, 1
2022/2/10, 34, 9, 35, 16, 1
2022/2/11, 34, 12, 34, 12, 1
2022/2/12, 44, 12, 30, 15, 2
2022/2/13, 44, 10, 23, 12, 1
2022/2/14, 43, 10, 27, 14, 1
2022/2/15, 40, 17, 35, 11, 1
2022/2/16, 53, 11, 35, 6, 1
2022/2/17, 40, 9, 36, 5, 1
2022/2/18, 38, 9, 34, 11, 1
2022/2/19, 33, 8, 29, 12, 3
2022/2/20, 34, 12, 40, 3, 1
2022/2/21, 42, 8, 34, 6, 1
2022/2/22, 28, 13, 34, 8, 1
2022/2/23, 45, 13, 34, 9, 1
2022/2/24, 51, 10, 31, 10, 1
2022/2/25, 39, 17, 38, 14, 1
2022/2/26, 59, 23, 43, 12, 1
2022/2/27, 70, 22, 45, 7, 1
2022/2/28, 69, 14, 28, 17, 1
2022/3/1, 48, 16, 35, 16, 1
2022/1/4, 49, 17, 30, 14, 1
2022/1/5, 53, 14, 21, 17, 1
2022/1/6, 47, 8, 24, 11, 1
2022/1/7, 34, 9, 19, 16, 1
2022/1/8, 34, 11, 26, 14, 1
2022/1/9, 39, 19, 35, 11, 1
2022/1/10, 63, 27, 26, 14, 1
2022/1/11, 81, 15, 27, 10, 1
2022/1/12, 51, 7, 26, 8, 1
2022/1/13, 27, 13, 25, 8, 1
2022/1/14, 45, 7, 25, 8, 1
2022/1/15, 25, 9, 18, 14, 1
2022/1/16, 36, 18, 29, 13, 
2022/1/17, 60, 10, 25, 9, 1
2022/1/18, 32, 9, 27, 7, 1
2022/1/19, 33, 9, 22, 15, 1
2022/1/20, 32, 10, 28, 9, 1
2022/1/21, 35, 7, 24, 12, 1
2022/1/22, 25, 10, 21, 14, 1
2022/1/23, 35, 11, 20, 17, 1
2022/1/24, 45, 9, 26, 13, 1
2022/1/25, 32, 9, 23, 13, 1
2022/1/26, 30, 23, 34, 14, 1
2022/1/27, 66, 32, 31, 16, 1
2022/1/28, 87, 24, 34, 15, 1
2022/1/29, 72, 8, 31, 12, 1
2022/1/30, 33, 8, 31, 8, 1
2022/1/31, 30, 9, 28, 14, 1
2022/2/1, 36, 20, 33, 13, 
2021/10/2, 18, 12, 44, 5, 1
2021/10/3, 27, 20, 55, 6, 1
2021/10/4, 55, 22, , 11, 
2021/10/5, 57, 18, , 10, 
2021/10/6, 51, 18, , 9, 
2021/10/7, 48, 23, , 8, 
2021/10/8, 60, 27, , 11, 
2021/10/9, 65, 19, , 7, 
2021/10/10, 47, 14, , 5, 
2021/10/11, 36, 18, , 7, 
2021/10/12, 42, 18, , 6, 
2021/10/13, 38, 10, , 3, 
2021/10/14, 20, 7, , 4, 
2021/10/15, 16, 9, , 8, 
2021/10/16, 30, 10, , 6, 
2021/10/17, 26, 9, , 2, 
2021/10/18, 24, 6, , 9, 
2021/10/19, 20, 7, , 9, 
2021/10/20, 27, 8, , 7, 
2021/10/21, 28, 10, , 8, 
2021/10/22, 34, 11, , 7, 
2021/10/23, 37, 6, , 7, 
2021/10/24, 22, 8, , 6, 
2021/10/25, 29, 11, , 13, 
2021/10/26, 41, 9, , 11, 
2021/10/27, 31, 15, , 12, 
2021/10/28, 47, 20, , 10, 
2021/10/29, 60, 10, , 8, 
2021/10/30, 29, 18, 25, 14, 7
2021/10/31, 52, 17, 34, 6, 2
2021/11/1, 50, 13, 37, 11, 1
2021/11/2, 41, 21, 41, 10, 1
2021/11/3, 61, 19, 40, 10, 1
2021/11/4, 58, 20, 47, 11, 1
2021/11/5, 59, 17, 37, 13, 1
2021/11/6, 53, 17, 28, 15, 1
2021/11/7, 49, 10, 37, 8, 1
2021/11/8, 34, 10, 30, 10, 1
2021/11/9, 28, 10, 28, 9, 1
2021/11/10, 27, 9, 29, 11, 1
2021/11/11, 28, 9, 27, 11, 1
2021/11/12, 26, 8, 25, 8, 1
2021/11/13, 25, 8, 24, 8, 1
2021/11/14, 29, 16, 29, 8, 1
2021/11/15, 49, 25, 42, 13, 1
2021/11/16, 66, 23, 35, 14, 1
2021/11/17, 62, 25, 35, 14, 1
2021/11/18, 64, 26, 39, 15, 1
2021/11/19, 66, 25, 43, 17, 1
2021/11/20, 65, 24, 40, 20, 1
2021/11/21, 66, 20, 33, 9, 4
2021/11/22, 60, 18, 27, 9, 1
2021/11/23, 49, 7, 24, 6, 
2021/11/24, 21, 12, 27, 8, 1
2021/11/25, 39, 19, 36, 13, 1
2021/11/26, 52, 15, 27, 11, 1
2021/11/27, 46, 10, 25, 8, 1
2021/11/28, 32, 8, 26, 9, 1
2021/11/29, 27, 12, 20, 14, 3
2021/11/30, 45, 11, 28, 11, 8
2021/12/1, 40, 9, 26, 4, 1
2021/12/2, 29, 7, 21, 10, 1
2021/12/3, 26, 11, 24, 12, 1
2021/12/4, 38, 10, 26, 5, 1
2021/12/5, 32, 11, 24, 9, 1
2021/12/6, 41, 12, 16, 16, 4
2021/12/7, 43, 12, 25, 20, 1
2021/12/8, 40, 13, 32, 6, 1
2021/12/9, 38, 10, 17, 16, 1
