date, pm25, pm10, o3, no2, so2, co
2021/8/2, 27, 11, 22, 4, 1, 
2021/8/3, 18, 17, 12, 2, 1, 
2021/8/4, 18, 12, 14, 2, 1, 1
2021/8/5, 12, 10, 38, 7, 2, 1
2021/8/6, 18, 11, 21, 6, 1, 1
2021/8/7, 20, 9, 16, 6, 1, 4
2021/8/8, 14, 7, 19, 4, 1, 3
2021/8/9, 13, 42, 26, 1, 1, 1
2021/8/10, 42, 12, 29, 7, 1, 2
2021/8/11, 22, 11, 45, 9, 2, 2
2021/8/12, 24, 14, 21, 7, 1, 2
2021/8/13, 26, 11, 35, 12, 1, 2
2021/8/14, 22, 18, 12, 3, 1, 3
2021/8/15, 14, 2, 18, 4, 1, 3
2021/8/16, 10, 7, 16, 8, 1, 2
2021/8/17, 13, 13, 20, 11, 1, 1
2021/8/18, 21, 20, 11, 1, 1, 
2021/8/19, 20, 9, 15, 2, 1, 
2021/8/20, 13, 12, 12, 2, 1, 
2021/8/21, 19, 11, 13, 2, 1, 
2021/8/22, 18, 11, 12, 1, 1, 
2021/8/23, 14, 18, 44, 12, 1, 
2021/8/24, 35, 19, 39, 6, 1, 
2021/8/25, 38, 19, 21, 3, 1, 
2021/8/26, 29, 34, 95, 11, 1, 
2021/8/27, 61, 32, 75, 10, 2, 
2021/8/28, 57, 37, 71, 5, 1, 
2021/8/29, 64, 26, 37, 7, 1, 
2021/8/30, 54, 26, 49, 4, 1, 
2021/8/31, 44, , , , , 
2021/7/20, 18, 11, 18, 4, 1, 3
2021/7/21, 21, 7, 18, 4, 1, 2
2021/7/22, 14, 7, 20, 4, 1, 3
2021/7/23, 13, 7, 16, 3, 1, 2
2021/7/24, 11, 11, 19, 3, 1, 
2021/7/25, 18, 10, 30, 4, 1, 
2021/7/26, 26, 18, 31, 9, 1, 
2021/7/27, 40, 10, 23, 4, 1, 
2021/7/28, 26, 20, 36, 2, 1, 
2021/7/29, 38, 16, 22, 2, 1, 
2021/7/30, 22, 12, 19, 4, 1, 
2021/7/31, 15, 12, 37, 8, 1, 
2021/8/1, 24, 14, 38, 2, 1, 
2020/9/14, 21, 14, 24, 14, 4, 
2020/9/15, 48, 11, 33, 13, 4, 
2020/9/16, 33, 16, 25, 20, 5, 
2020/9/17, 48, 14, 28, 16, 5, 
2020/9/18, 47, 14, 12, 4, 1, 
2020/9/19, 37, 13, 35, 14, 3, 
2020/9/20, 42, 8, 22, 7, 2, 
2020/9/21, 30, , , , , 
2020/1/2, 21, 7, 15, 19, 3, 6
2020/1/3, 18, 12, 15, 23, 5, 5
2020/1/4, 39, 5, 22, 14, 1, 3
2020/1/5, 14, 4, 26, 6, 1, 3
2020/1/6, 20, 6, 18, 14, 1, 5
2020/1/7, 16, 10, 15, 21, 1, 5
2020/1/8, 28, 12, 7, 21, , 4
2020/1/9, 39, 6, 24, 15, 1, 6
2020/1/10, 24, 7, 17, 18, 3, 3
2020/1/11, 26, 12, 8, 27, 3, 4
2020/1/12, 33, 13, 18, 18, 2, 3
2020/1/13, 41, 14, 22, 18, 2, 5
