date, pm25, pm10, o3, no2, so2, co
2023/7/2, 21, 9, 59, 4, 1, 2
2023/7/3, 23, 22, 81, 7, 1, 2
2023/7/4, 48, 17, 40, 4, 1, 2
2023/7/5, 37, 14, 37, 9, 1, 2
2023/7/6, 29, 10, 33, 6, 1, 2
2023/7/7, 22, 24, 65, 12, 1, 3
2023/7/8, 47, 33, 43, 9, 1, 3
2023/7/9, 54, 37, 38, 5, , 2
2023/7/10, 57, 32, 53, 8, 1, 2
2023/7/11, 49, 23, 76, 7, 1, 2
2023/7/12, 49, 23, 97, 10, 1, 2
2023/7/13, 47, 12, 36, 11, 1, 1
2023/7/14, 28, 20, 67, 6, 1, 2
2023/7/15, 40, 27, 39, 9, 1, 2
2023/7/16, 47, 20, 2, 13, 1, 
2023/7/17, 25, , , , , 
2023/7/1, , 12, 25, 7, 1, 2
