date, pm25, pm10, o3, no2, so2, co
2021/9/2, 37, 8, 29, 3, 1, 3
2021/9/3, 18, 8, 30, 9, 1, 4
2021/9/4, 30, 4, 26, 6, 1, 3
2021/9/5, 21, , 18, 2, , 2
2021/8/2, 36, 17, 45, 7, 1, 2
2021/8/3, 47, 20, 39, 8, 1, 2
2021/8/4, 58, 11, 25, 7, 1, 3
2021/8/5, 30, 14, 31, 6, 1, 1
2021/8/6, 40, 19, 39, 8, 1, 2
2021/8/7, 47, 20, 32, 4, 1, 2
2021/8/8, 48, 15, 25, 1, 1, 1
2021/8/9, 41, 13, 28, 1, 1, 1
2021/8/10, 23, 16, 19, 6, , 1
2021/8/11, 27, 10, 22, 7, , 2
2021/8/12, 37, 14, 30, 6, 1, 3
2021/8/13, 43, 8, 37, 3, 1, 2
2021/8/14, 25, 6, 51, 3, , 1
2021/8/15, 24, 6, 41, 2, 1, 2
2021/8/16, 35, 5, 26, 3, 1, 2
2021/8/17, 24, 7, 18, 4, 1, 2
2021/8/18, 148, 9, 32, 9, 1, 2
2021/8/19, 22, 8, 20, 5, 1, 2
2021/8/20, 22, 6, 27, 8, 1, 2
2021/8/21, 27, 8, 24, 7, 1, 2
2021/8/22, 27, 10, 13, 3, 1, 1
2021/8/23, 22, 14, 26, 6, 1, 2
2021/8/24, 34, 14, 23, 9, 1, 3
2021/8/25, 33, 14, 22, 9, 1, 2
2021/8/26, 35, 14, 32, 7, 1, 2
2021/8/27, 33, 15, 41, 11, 1, 3
2021/8/28, 44, 13, 33, 6, , 2
2021/8/29, 38, 12, 40, 5, 1, 2
2021/8/30, 27, 13, 43, 9, 1, 2
2021/8/31, 33, 17, 42, 11, 1, 3
2021/9/1, 49, 15, 32, 5, 1, 3
2021/7/2, 44, 10, 37, 6, 1, 3
2021/7/3, 28, 14, 32, 6, 1, 3
2021/7/4, 43, 11, 15, 3, , 3
2021/7/5, 42, 12, 38, 6, , 2
2021/7/6, 39, 10, 20, 10, , 3
2021/7/7, 37, 10, 30, 10, , 2
2021/7/8, 35, 8, 22, 9, 1, 2
2021/7/9, 39, 13, 35, 10, 1, 2
2021/7/10, 42, 11, 37, 7, 1, 2
2021/7/11, 32, 12, 40, 4, 1, 2
2021/7/12, 47, 10, 42, 12, 1, 2
2021/7/13, 41, 13, 42, 10, 1, 2
2021/7/14, 50, 17, 35, 9, , 2
2021/7/15, 56, 13, 34, 6, 1, 2
2021/7/16, 44, 10, 36, 6, 1, 2
2021/7/17, 43, 15, 37, 6, 1, 2
2021/7/18, 53, 17, 38, 3, 1, 2
2021/7/19, 52, 13, 23, 4, 1, 1
2021/7/20, 56, 17, 34, 7, 1, 1
2021/7/21, 62, 19, 38, 6, 1, 1
2021/7/22, 57, 19, 36, 6, 1, 2
2021/7/23, 58, 17, 34, 3, 1, 1
