date, pm25, pm10, o3, no2, so2, co
2023/12/2, 175, 137, , 31, 7, 19
2023/12/3, 159, 124, , 27, 3, 18
2023/12/4, 150, 111, , 27, 3, 16
2023/12/5, 132, 92, , 27, 4, 16
2023/12/6, 119, 138, , 30, 4, 17
2023/12/7, 156, 129, , 28, 5, 19
2023/12/8, 133, 111, , 24, 4, 16
2023/12/9, 134, 141, , 28, 3, 17
2023/12/10, 157, 110, , 23, 3, 10
2023/12/11, 122, 122, , 18, 2, 9
2023/12/12, 130, 168, , 22, 3, 13
2023/12/13, 147, 156, , 10, 2, 3
2023/12/14, 89, 446, , 7, , 2
2023/12/15, 141, 853, , 7, , 2
2023/12/16, 343, 999, , 8, , 3
2023/12/17, 454, 999, , 10, , 4
2023/12/18, 383, , , , , 
2023/11/2, 52, 51, 36, 9, 1, 2
2023/11/3, 42, 76, 37, 16, 2, 5
2023/11/4, 68, 98, 33, 22, 3, 8
2023/11/5, 98, 140, 36, 18, 3, 11
2023/11/6, 126, 262, 32, 22, 3, 12
2023/11/7, 174, 344, 37, 24, 3, 15
2023/11/8, 185, 233, 35, 26, 4, 15
2023/11/9, 175, 224, 28, 27, 4, 16
2023/11/10, 170, , , , , 
2023/11/14, 161, 122, , 19, 2, 10
2023/11/15, 131, 151, , 21, 2, 13
2023/11/16, 155, 136, , 24, 3, 14
2023/11/17, 148, 136, , 21, 3, 12
2023/11/18, 145, 155, , 24, 4, 16
2023/11/19, 150, 160, , 29, 5, 20
2023/11/20, 166, 151, , 26, 4, 18
2023/11/21, 159, 132, , 24, 3, 15
2023/11/22, 145, 139, , 26, 4, 16
2023/11/23, 142, 134, , 29, 4, 18
2023/11/24, 152, 126, , 28, 4, 19
2023/11/25, 132, 129, , 27, 5, 19
2023/11/26, 145, 134, , 28, 4, 19
2023/11/27, 147, 161, , 29, 5, 22
2023/11/28, 159, 142, , 30, 4, 22
2023/11/29, 160, 141, , 29, 4, 21
2023/11/30, 150, 139, , 32, 4, 28
2023/12/1, 163, 147, , 49, 10, 33
2023/10/2, 53, 92, 39, 18, 1, 7
2023/10/3, 109, 90, 40, 15, 1, 6
2023/10/4, 107, 108, 42, 17, 1, 6
2023/10/5, 119, 50, 47, 11, 1, 5
2023/10/6, 62, 80, 44, 18, 3, 7
2023/10/7, 92, 60, 46, 11, 2, 5
2023/10/8, 67, 80, 44, 14, 2, 6
2023/10/9, 94, 69, 34, 10, 1, 4
2023/10/10, 69, 61, 41, 12, 2, 5
2023/10/11, 78, 93, 38, 18, 2, 7
2023/10/12, 107, 96, 40, 18, 2, 7
2023/10/13, 121, 107, 31, 20, 2, 6
