date, pm25, pm10, o3, no2, so2, co
2023/2/2, 62, 16, 32, 10, 1, 2
2023/2/3, 31, 21, 27, 19, 1, 3
2023/2/4, 53, 25, 27, 25, 2, 4
2023/2/5, 66, 14, 34, 14, 1, 3
2023/2/6, 42, 17, 33, 28, 1, 3
2023/2/7, 55, 22, 38, 22, 1, 3
2023/2/8, 59, 28, 38, 15, 1, 3
2023/2/9, 66, 16, 33, 14, 1, 2
2023/2/10, 36, 19, 20, 20, 1, 3
2023/2/11, 48, 15, 36, 9, 1, 2
2023/2/12, 27, 19, 33, 15, 1, 3
2023/2/13, 50, 16, 26, 22, 1, 3
2023/2/14, 47, 12, 35, 10, 1, 2
2023/2/15, 23, 12, 33, 9, 1, 2
2023/2/16, 26, 15, 31, 16, 1, 2
2023/2/17, 35, 20, 35, 28, 2, 4
2023/2/18, 58, 26, 36, 31, 2, 5
2023/2/19, 73, 25, 12, 27, 1, 5
2023/2/20, 78, , , , , 
2023/1/3, 28, 14, 28, 7, 1, 2
2023/1/4, 24, 13, 28, 8, 1, 2
2023/1/5, 19, 15, 30, 15, 1, 3
2023/1/6, 21, 20, 26, 30, 1, 5
2023/1/7, 49, 19, 27, 23, 1, 4
2023/1/8, 55, 20, 35, 21, 1, 4
2023/1/9, 66, 25, 30, 24, 1, 4
2023/1/10, 63, 13, 31, 9, 1, 2
2023/1/11, 30, 16, 28, 24, 1, 4
2023/1/12, 48, 21, 23, 34, 1, 6
2023/1/13, 60, 31, 19, 39, 2, 6
2023/1/14, 78, 32, 6, 30, 1, 6
2023/1/15, 85, 24, 26, 15, 1, 4
2023/1/16, 51, 14, 27, 15, 1, 3
2023/1/17, 29, 14, 24, 20, 1, 3
2023/1/18, 36, 19, 27, 18, 1, 3
2023/1/19, 47, 17, 26, 20, 1, 3
2023/1/20, 36, 20, 33, 27, 1, 3
2023/1/21, 55, 16, 29, 7, 1, 2
2023/1/22, 32, 17, 27, 15, 1, 3
2023/1/23, 45, 17, 15, 23, 1, 3
2023/1/24, 58, 24, 27, 18, 1, 4
2023/1/25, 67, 12, 29, 9, 1, 2
2023/1/26, 26, 14, 22, 28, 2, 4
2023/1/27, 42, 15, 24, 23, 1, 3
2023/1/28, 42, 13, 31, 13, 1, 3
2023/1/29, 27, 18, 29, 18, 1, 4
