date, pm25, pm10, o3, no2, so2
2022/10/2, 35, 17, 59, 4, 2
2022/10/3, 42, 13, 33, 2, 1
2022/10/4, 27, 15, 33, , 
2022/10/5, 27, 9, 27, 2, 1
2022/10/6, 17, 7, 26, 3, 1
2022/10/7, 12, 6, 19, 5, 1
2022/10/8, 10, 7, 33, 3, 1
2022/10/9, 10, 7, 14, 3, 1
2022/10/10, 12, 9, 35, 4, 1
2022/10/11, 17, 7, 36, 2, 1
2022/10/12, 14, 9, 27, 5, 1
2022/10/13, 21, 10, 34, 3, 1
2022/10/14, 28, 10, 45, 5, 1
2022/10/15, 26, 12, 43, 4, 1
2022/10/16, 30, 12, 40, 3, 1
2022/10/17, 31, 14, 25, 3, 1
2022/10/18, 32, 12, 31, 3, 1
2022/10/19, 28, 6, 33, 3, 1
2022/10/20, 15, 5, 34, 4, 2
2022/10/21, 14, 6, 37, 4, 1
2022/10/22, 17, 6, 35, 2, 1
2022/10/23, 14, 10, 42, 2, 1
2022/10/24, 25, 7, 35, 3, 1
2022/10/25, 17, 5, 29, 4, 1
2022/10/26, 11, 5, 32, 4, 1
2022/10/27, 12, 8, 25, 5, 2
2022/10/28, 16, 8, 34, 6, 2
2022/10/29, 19, 9, 35, 2, 1
2022/10/30, 22, 8, 36, 3, 1
2022/10/31, 21, 9, 39, 5, 1
2022/11/1, 26, 9, 13, 6, 1
2022/11/2, 18, 8, 33, 6, 2
2022/11/3, 17, 11, 32, 4, 1
2022/11/4, 28, 15, 47, 4, 1
2022/11/5, 37, 8, 36, 3, 1
2022/11/6, 18, 7, 34, 3, 1
2022/11/7, 15, 8, 23, 5, 1
2022/11/8, 21, 11, 39, 5, 1
2022/11/9, 32, 11, 41, 5, 1
2022/11/10, 32, 12, 42, 5, 2
2022/11/11, 36, 18, 46, 6, 1
2022/11/12, 53, 15, 46, 5, 2
2022/11/13, 44, 8, 42, 2, 1
2022/11/14, 21, 5, 30, 2, 1
2022/11/15, 11, 8, 32, 4, 2
2022/11/16, 21, 11, 43, 2, 1
2022/11/17, 31, 12, 33, 6, 2
2022/11/18, 38, 12, 32, 8, 3
2022/11/19, 38, 12, 36, 4, 1
2022/11/20, 34, 8, 19, 4, 2
2022/11/21, 23, 5, 27, 5, 1
2022/11/22, 13, 10, 33, 4, 1
2022/11/23, 28, 9, 24, 4, 1
2022/11/24, 21, 6, 29, 4, 1
2022/11/25, 11, 7, 28, 4, 1
2022/11/26, 15, 7, 14, 6, 1
2022/11/27, 14, 15, 35, 4, 1
2022/11/28, 34, 9, 33, 6, 1
2022/11/29, 24, 11, 33, 3, 1
2022/11/30, 25, 6, 30, 2, 1
2022/12/1, 12, 4, 28, 1, 1
2022/12/2, 7, 3, 30, 2, 1
2022/12/3, 9, 5, 23, 5, 2
2022/12/4, 19, 12, 24, 6, 2
2022/12/5, 42, 7, 28, 4, 1
2022/12/6, 19, 4, 34, 1, 
2022/12/7, 11, 10, 35, 4, 1
2022/12/8, 31, 15, 37, 5, 1
2022/12/9, 39, 11, 33, 7, 2
2022/12/10, 31, 11, 30, 9, 2
2022/12/11, 34, 8, 35, 4, 2
2022/12/12, 27, 7, 31, 5, 1
2022/12/13, 19, 9, 36, 5, 2
2022/12/14, 26, 27, 31, 1, 
2022/12/15, 46, 5, 32, 1, 1
2022/12/16, 14, 11, 26, 8, 2
2022/12/17, 30, 9, 28, 7, 1
2022/12/18, 34, 4, 30, 1, 1
2022/12/19, 12, 5, 32, 1, 1
2022/12/20, 13, 8, 32, 4, 2
2022/12/21, 25, 7, 27, 5, 1
2022/12/22, 25, 6, 30, 5, 1
2022/12/23, 21, 6, 33, 1, 1
2022/12/24, 21, 6, 31, 1, 1
2022/12/25, 18, 4, 34, 1, 1
2022/12/26, 11, 4, 31, 3, 1
2022/12/27, 14, 5, 30, 5, 1
2022/12/28, 16, 6, 31, 6, 2
2022/12/29, 23, 10, 35, 3, 1
2022/12/30, 30, 7, 34, 1, 1
2022/12/31, 23, 9, 35, 3, 1
2023/1/1, 36, 8, 30, 2, 2
2023/1/2, 27, , , , 
2022/7/2, 48, 10, 13, 2, 3
2022/7/3, 19, 4, 11, 1, 1
2022/7/4, 6, 6, 6, 3, 1
2022/7/5, 5, 12, 17, 1, 1
2022/7/6, 28, 16, 41, 4, 1
2022/7/7, 29, 19, 49, 2, 1
2022/7/8, 40, 18, 31, 2, 2
2022/7/9, 36, 11, 24, 1, 1
2022/7/10, 24, 9, 26, 1, 1
2022/7/11, 14, 10, 22, 1, 1
2022/7/12, 17, 10, 24, 2, 1
2022/7/13, 18, 10, 40, 4, 1
2022/7/14, 21, 13, 32, 4, 1
2022/7/15, 26, 17, 34, 2, 1
2022/7/16, 32, 11, 30, 1, 1
2022/7/17, 15, 15, 47, 2, 1
2022/7/18, 30, 19, 39, 1, 3
2022/7/19, 40, 24, 17, 1, 1
2022/7/20, 27, 15, 49, 2, 1
2022/7/21, 24, 19, 51, 6, 2
2022/7/22, 43, 15, 57, 2, 1
2022/7/23, 30, 7, 36, 2, 1
2022/7/24, 14, 10, 40, 2, 1
2022/7/25, 22, 13, 32, 3, 2
2022/7/26, 32, 23, 88, 4, 2
2022/7/27, 52, 17, 25, 1, 1
2022/7/28, 34, 9, 18, 2, 3
2022/7/29, 17, 9, 23, 2, 1
2022/7/30, 16, 6, 10, 1, 1
2022/7/31, 10, 11, 8, 1, 1
2022/8/1, 19, 10, 11, , 1
2022/8/2, 16, 12, 15, 1, 1
2022/8/3, 25, 17, 40, 2, 2
2022/8/4, 38, 17, 32, 3, 1
2022/8/5, 38, 16, 46, 4, 1
2022/8/6, 36, 15, 38, 2, 1
2022/8/7, 33, 11, 34, 1, 1
2022/8/8, 26, 25, 19, 1, 14
2022/8/9, 50, 21, 18, , 4
2022/8/10, 43, 11, 15, 1, 1
2022/8/11, 23, 7, 16, 1, 
2022/8/12, 12, 12, 18, 1, 2
2022/8/13, 15, 20, 44, 2, 1
2022/8/14, 34, 34, 30, 1, 2
2022/8/15, 56, 34, 20, 2, 3
2022/8/16, 54, 30, 16, 2, 1
2022/8/17, 37, 22, 18, 3, 2
2022/8/18, 32, 12, 48, 3, 1
2022/8/19, 17, 14, 51, 5, 1
2022/8/20, 29, 17, 31, 3, 1
2022/8/21, 35, 13, 37, 3, 1
2022/8/22, 23, 24, 23, 3, 1
2022/8/23, 40, 25, 34, 2, 2
2022/8/24, 42, 23, 52, 4, 1
2022/8/25, 37, 26, 51, 3, 1
2022/8/26, 46, 16, 57, 3, 1
2022/8/27, 33, 22, 61, 5, 2
2022/8/28, 48, 17, 43, 2, 1
2022/8/29, 36, 14, 42, 3, 1
2022/8/30, 29, 14, 38, 5, 1
2022/8/31, 26, 13, 10, 1, 1
2022/9/1, 14, 13, 10, 2, 1
2022/9/2, 10, 9, 58, 3, 1
2022/9/3, 14, 12, 23, 2, 3
2022/9/4, 18, 11, 19, 2, 2
2022/9/5, 14, 9, 14, 1, 1
2022/9/6, 12, 12, 21, 1, 1
2022/9/7, 16, 8, 52, 2, 1
2022/9/8, 18, 9, 39, 3, 1
2022/9/9, 16, 8, 25, 7, 1
2022/9/10, 14, 13, 50, 2, 1
2022/9/11, 22, 17, 44, 2, 1
2022/9/12, 30, 15, 43, 3, 1
2022/9/13, 29, 17, 69, 4, 1
2022/9/14, 33, 21, 57, 4, 1
2022/9/15, 43, 19, 42, 3, 1
2022/9/16, 37, 16, 48, 2, 1
2022/9/17, 32, 13, 26, 4, 1
2022/9/18, 21, 16, 22, 1, 
2022/9/19, 26, 27, 28, , 
2022/9/20, 39, 10, 31, 1, 1
2022/9/21, 17, 10, 30, 2, 1
2022/9/22, 18, 12, 35, 6, 1
2022/9/23, 24, 8, 13, 5, 1
2022/9/24, 10, 13, 48, 3, 1
2022/9/25, 34, 11, 47, 2, 1
2022/9/26, 25, 13, 40, 3, 1
2022/9/27, 30, 17, 40, 5, 1
2022/9/28, 33, 11, 39, 4, 1
2022/9/29, 19, 10, 38, 5, 1
2022/9/30, 20, 13, 49, 4, 1
2022/10/1, 29, 15, 56, 3, 1
2022/7/1, , 21, 62, 4, 3
