date, pm25, pm10, o3, no2, so2, co
2021/6/1, 39, 12, 24, 3, 1, 2
2021/6/2, 31, 14, 46, 3, 1, 3
2021/6/3, 50, 7, 45, 3, , 3
2021/6/4, 30, 6, 47, 2, 1, 2
2021/6/5, 27, 8, 53, 2, 1, 2
2021/6/6, 33, 16, 67, 3, 1, 3
2021/6/7, 58, 17, 53, 3, 1, 2
2021/6/8, 58, 23, 47, 3, 1, 2
2021/6/9, 64, 22, 69, 4, 1, 2
2021/6/10, 69, 19, 46, 4, 1, 3
2021/6/11, 65, 13, 41, 2, 1, 2
2021/6/12, 48, 12, 32, 2, , 2
2021/6/13, 37, 11, 32, 3, , 4
2021/6/14, 36, 11, 36, 2, , 2
2021/6/15, 42, 15, 34, 3, , 2
2021/6/16, 46, 10, 35, 2, , 2
2021/6/17, 33, 10, 36, 3, 1, 2
2021/6/18, 39, , , , , 
2021/5/1, 55, 9, 44, 1, , 2
2021/5/2, 24, 10, 51, 1, 1, 2
2021/5/3, 36, 8, 52, 2, 1, 2
2021/5/4, 33, 6, 43, 2, , 2
2021/5/5, 29, 10, 48, 4, 1, 3
2021/5/6, 42, 9, 41, 8, 1, 3
2021/5/7, 32, 22, 48, 3, 1, 3
2021/5/8, 68, 33, 55, 1, 1, 2
2021/5/9, 86, 7, 45, 2, 1, 2
2021/5/10, 29, 7, 43, 2, 1, 2
2021/5/11, 32, 8, 42, 4, 1, 2
2021/5/12, 33, 10, 47, 4, 1, 2
2021/5/13, 39, 11, 49, 5, 1, 2
2021/5/14, 44, 11, 44, 3, 1, 2
2021/5/15, 43, 5, 33, 1, , 2
2021/5/16, 83, 5, 34, 3, , 2
2021/5/17, 21, 4, 36, 3, , 2
2021/5/18, 20, 7, 34, 7, , 3
2021/5/19, 28, 8, 32, 6, 1, 2
2021/5/20, 30, 10, 48, 2, , 2
2021/5/21, 31, 9, 47, 1, , 2
2021/5/22, 29, 5, 40, 1, , 2
2021/5/23, 16, 13, 51, 3, 1, 3
2021/5/24, 41, 13, 49, 2, , 2
2021/5/25, 46, 13, 40, 2, 1, 2
2021/5/26, 41, 8, 39, 6, , 3
2021/5/27, 35, 14, 54, 3, 1, 2
2021/5/28, 43, 12, 52, 2, 1, 2
2021/5/29, 42, 8, 46, 1, , 2
2021/5/30, 31, 7, 40, 2, 1, 2
2021/5/31, 32, 9, 41, 3, 1, 
2021/4/10, 24, 6, 43, 2, 1, 2
2021/4/11, 26, 10, 44, 7, 1, 3
2021/4/12, 34, 5, 39, 5, 1, 2
2021/4/13, 27, 6, 43, 3, , 3
2021/4/14, 21, 6, 38, 3, 1, 2
2021/4/15, 33, 6, 38, 5, 1, 3
2021/4/16, 23, 4, 30, 6, , 2
2021/4/17, 21, 17, 44, 1, , 2
2021/4/18, 44, 17, 41, 5, 1, 3
2021/4/19, 50, 17, 67, 4, 1, 3
2021/4/20, 44, 26, 48, 4, 1, 3
2021/4/21, 78, 12, 47, 5, 1, 
2021/4/22, 38, 14, 45, 3, 1, 2
2021/4/23, 51, 13, 47, 4, 1, 2
2021/4/24, 50, 10, 43, 1, 1, 2
2021/4/25, 41, 9, 36, 2, 1, 2
2021/4/26, 30, 6, 41, 5, 1, 3
2021/4/27, 26, 7, 36, 4, , 3
2021/4/28, 23, 3, 36, 3, , 2
2021/4/29, 24, 13, 55, 3, 1, 3
2021/4/30, 52, 15, 49, 5, 1, 3
2021/3/1, 28, 3, 36, 5, 1, 2
2021/3/2, 25, 6, 36, 1, 1, 2
2021/3/3, 26, 6, 33, 10, 1, 3
2021/3/4, 27, 7, 16, 14, 1, 3
2021/3/5, 32, 8, 34, 4, , 3
2021/3/6, 30, 5, 34, 2, , 2
2021/3/7, 25, 5, 32, 4, 1, 2
2021/3/8, 24, 6, 33, 6, 1, 3
2021/3/9, 29, 9, 36, 6, 1, 3
2021/3/10, 37, 9, 35, 9, 1, 3
2021/3/11, 35, 11, 33, 15, 2, 4
2021/3/12, 35, 9, 44, 3, 1, 2
2021/3/13, 29, 7, 40, 1, , 3
2021/3/14, 24, 10, 42, 5, 1, 3
2021/3/15, 40, 15, 40, 7, 1, 3
2021/3/16, 49, 18, 36, 4, 1, 3
2021/3/17, 46, 11, 39, 4, , 2
2021/3/18, 27, 9, 37, 4, 1, 3
2021/3/19, 28, 10, 35, 6, 1, 3
2021/3/20, 46, 5, 39, 4, , 3
2021/3/21, 30, 11, 38, 3, 1, 3
2021/3/22, 39, 9, 40, 4, 1, 3
2021/3/23, 34, 11, 51, 8, 1, 3
2021/3/24, 37, 10, 40, 7, , 3
2021/3/25, 30, 17, 51, 3, , 3
2021/3/26, 52, 17, 44, 6, 1, 4
2021/3/27, 53, 10, 41, 4, , 3
2021/3/28, 39, , , , , 
2021/2/1, 29, 11, 38, 5, 1, 3
2021/2/2, 42, 7, 35, 3, 1, 3
