date, pm25, pm10, o3, no2, so2, co
2022/7/2, 62, 9, 18, 1, 1, 
2022/7/3, 25, 6, 12, 1, 1, 
2022/7/4, 13, 8, 10, 7, 1, 
2022/7/5, 16, 10, 17, 6, 1, 
2022/7/6, 21, 13, 36, 5, , 
2022/7/7, 34, 18, 47, 2, , 
2022/7/8, 51, 17, 35, 7, , 
2022/7/9, 40, 15, 22, 3, , 
2022/7/10, 32, 10, 27, 1, , 
2022/7/11, 23, 9, 25, 3, , 
2022/7/12, 28, 13, 37, 5, , 
2022/7/13, 28, 11, 37, 2, , 
2022/7/14, 29, 12, 28, 8, , 
2022/7/15, 29, 20, 37, 3, , 
2022/7/16, 44, 14, 30, 7, , 
2022/7/17, 34, 17, 52, 4, 2, 
2022/7/18, 41, 19, 46, 3, 3, 
2022/7/19, 48, 13, 32, 3, 1, 
2022/7/20, 20, 16, 57, 4, 2, 
2022/7/21, 39, 21, 55, 6, 3, 
2022/7/22, 53, 16, 55, 3, 1, 
2022/7/23, 37, 7, 31, 1, 1, 
2022/7/24, 21, 7, 15, 1, , 
2022/7/25, 19, , , , , 
2022/6/2, 41, 17, 72, 19, 2, 
2022/6/3, 53, 12, 31, 11, 1, 
2022/6/4, 34, 10, 50, 2, 1, 
2022/6/5, 41, 13, 43, 3, 1, 
2022/6/6, 39, 5, 38, 3, , 
2022/6/7, 16, 4, 31, 1, , 
2022/6/8, 14, 6, 42, 5, , 
2022/6/9, 21, 8, 44, 7, , 
2022/6/10, 30, 12, 37, 12, , 
2022/6/11, 38, 15, 35, 3, , 
2022/6/12, 40, 11, 35, 1, , 
2022/6/13, 38, 10, 35, 9, , 
2022/6/14, 36, 6, 30, 2, , 
2022/6/15, 23, 6, 42, 6, 2, 
2022/6/16, 20, 14, 43, 7, 1, 
2022/6/17, 35, 17, 50, 10, 1, 
2022/6/18, 47, 15, 36, 11, 2, 
2022/6/19, 36, 11, 39, 2, 1, 
2022/6/20, 29, 19, 30, 3, 3, 
2022/6/21, 50, 6, 12, 4, 1, 
2022/6/22, 16, 11, 40, 14, 2, 
2022/6/23, 32, 24, 34, 15, 3, 
2022/6/24, 56, 24, 14, 3, 1, 
