date, pm25, pm10, o3, no2, so2, co
2023/11/2, 55, 23, 23, 20, , 4
2023/11/3, 61, 26, 51, 17, , 4
2023/11/4, 68, 36, 46, 14, , 4
2023/11/5, 83, 26, 20, 5, , 3
2023/11/6, 73, , , , , 
2023/10/2, 28, 10, 33, 7, 1, 3
2023/10/3, 23, 11, 40, 10, 1, 2
2023/10/4, 31, 7, 27, 12, 1, 2
2023/10/5, 17, 10, 25, 13, , 2
2023/10/6, 29, 7, 31, 10, 1, 2
2023/10/7, 19, 8, 31, 9, 1, 2
2023/10/8, 22, 9, 25, 5, 1, 3
2023/10/9, 25, 6, 21, 8, , 2
2023/10/10, 13, 6, 25, 14, , 2
2023/10/11, 16, 10, 30, 12, 1, 2
2023/10/12, 20, 10, 34, 9, 1, 3
2023/10/13, 33, 8, 33, 11, , 3
2023/10/14, 28, 13, 38, 13, , 3
2023/10/15, 40, 12, 29, 6, , 3
2023/10/16, 38, 8, 40, 11, , 3
2023/10/17, 25, 10, 34, 10, , 2
2023/10/18, 26, 11, 39, 13, 1, 2
2023/10/19, 33, 19, 44, 16, 1, 3
2023/10/20, 55, 19, 46, 17, 1, 3
2023/10/21, 59, 4, 29, 5, 1, 2
2023/10/22, 16, 6, 31, 6, 1, 3
2023/10/23, 32, 9, 34, 12, 1, 3
2023/10/24, 33, 12, 35, 11, 1, 3
2023/10/25, 34, 12, 34, 11, 1, 2
2023/10/26, 43, 11, 41, 14, 1, 2
2023/10/27, 38, 14, 43, 14, , 2
2023/10/28, 45, 12, 36, 10, , 2
2023/10/29, 39, 9, 25, 8, , 3
2023/10/30, 28, 8, 30, 11, , 2
2023/10/31, 21, 14, 35, 18, , 3
2023/11/1, 42, 19, 39, 19, , 3
2023/7/2, 50, 9, 48, 2, 1, 2
2023/7/3, 34, 18, 43, 6, 1, 2
2023/7/4, 48, 11, 36, 6, , 2
2023/7/5, 40, 12, 35, 8, 1, 2
2023/7/6, 41, 10, 33, 9, 1, 1
2023/7/7, 25, 15, 71, 10, 1, 2
2023/7/8, 48, 21, 41, 10, 1, 3
2023/7/9, 59, 22, 37, 6, , 2
2023/7/10, 56, 16, 40, 10, 1, 2
2023/7/11, 46, 13, 64, 10, 1, 2
2023/7/12, 40, 15, 49, 13, 1, 2
2023/7/13, 38, 9, 42, 12, , 2
2023/7/14, 26, 14, 41, 12, 1, 3
2023/7/15, 40, 19, 40, 11, , 3
2023/7/16, 57, 15, 42, 5, 1, 2
2023/7/17, 49, 17, 32, 4, 1, 1
2023/7/18, 45, 15, 35, 7, 2, 2
2023/7/19, 49, , 25, 7, 1, 2
2023/7/20, 56, 8, 27, 5, 1, 2
2023/7/21, 28, 8, 27, 6, , 2
2023/7/22, 29, 6, 30, 3, , 2
2023/7/23, 29, 8, 38, 2, , 2
2023/7/24, 37, 9, 63, 7, , 2
2023/7/25, 38, 11, 57, 10, , 2
2023/7/26, 44, 14, 58, 9, 1, 2
2023/7/27, 55, 16, 64, 11, 1, 2
2023/7/28, 59, 13, 59, 12, 1, 2
2023/7/29, 54, 9, 57, 7, 1, 2
2023/7/30, 36, 10, 60, 4, 1, 2
2023/7/31, 34, 12, 35, 5, 1, 1
2023/8/1, 34, 10, 28, 12, 1, 3
2023/8/2, 27, 11, 54, 9, , 2
2023/8/3, 34, 11, 41, 6, , 1
2023/8/4, 28, 16, 39, 10, , 2
2023/8/5, 42, 18, 49, 7, , 2
2023/8/6, 45, 11, 18, 1, , 1
2023/8/7, 30, 8, 24, 4, , 1
2023/8/8, 25, 7, 14, 4, , 1
2023/8/9, 16, 7, 8, 3, , 1
2023/8/10, 17, 13, 17, 2, , 
2023/8/11, 31, 10, 14, 3, , 1
2023/8/12, 26, 8, 22, 3, , 1
2023/8/13, 28, 11, 11, 1, , 1
2023/8/14, 26, 11, 6, 1, , 
2023/8/15, 26, 20, 16, 1, , 1
2023/8/16, 45, 22, 22, 2, , 2
2023/8/17, 52, 17, 33, 4, , 2
2023/8/18, 44, 16, 42, 5, , 2
2023/8/19, 43, 20, 39, 5, , 2
2023/8/20, 49, 15, 37, 4, , 2
2023/8/21, 41, 8, 18, 5, 1, 2
2023/8/22, 25, 7, 13, 2, 2, 1
2023/8/23, 21, 7, 12, 2, 2, 1
2023/8/24, 19, 9, 25, 6, 1, 1
2023/8/25, 24, 8, 28, 5, 1, 1
2023/8/26, 22, 6, 21, 2, 1, 1
2023/8/27, 18, 7, 17, 2, , 1
2023/8/28, 17, 14, 43, 9, , 1
2023/8/29, 30, 17, 54, 7, , 2
2023/8/30, 38, 14, 47, 7, , 1
2023/8/31, 31, 17, 28, 6, 1, 1
2023/9/1, 32, 12, 34, 6, 2, 1
2023/9/2, 27, 14, 37, 4, 1, 2
2023/9/3, 31, 11, 24, 2, , 1
2023/9/4, 21, 8, 6, 4, , 1
2023/9/5, 17, 18, 37, 7, 1, 2
2023/9/6, 35, 14, 25, 9, 1, 2
2023/9/7, 29, 12, 30, 7, , 2
2023/9/8, 26, 14, 18, 10, , 2
2023/9/9, 31, 12, 32, 8, , 2
2023/9/10, 26, 17, 38, 4, , 2
2023/9/11, 41, 19, 21, 4, , 2
2023/9/12, 37, 18, 28, 3, , 2
2023/9/13, 30, 17, 38, 7, , 2
2023/9/14, 42, 16, 38, 10, , 2
2023/9/15, 36, 16, 24, 8, , 2
2023/9/16, 40, 20, 38, 9, 1, 2
2023/9/17, 44, 22, 41, 4, 1, 2
2023/9/18, 44, 13, 31, 5, 1, 2
2023/9/19, 29, 13, 37, 8, 1, 2
2023/9/20, 31, 15, 27, 7, 2, 2
2023/9/21, 32, 17, 22, 14, 1, 3
2023/9/22, 44, 14, 28, 6, 1, 2
2023/9/23, 32, 6, 27, 4, 1, 2
2023/9/24, 21, 8, 33, 3, , 2
2023/9/25, 25, 10, 34, 8, 1, 2
2023/9/26, 27, 14, 41, 13, 1, 2
2023/9/27, 35, 18, 44, 8, 2, 3
