date, pm25, pm10, o3, no2, so2
2021/6/1, 55, 13, 51, 5, 8
2021/6/2, 35, 9, 29, 4, 7
2021/6/3, 23, 7, 35, 4, 5
2021/6/4, 16, 6, 44, 2, 7
2021/6/5, 28, 12, 59, 3, 9
2021/6/6, 34, 18, 72, 4, 9
2021/6/7, 56, 19, 70, 3, 9
2021/6/8, 48, 15, 77, 5, 10
2021/6/9, 54, 20, 83, 5, 10
2021/6/10, 55, 16, 43, 4, 8
2021/6/11, 40, 11, 42, 3, 8
2021/6/12, 40, 13, 27, 2, 6
2021/6/13, 31, 13, 49, 6, 9
2021/6/14, 43, 16, 63, 5, 9
2021/6/15, 35, 9, 35, 4, 6
2021/6/16, 38, 8, 45, 2, 6
2021/6/17, 17, 9, 48, 5, 7
2021/6/18, 32, , , , 
2021/5/1, 38, 8, 40, 1, 4
2021/5/2, 18, 4, 43, 1, 5
2021/5/3, 30, 12, 60, 2, 6
2021/5/4, 27, 13, 42, 1, 5
2021/5/5, 38, 10, 48, 3, 7
2021/5/6, 23, 12, 34, 6, 5
2021/5/7, 27, 23, 50, 4, 7
2021/5/8, 50, 22, 51, 2, 6
2021/5/9, 58, 12, 49, 1, 7
2021/5/10, 26, 9, 44, 3, 6
2021/5/11, 37, 15, 44, 5, 7
2021/5/12, 36, 9, 54, 4, 7
2021/5/13, 28, 10, 40, 4, 6
2021/5/14, 23, 9, 44, 3, 5
2021/5/15, 26, 9, 35, 1, 4
2021/5/16, 33, 10, 16, 10, 4
2021/5/17, 33, 6, 37, 4, 5
2021/5/18, 27, 19, 29, 8, 5
2021/5/19, 43, 8, 15, 4, 
2021/5/20, 19, 10, 36, 9, 4
2021/5/21, 25, 7, 42, 2, 5
2021/5/22, 28, 8, 42, 1, 6
2021/5/23, 23, 15, 44, 4, 6
2021/5/24, 45, 12, 54, 3, 7
2021/5/25, 40, 14, 40, 3, 6
2021/5/26, 36, 9, 35, 5, 5
2021/5/27, 31, 11, 53, 5, 7
2021/5/28, 25, 13, 51, 3, 7
2021/5/29, 34, 8, 47, 1, 6
2021/5/30, 26, 12, 63, 4, 7
2021/5/31, 35, 14, 70, 5, 8
2021/4/10, 22, 9, 46, 4, 6
2021/4/11, 34, 10, 43, 3, 6
2021/4/12, 29, 8, 34, 4, 6
2021/4/13, 23, 9, 43, 2, 4
2021/4/14, 27, 8, 40, 3, 6
2021/4/15, 22, 8, 29, 6, 5
2021/4/16, 27, 8, 28, 2, 4
2021/4/17, 18, 9, 40, 1, 
2021/4/18, 32, 12, 42, 3, 5
2021/4/19, 41, 16, 70, 4, 6
2021/4/20, 41, 11, 46, 3, 6
2021/4/21, 38, 9, 41, 3, 5
2021/4/22, 26, 17, 48, 7, 8
2021/4/23, 45, 17, 55, 6, 8
2021/4/24, 52, 17, 43, 3, 6
2021/4/25, 42, 9, 40, 2, 6
2021/4/26, 24, 9, 45, 5, 7
2021/4/27, 27, 13, 30, 5, 6
2021/4/28, 29, 6, 30, 3, 
2021/4/29, 29, 14, 49, 3, 5
2021/4/30, 31, 16, 42, 3, 5
2021/3/1, 26, 6, 26, 2, 4
2021/3/2, 27, 6, 35, 4, 3
2021/3/3, 25, 10, 28, 9, 4
2021/3/4, 22, 6, 24, 5, 3
2021/3/5, 21, 4, 35, 1, 4
2021/3/6, 27, 8, 33, 2, 4
2021/3/7, 28, 10, 28, 6, 3
2021/3/8, 25, 6, 28, 7, 3
2021/3/9, 30, 9, 40, 5, 4
2021/3/10, 27, 10, 41, 6, 5
2021/3/11, 28, 12, 32, 7, 4
2021/3/12, 28, 5, 41, 1, 3
2021/3/13, 15, 5, 40, 1, 3
2021/3/14, 22, , , , 
2021/2/1, 31, 5, 33, 5, 3
2021/2/2, 23, 5, 32, 4, 2
2021/2/3, 22, 7, 32, 10, 2
2021/2/4, 31, 5, 30, 8, 3
2021/2/5, 22, 5, 38, 4, 3
2021/2/6, 27, 16, 42, 4, 3
2021/2/7, 45, 9, 30, 2, 3
2021/2/8, 37, 3, 29, 3, 3
2021/2/9, 28, 3, 33, 6, 3
2021/2/10, 22, 8, 39, 2, 3
2021/2/11, 30, 7, 26, 9, 5
2021/2/12, 30, 11, 35, 9, 6
2021/2/13, 38, 10, 36, 3, 4
2021/2/14, 30, 7, 40, 2, 4
2021/2/15, 24, 8, 34, 2, 3
2021/2/16, 29, 7, 33, 5, 2
2021/2/17, 23, 2, 26, 6, 2
2021/2/18, 10, 5, 26, 8, 3
2021/2/19, 23, 12, 33, 9, 4
2021/2/20, 34, 20, 47, 5, 6
2021/2/21, 53, 19, 41, 9, 5
2021/2/22, 47, 11, 37, 3, 4
2021/2/23, 38, 9, 35, 2, 3
2021/2/24, 19, 4, 33, 7, 3
2021/2/25, 18, 6, 32, 4, 4
2021/2/26, 21, 4, 36, 3, 3
2021/2/27, 24, 8, 37, 4, 5
2021/2/28, 27, 8, 33, 6, 6
2021/1/4, 19, 4, 28, 4, 2
2021/1/5, 16, 7, 29, 7, 3
2021/1/6, 26, 4, 28, 5, 2
2021/1/7, 20, 3, 26, 3, 3
2021/1/8, 19, 3, 29, 4, 2
2021/1/9, 22, 5, 26, 5, 2
2021/1/10, 30, 4, 21, 8, 3
2021/1/11, 24, 6, 11, 9, 3
2021/1/12, 23, 8, 25, 8, 2
2021/1/13, 28, 17, 32, 8, 3
2021/1/14, 45, 20, 26, 10, 4
2021/1/15, 51, 15, 22, 9, 3
2021/1/16, 34, 2, 29, 4, 2
2021/1/17, 13, 3, 26, 8, 3
2021/1/18, 20, 6, 29, 3, 2
2021/1/19, 22, 4, 28, 7, 4
2021/1/20, 18, 6, 26, 14, 4
2021/1/21, 32, 10, 22, 9, 4
2021/1/22, 27, 3, 21, 5, 2
2021/1/23, 17, 5, 21, 5, 2
2021/1/24, 15, 4, 28, 8, 3
2021/1/25, 22, 10, 20, 11, 3
2021/1/26, 30, 7, 34, 3, 3
2021/1/27, 24, 9, 20, 10, 3
2021/1/28, 28, 5, 29, 4, 2
2021/1/29, 28, 2, 31, 2, 
2021/1/30, 15, 6, 32, 2, 
2021/1/31, 18, 7, 18, 9, 3
2020/10/1, 29, 14, 52, 4, 5
2020/10/2, 38, 20, 36, 4, 5
2020/10/3, 53, 20, 26, 2, 5
2020/10/4, 46, 14, 33, 3, 4
2020/10/5, 39, 8, 25, 2, 4
2020/10/6, 21, 14, 32, 4, 4
2020/10/7, 38, 3, 20, 5, 
2020/10/8, 23, 6, 10, 4, 2
2020/10/9, 24, 5, 10, 4, 3
2020/10/10, 20, 5, 24, 2, 4
2020/10/11, 22, 10, 31, 3, 4
2020/10/12, 22, 9, 30, 2, 4
2020/10/13, 29, 9, 34, 3, 4
2020/10/14, 29, 7, 31, 2, 4
2020/10/15, 17, 6, 31, 4, 5
2020/10/16, 27, 6, 21, 4, 4
2020/10/17, 22, 4, 21, 2, 4
2020/10/18, 20, 7, 9, 9, 4
2020/10/19, 23, 8, 30, 5, 4
2020/10/20, 28, 12, 39, 8, 6
2020/10/21, 39, 14, 22, 3, 4
2020/10/22, 35, 12, 34, 3, 2
2020/10/23, 28, 9, 31, 3, 4
2020/10/24, 20, 7, 33, 1, 
2020/10/25, 15, 6, 33, 3, 4
2020/10/26, 26, 9, 32, 5, 5
2020/10/27, 29, 13, 21, 5, 4
2020/10/28, 33, 7, 36, 4, 4
2020/10/29, 30, 6, 32, 2, 4
2020/10/30, 16, 6, 29, 4, 5
2020/10/31, 34, 14, 29, 4, 5
2020/11/1, 39, 7, 14, 7, 4
2020/11/2, 26, 6, 31, 2, 4
2020/11/3, 22, 9, 25, 3, 
2020/11/4, 18, 8, 27, 5, 3
2020/11/5, 24, 10, 17, 8, 5
2020/11/6, 34, 12, 10, 7, 4
2020/11/7, 36, 15, 42, 2, 4
2020/11/8, 36, 6, 24, 4, 4
2020/11/9, 19, 5, 24, 3, 3
2020/11/10, 20, 5, 28, 3, 3
2020/11/11, 20, 10, 24, 7, 5
2020/11/12, 31, 12, 30, 6, 4
2020/11/13, 23, 13, 31, 4, 4
2020/11/14, 35, 13, 34, 5, 6
2020/11/15, 33, 11, 33, 5, 4
2020/11/16, 35, 14, 34, 8, 5
2020/11/17, 41, 21, 39, 8, 5
2020/11/18, 54, 17, 29, 8, 5
2020/11/19, 45, 10, 34, 6, 4
2020/11/20, 26, 8, 32, 1, 4
2020/11/21, 15, 16, 21, 3, 4
2020/11/22, 43, 7, 30, 2, 4
2020/11/23, 34, 4, 27, 7, 4
2020/11/24, 22, 9, 18, 11, 4
2020/11/25, 24, 5, 23, 8, 4
2020/11/26, 20, 4, 26, 7, 5
2020/11/27, 25, 7, 26, 4, 4
2020/11/28, 26, 5, 24, 3, 4
2020/11/29, 25, 7, 29, 5, 
2020/11/30, 20, 4, 27, 7, 3
2020/12/1, 16, 4, 26, 7, 3
2020/12/2, 22, 7, 30, 5, 3
2020/12/3, 18, 2, 28, 3, 3
2020/12/4, 21, 5, 31, 3, 
2020/12/5, 28, 6, 29, 3, 3
2020/12/6, 32, 8, 26, 9, 3
2020/12/7, 31, 7, 31, 8, 4
2020/12/8, 31, 6, 26, 9, 4
2020/12/9, 26, 5, 26, 9, 4
2020/12/10, 20, 4, 27, 10, 4
