date, pm25, pm10, o3, no2, so2, co
2023/3/2, 32, 8, 34, 4, 1, 1
2023/3/3, 20, 11, 34, 7, 1, 1
2023/3/4, 29, 14, 41, 7, 1, 1
2023/3/5, 35, 11, 38, 2, 1, 1
2023/3/6, 26, 10, 40, 6, 1, 1
2023/3/7, 30, 15, 46, 8, 1, 2
2023/3/8, 44, 23, 55, 10, 1, 2
2023/3/9, 59, 24, 39, 7, 4, 1
2023/3/10, 62, 23, 45, 7, 2, 1
2023/3/11, 54, 26, 42, 7, 1, 2
2023/3/12, 51, 24, 54, 4, 1, 1
2023/3/13, 50, 10, 39, 2, 1, 1
2023/3/14, 26, 13, 41, 6, 1, 1
2023/3/15, 34, 17, 41, 9, 1, 1
2023/3/16, 40, 11, 38, 5, 1, 1
2023/3/17, 24, 11, 28, 4, 1, 1
2023/3/18, 29, 6, 37, 2, 1, 1
2023/3/19, 13, 10, 42, 3, 1, 1
2023/3/20, 24, 13, 46, 5, 1, 1
2023/3/21, 33, 17, 29, 6, 1, 2
2023/3/22, 41, 16, 56, 8, 1, 2
2023/3/23, 41, 8, 31, 6, , 1
2023/3/24, 20, 10, 36, 7, , 1
2023/3/25, 23, 40, 36, 2, , 1
2023/3/26, 58, 53, 32, , , 
2023/3/27, 65, , , , , 
2023/2/2, 47, 10, 31, 6, , 1
2023/2/3, 35, 10, 24, 9, , 3
2023/2/4, 35, 11, 31, 9, , 2
2023/2/5, 40, 10, 34, 6, , 2
2023/2/6, 35, 16, 28, 13, , 3
2023/2/7, 52, 18, 21, 20, , 3
2023/2/8, 57, 15, 34, 12, , 2
2023/2/9, 45, 9, 33, 7, , 1
2023/2/10, 29, 7, 19, 12, , 1
2023/2/11, 24, 6, 36, 5, , 1
2023/2/12, 26, 9, 39, 5, , 1
2023/2/13, 31, 9, 35, 8, , 1
2023/2/14, 31, 6, 33, 4, , 
2023/2/15, 20, 3, 29, 3, , 
2023/2/16, 9, 4, 30, 6, , 1
2023/2/17, 15, 7, 36, 6, , 2
2023/2/18, 20, 18, 18, 12, , 2
2023/2/19, 46, 17, 33, 7, , 2
2023/2/20, 42, 16, 36, 6, , 2
2023/2/21, 42, 3, 32, 4, , 1
2023/2/22, 10, 7, 34, 6, , 1
2023/2/23, 23, 10, 33, 6, , 1
2023/2/24, 33, 10, 19, 12, , 2
2023/2/25, 35, 10, 36, 4, , 1
2023/2/26, 30, 7, 34, 3, , 1
2023/2/27, 25, 11, 36, 9, 1, 1
2023/2/28, 30, 9, 36, 8, 1, 1
2023/3/1, 28, 11, 40, 9, 2, 1
2023/1/3, 54, 5, 30, 5, , 1
2023/1/4, 17, 5, 31, 4, , 1
2023/1/5, 16, 6, 29, 7, , 1
2023/1/6, 22, 13, 31, 9, , 2
2023/1/7, 41, 30, 31, 9, , 3
2023/1/8, 81, 31, 38, 6, , 3
2023/1/9, 79, 25, 36, 7, , 3
2023/1/10, 62, 10, 29, 5, , 
2023/1/11, 26, 10, 25, 9, , 2
2023/1/12, 28, 15, 27, 11, , 3
2023/1/13, 44, 13, 26, 9, , 2
2023/1/14, 35, 12, 13, 12, , 2
2023/1/15, 28, 5, 27, 3, , 2
2023/1/16, 16, 6, 26, 4, , 1
2023/1/17, 16, 5, 30, 5, , 2
2023/1/18, 18, 8, 23, 8, , 2
2023/1/19, 22, 8, 31, 6, , 2
2023/1/20, 24, 18, 36, 8, , 2
2023/1/21, 45, 9, 28, 5, , 1
2023/1/22, 23, 6, 30, 4, , 1
2023/1/23, 20, 11, 22, 11, , 2
2023/1/24, 30, 10, 31, 5, , 1
2023/1/25, 25, 3, 27, 6, , 1
2023/1/26, 11, 5, 28, 8, , 1
2023/1/27, 17, 5, 29, 7, , 2
2023/1/28, 18, 4, 29, 4, , 2
2023/1/29, 15, 8, 31, 5, , 1
2023/1/30, 26, 7, 30, 5, , 1
2023/1/31, 21, 6, 31, 7, , 2
2023/2/1, 22, 17, 17, 24, , 4
2022/10/2, 51, 16, 53, 1, 1, 1
2022/10/3, 49, 16, 40, 5, 1, 1
2022/10/4, 44, 11, 32, 1, 1, 1
2022/10/5, 25, 7, 25, 2, 1, 1
2022/10/6, 14, 7, 27, 3, 1, 2
2022/10/7, 15, 6, 11, 8, 1, 2
2022/10/8, 16, 7, 31, 3, 1, 1
2022/10/9, 13, 6, 22, 2, 1, 1
2022/10/10, 14, 6, 30, 3, 1, 1
2022/10/11, 13, 7, 35, 4, 1, 1
2022/10/12, 15, 8, 25, 5, 1, 1
2022/10/13, 22, 10, 29, 4, 1, 1
2022/10/14, 25, 11, 38, 4, 1, 1
2022/10/15, 29, 13, 52, 5, 1, 1
2022/10/16, 41, 15, 45, 2, , 1
2022/10/17, 45, 14, 26, 3, 1, 1
2022/10/18, 38, 10, 29, 3, 1, 1
2022/10/19, 27, 6, 32, 3, 1, 1
2022/10/20, 14, 7, 40, 3, 1, 1
2022/10/21, 21, 10, 42, 5, 1, 1
2022/10/22, 29, 11, 35, 3, 1, 1
2022/10/23, 30, 14, 43, 2, 1, 1
2022/10/24, 40, 7, 33, 3, 1, 1
2022/10/25, 20, 5, 29, 3, 1, 1
2022/10/26, 12, 5, 31, 4, 1, 2
2022/10/27, 16, 10, 25, 7, 1, 3
2022/10/28, 30, 10, 41, 5, 1, 4
2022/10/29, 33, 8, 32, 3, 1, 4
2022/10/30, 22, 8, 32, 2, 1, 
2022/10/31, 26, 10, 29, 4, 1, 1
2022/11/1, 33, 7, 23, 5, 1, 1
2022/11/2, 18, 8, 32, 5, 1, 1
2022/11/3, 23, 14, 36, 4, 1, 1
2022/11/4, 42, 16, 44, 4, 1, 2
2022/11/5, 45, 9, 32, 4, 1, 1
2022/11/6, 27, 7, 31, 2, 1, 1
2022/11/7, 20, 9, 25, 6, 1, 1
2022/11/8, 30, 11, 39, 5, 1, 1
2022/11/9, 36, 15, 43, 5, 1, 2
2022/11/10, 42, 18, 40, 8, 1, 2
2022/11/11, 52, 21, 43, 7, 1, 2
2022/11/12, 59, 22, 42, 6, 1, 2
2022/11/13, 65, 15, 25, 5, 1, 2
2022/11/14, 42, 6, 25, 4, 1, 1
2022/11/15, 16, 8, 32, 5, 1, 3
2022/11/16, 28, 11, 38, 6, 1, 3
2022/11/17, 35, 14, 31, 8, 1, 4
2022/11/18, 45, 13, 34, 7, , 3
2022/11/19, 41, 14, 35, 5, 1, 4
2022/11/20, 41, 8, 28, 3, 1, 1
2022/11/21, 27, 5, 22, 5, 1, 2
2022/11/22, 15, 13, 28, 6, 1, 1
2022/11/23, 38, 12, 16, 7, 1, 1
2022/11/24, 38, 6, 28, 5, 1, 1
2022/11/25, 15, 9, 28, 5, 1, 2
2022/11/26, 23, 15, 16, 9, 1, 3
2022/11/27, 41, 15, 34, 4, 1, 1
2022/11/28, 40, 15, 25, 8, 1, 2
2022/11/29, 41, 15, 20, 13, 1, 2
2022/11/30, 38, 5, 25, 5, 1, 1
2022/12/1, 14, 3, 25, 5, 1, 
2022/12/2, 13, 4, 24, 6, 1, 
2022/12/3, 18, 7, 24, 6, 1, 
2022/12/4, 26, 15, 22, 8, 2, 
2022/12/5, 43, 8, 23, 7, 1, 
2022/12/6, 20, 5, 28, 5, , 
2022/12/7, 17, 11, 30, 7, , 
2022/12/8, 34, 16, 32, 7, , 
2022/12/9, 46, 11, 34, 8, , 2
2022/12/10, 37, 12, 32, 7, , 2
2022/12/11, 40, 10, 33, 5, , 2
2022/12/12, 34, 6, 29, 5, , 2
2022/12/13, 22, 9, 29, 7, , 2
2022/12/14, 27, 20, 30, 3, , 1
2022/12/15, 36, 6, 25, 8, , 2
2022/12/16, 22, 12, 27, 9, , 3
2022/12/17, 36, 11, 21, 9, , 4
2022/12/18, 35, 4, 27, 3, , 1
2022/12/19, 15, 4, 29, 4, 1, 1
2022/12/20, 13, 9, 27, 9, 1, 2
2022/12/21, 29, 8, 28, 7, 1, 2
