date, pm25, pm10, o3, no2, so2, co
2023/8/2, 18, 13, 11, 3, 1, 1
2023/8/3, 16, 16, 9, 2, 2, 
2023/8/4, 18, 18, 20, 2, 1, 
2023/8/5, 17, 18, 15, 1, 1, 
2023/8/6, 15, 43, 4, 3, 2, 
2023/8/7, 25, , , , , 
2023/7/2, 19, 15, 50, 4, 2, 2
2023/7/3, 25, 29, 44, 4, 1, 3
2023/7/4, 42, 27, 46, 6, 1, 3
2023/7/5, 44, 17, 36, 3, 1, 1
2023/7/6, 30, 16, 38, 4, 1, 2
2023/7/7, 29, 31, 44, 6, 1, 3
2023/7/8, 46, 40, 30, 2, 1, 1
2023/7/9, 41, 40, 12, 1, 1, 1
2023/7/10, 34, 42, 25, 1, 1, 2
2023/7/11, 50, 32, 41, 5, 1, 2
2023/7/12, 47, 39, 27, 6, 1, 2
2023/7/13, 56, 20, 28, 3, 1, 3
2023/7/14, 35, 26, 34, 10, 2, 4
2023/7/15, 34, 18, 12, 1, , 1
2023/7/16, 16, 23, 19, 2, 1, 1
2023/7/17, 24, 29, 40, 8, 2, 3
2023/7/18, 44, 35, 72, 11, 2, 3
2023/7/19, 58, 33, 25, 5, 1, 2
2023/7/20, 46, 23, 21, 6, 1, 3
2023/7/21, 32, 23, 30, 6, 1, 2
2023/7/22, 33, 16, 32, 5, 2, 3
2023/7/23, 26, 18, 34, 4, 2, 3
2023/7/24, 26, 11, 25, 2, 1, 2
2023/7/25, 16, 18, 42, 5, 1, 3
2023/7/26, 28, 21, 46, 7, 2, 3
2023/7/27, 36, 20, 28, 5, 1, 2
2023/7/28, 30, 12, 24, 3, 1, 1
2023/7/29, 16, 10, 23, 2, 1, 1
2023/7/30, 16, 12, 17, 1, 1, 1
2023/7/31, 18, 14, 11, 1, , 1
2023/8/1, 15, 21, 19, 6, 1, 2
2023/4/2, 51, 16, 37, 6, 2, 4
2023/4/3, 39, 12, 35, 6, 2, 3
2023/4/4, 27, 13, 46, 11, 3, 4
2023/4/5, 28, 14, 48, 9, 4, 4
2023/4/6, 32, 13, 40, 1, 2, 2
2023/4/7, 25, 22, 34, 1, 2, 2
2023/4/8, 36, 15, 42, 4, 2, 4
2023/4/9, 25, 13, 43, 5, 4, 3
2023/4/10, 35, 16, 48, 8, 2, 4
2023/4/11, 37, 16, 43, 1, 2, 2
2023/4/12, 35, 16, 37, 2, , 4
2023/4/13, 32, 35, 41, 6, 2, 2
2023/4/14, 53, 35, 40, 2, , 2
2023/4/15, 52, 14, 33, 7, 2, 3
2023/4/16, 27, 12, 39, 3, , 3
2023/4/17, 25, 16, 38, 5, 3, 4
2023/4/18, 35, 23, 48, 9, 3, 4
2023/4/19, 46, 31, 42, 10, 2, 4
2023/4/20, 56, 38, 47, 7, 3, 4
2023/4/21, 69, 22, 37, 3, , 2
2023/4/22, 43, 35, 33, 8, 2, 3
2023/4/23, 55, 17, 42, 5, 3, 2
2023/4/24, 36, 14, 40, 8, 3, 3
2023/4/25, 33, 15, 38, 9, 3, 3
2023/4/26, 37, 16, 31, 5, 1, 3
2023/4/27, 17, 9, 50, 4, 3, 3
2023/4/28, 18, 13, 51, 2, 1, 3
2023/4/29, 21, 13, 42, 1, 1, 2
2023/4/30, 20, 15, 37, 1, 1, 3
2023/5/1, 18, 23, 41, 8, 1, 4
2023/5/2, 41, 12, 45, 4, 1, 
2023/5/3, 28, 14, 48, 7, 1, 3
2023/5/4, 33, 16, 44, 1, 1, 3
2023/5/5, 35, 13, 40, 1, , 2
2023/5/6, 23, 17, 36, 1, , 
2023/5/7, 29, 21, 30, 7, , 3
2023/5/8, 29, 7, 27, 9, 1, 3
2023/5/9, 15, 11, 38, 7, 1, 3
2023/5/10, 23, 17, 58, 11, 2, 3
2023/5/11, 39, 17, 38, 10, 2, 3
2023/5/12, 36, 14, 37, 10, 2, 3
2023/5/13, 34, 13, 34, 5, 2, 2
2023/5/14, 26, 14, 31, 3, 1, 2
2023/5/15, 21, 12, 32, 8, 1, 3
2023/5/16, 26, 12, 50, 7, 1, 3
2023/5/17, 27, 25, 59, 9, 2, 3
2023/5/18, 52, 34, 59, 12, 2, 4
2023/5/19, 68, 14, 37, 2, 1, 2
2023/5/20, 28, 10, 30, 8, , 3
2023/5/21, 17, 18, 38, 6, 2, 3
2023/5/22, 31, 23, 57, 7, 1, 4
2023/5/23, 44, 32, 30, 7, 1, 2
2023/5/24, 50, 14, 39, 6, 1, 3
2023/5/25, 26, 12, 31, 10, 2, 2
2023/5/26, 20, 12, 33, 4, 2, 1
2023/5/27, 20, 13, 32, 5, 1, 2
2023/5/28, 23, 18, 33, 1, 1, 1
2023/5/29, 26, 22, 24, 16, 1, 3
2023/5/30, 38, 12, 36, 5, 1, 3
2023/5/31, 21, 16, 21, 11, 2, 3
2023/6/1, 21, 13, 32, 8, 2, 3
2023/6/2, 25, 21, 20, 4, , 2
2023/6/3, 17, 14, 39, 8, 1, 3
2023/6/4, 25, 17, 37, 4, 2, 2
2023/6/5, 31, 21, 48, 8, 2, 3
2023/6/6, 47, 19, 42, 7, 1, 3
2023/6/7, 44, 16, 63, 6, 1, 3
2023/6/8, 36, 16, 40, 9, 1, 3
2023/6/9, 32, 12, 28, 5, 1, 5
2023/6/10, 20, 19, 42, 9, 1, 4
2023/6/11, 30, 15, 32, 8, 1, 5
2023/6/12, 23, 22, 16, 13, 1, 5
2023/6/13, 34, 17, 37, 9, 1, 3
2023/6/14, 27, 16, 24, 5, 1, 3
2023/6/15, 24, 15, 23, 8, 1, 3
2023/6/16, 26, 14, 43, 5, 1, 3
2023/6/17, 26, 16, 54, 5, 1, 3
2023/6/18, 33, 28, 50, 3, 1, 3
2023/6/19, 56, 26, 40, 7, 2, 3
2023/6/20, 44, 16, 27, 5, 2, 3
2023/6/21, 22, 14, 34, 5, 3, 4
2023/6/22, 27, 12, 26, 9, 3, 
2023/6/23, 21, 16, 32, 9, 1, 5
2023/6/24, 28, 28, 66, 10, 2, 5
2023/6/25, 52, 36, 65, 9, 2, 5
2023/6/26, 59, 25, 40, 6, 2, 5
2023/6/27, 47, 29, 33, 4, 1, 3
2023/6/28, 47, 36, 24, 4, 1, 2
2023/6/29, 53, 25, 37, 5, 1, 3
2023/6/30, 39, 34, 18, 4, 1, 4
2023/7/1, 38, 23, 31, 1, 1, 2
2023/1/3, 11, 6, 21, 8, 3, 5
2023/1/4, 18, 5, 23, 10, 2, 5
2023/1/5, 12, 5, 22, 8, 2, 4
2023/1/6, 15, 9, 21, 20, 3, 4
