date, pm25, pm10, o3, no2, so2, co
2022/8/2, 61, 19, 44, 4, 1, 1
2022/8/3, 73, 31, 93, 8, 5, 2
2022/8/4, 87, 13, 28, 4, 2, 1
2022/8/5, 41, 8, 24, 2, 1, 1
2022/8/6, 40, 9, 28, 2, 1, 1
2022/8/7, 41, 12, 25, 1, 1, 1
2022/8/8, 42, 18, 19, 1, 1, 1
2022/8/9, 48, 13, 11, 1, 1, 
2022/8/10, 51, 8, 10, 1, 1, 
2022/8/11, 40, 10, 13, 1, 1, 
2022/8/12, 41, 16, 11, 1, 1, 
2022/8/13, 40, 12, 17, 2, 1, 1
2022/8/14, 31, 20, 34, 1, 1, 1
2022/8/15, 56, 34, 104, 7, 4, 3
2022/8/16, 82, 26, 15, 1, 1, 
2022/8/17, 47, 17, 40, 3, 2, 1
2022/8/18, 50, 14, 28, 2, 1, 1
2022/8/19, 31, 10, 48, 4, 2, 1
2022/8/20, 32, 21, 54, 4, 3, 2
2022/8/21, 52, 27, 44, 3, 1, 2
2022/8/22, 65, 20, 32, 2, 1, 1
2022/8/23, 51, 14, 19, 1, 1, 1
2022/8/24, 56, 18, 35, 5, 2, 2
2022/8/25, 48, 22, 31, 3, 1, 1
2022/8/26, 45, 26, 28, 4, 1, 1
2022/8/27, 60, 19, 35, 1, 1, 
2022/8/28, 58, 20, 26, 2, 1, 
2022/8/29, 32, , , , , 
2022/7/2, 84, 14, 37, 3, 1, 2
2022/7/3, 51, 14, 21, 3, 1, 1
2022/7/4, 50, 10, 15, 4, 1, 1
2022/7/5, 35, 6, 13, 2, 1, 1
2022/7/6, 28, 9, 12, 2, 1, 1
2022/7/7, 34, 5, 18, 1, 1, 1
2022/7/8, 33, 9, 22, 3, 1, 1
2022/7/9, 37, 9, 35, 5, 3, 1
2022/7/10, 50, 9, 15, 1, 1, 1
2022/7/11, 38, 10, 22, 1, 1, 1
2022/7/12, 47, 10, 18, 1, 1, 1
2022/7/13, 48, 4, 17, 1, 1, 
2022/7/14, 21, 7, 17, 2, 1, 
2022/7/15, 31, 9, 21, 1, 1, 
2022/7/16, 32, 12, 27, 3, 1, 1
2022/7/17, 40, 12, 40, 1, 1, 1
2022/7/18, 42, 20, 44, 4, 2, 1
2022/7/19, 58, 17, 25, 1, 1, 1
2022/7/20, 34, 20, 49, 7, 2, 2
2022/7/21, 68, 13, 38, 2, 1, 1
2022/7/22, 52, 24, 36, 1, 1, 1
2022/7/23, 61, 16, 44, 4, 2, 2
2022/7/24, 34, 10, 32, 3, 1, 1
2022/7/25, 48, 12, 26, 1, 1, 1
2022/7/26, 49, 13, 8, 1, 1, 1
2022/7/27, 37, 9, 8, 1, 1, 1
2022/7/28, 38, 9, 15, 1, 1, 1
2022/7/29, 55, 9, 15, 1, 1, 1
2022/7/30, 58, 11, 13, 1, 1, 1
2022/7/31, 69, 12, 18, 2, 1, 1
2022/8/1, 56, 17, 55, 5, 4, 2
2022/6/2, 37, 11, 36, 3, 3, 1
2022/6/3, 31, 14, 47, 5, 3, 1
2022/6/4, 37, 12, 45, 2, 1, 
2022/6/5, 38, 11, 41, 3, 5, 2
2022/6/6, 40, 7, 42, 1, 1, 1
2022/6/7, 19, 5, 32, 2, 1, 1
2022/6/8, 23, 11, 24, 2, 1, 1
2022/6/9, 31, 9, 30, 2, 1, 
2022/6/10, 36, 9, 31, 2, 1, 1
2022/6/11, 42, 8, 32, 1, 1, 
2022/6/12, 28, 10, 35, 2, 1, 2
2022/6/13, 39, 8, 34, 3, 1, 1
2022/6/14, 43, 10, 26, 2, 1, 1
2022/6/15, 29, 6, 33, 2, 1, 1
2022/6/16, 22, 19, 40, 8, 3, 2
2022/6/17, 60, 21, 39, 4, 3, 1
2022/6/18, 61, 14, 22, 4, 1, 1
2022/6/19, 48, 9, 34, 3, 1, 1
2022/6/20, 46, 15, 30, 2, 1, 1
2022/6/21, 49, 20, 47, 4, 1, 1
2022/6/22, 64, 17, 33, 3, 1, 1
2022/6/23, 47, 15, 26, 2, 1, 1
2022/6/24, 42, 16, 14, 1, 1, 
2022/6/25, 37, 22, 19, 1, 1, 1
2022/6/26, 46, 14, 27, 1, 1, 1
2022/6/27, 48, 17, 32, 3, 1, 1
2022/6/28, 70, 20, 44, 7, 3, 1
2022/6/29, 63, 15, 30, 1, 1, 1
2022/6/30, 48, 25, 80, 6, 4, 2
2022/7/1, 78, 25, 82, 7, 4, 3
2022/5/2, 39, 6, 41, 5, 1, 1
2022/5/3, 37, 10, 48, 5, 4, 1
2022/5/4, 45, 13, 55, 3, 2, 1
2022/5/5, 47, 20, 77, 7, 7, 2
2022/5/6, 66, 13, 45, 4, 2, 1
2022/5/7, 49, 8, 41, 2, 1, 1
2022/5/8, 43, 9, 41, 3, 1, 1
