date, pm25, pm10, o3, no2, so2, co
2023/9/2, 27, 16, 14, 1, 1, 1
2023/9/3, 33, 13, 19, 1, 1, 1
2023/9/4, 35, 17, 36, 2, 1, 1
2023/9/5, 48, 14, 22, 3, , 
2023/9/6, 36, 10, 24, 2, , 
2023/9/7, 31, 11, 36, 2, , 
2023/9/8, 41, 15, 35, 3, 1, 1
2023/9/9, 36, 16, 42, 2, 1, 
2023/9/10, 43, 20, 14, 3, , 
2023/9/11, 53, , , , , 
2023/8/2, 35, 9, 12, 1, 1, 1
2023/8/3, 34, 5, 13, 1, 1, 1
2023/8/4, 25, 4, 15, 2, 1, 1
2023/8/5, 23, 5, 15, 1, 1, 
2023/8/6, 28, 6, 14, 1, 1, 
2023/8/7, 24, 7, 17, 1, 1, 
2023/8/8, 30, 12, 16, 1, 1, 1
2023/8/9, 34, 7, 19, 1, 1, 2
2023/8/10, 30, 11, 19, 1, 1, 2
2023/8/11, 26, 12, 26, 3, 1, 2
2023/8/12, 32, 13, 32, 2, 1, 2
2023/8/13, 38, 22, 39, 1, 1, 3
2023/8/14, 55, 18, 28, 1, 1, 2
2023/8/15, 46, 10, 14, 1, 1, 1
2023/8/16, 26, 12, 22, 2, 1, 1
2023/8/17, 36, 15, 27, 3, 1, 1
2023/8/18, 43, 9, 12, 3, , 1
2023/8/19, 28, 18, 19, 2, 2, 
2023/8/20, 42, 26, 30, 2, 1, 1
2023/8/21, 49, 23, 27, 3, 1, 1
2023/8/22, 45, 18, 21, 2, 1, 1
2023/8/23, 46, 16, 14, 3, 1, 1
2023/8/24, 40, 19, 15, 4, 1, 1
2023/8/25, 46, 16, 15, 2, 1, 1
2023/8/26, 40, 13, 22, 1, 1, 1
2023/8/27, 32, 9, 15, 2, 1, 
2023/8/28, 30, 10, 19, 2, 1, 1
2023/8/29, 35, 10, 19, 2, 2, 1
2023/8/30, 32, 6, 14, 3, 1, 1
2023/8/31, 32, 6, 10, 2, 1, 1
2023/9/1, 34, 13, 5, 3, 1, 1
2023/7/2, 32, 9, 28, 1, 1, 1
2023/7/3, 26, 4, 39, 3, 1, 1
2023/7/4, 21, 9, 28, 3, 1, 
2023/7/5, 26, 18, 33, 2, 1, 1
2023/7/6, 41, 23, 50, 3, 1, 2
2023/7/7, 56, 23, 18, 2, 1, 1
2023/7/8, 36, 26, 17, 1, 1, 
2023/7/9, 52, 24, 18, 1, , 
2023/7/10, 45, 16, 28, 2, , 1
2023/7/11, 38, 8, 9, 1, 1, 
2023/7/12, 38, 8, 10, 2, 1, 1
2023/7/13, 27, 12, 11, 1, , 
2023/7/14, 26, 11, 11, 1, 1, 1
2023/7/15, 33, 15, 11, 1, 1, 
2023/7/16, 35, 17, 15, 1, 6, 
2023/7/17, 47, 15, 16, 1, 3, 
2023/7/18, 43, 15, 13, 2, 6, 1
2023/7/19, 42, 9, 18, 1, 2, 1
2023/7/20, 28, 9, 24, 2, 1, 1
2023/7/21, 31, 21, 27, 3, 3, 1
2023/7/22, 54, 21, 22, 2, 2, 1
2023/7/23, 50, 23, 16, 1, 4, 
2023/7/24, 52, 15, 12, 3, 4, 1
2023/7/25, 43, 10, 15, 4, 1, 1
2023/7/26, 32, 18, 19, 2, 2, 1
2023/7/27, 47, 23, 23, 3, 1, 1
2023/7/28, 57, 18, 26, 3, 2, 1
2023/7/29, 51, 14, 25, 2, 1, 1
2023/7/30, 48, 9, 15, 1, 1, 
2023/7/31, 38, 7, 12, 1, 1, 
2023/8/1, 31, 10, 12, 1, 1, 1
2023/4/2, 34, 17, 57, 3, 1, 1
2023/4/3, 43, 15, 49, 3, 2, 1
2023/4/4, 43, 16, 45, 4, 1, 1
2023/4/5, 44, 15, 33, 6, 1, 1
2023/4/6, 38, 9, 29, 4, 1, 2
2023/4/7, 35, 16, 48, 4, 1, 2
2023/4/8, 54, 14, 43, 2, 1, 1
2023/4/9, 39, 13, 43, 2, 1, 1
2023/4/10, 29, 14, 41, 5, 1, 1
2023/4/11, 36, 15, 41, 4, 2, 2
2023/4/12, 34, 41, 43, 4, 1, 1
2023/4/13, 71, 30, 41, 6, 1, 1
2023/4/14, 52, 25, 23, 9, 1, 1
2023/4/15, 47, 6, 30, 4, 1, 1
2023/4/16, 29, 24, 51, 2, , 1
2023/4/17, 55, 32, 46, 4, 1, 1
2023/4/18, 62, 32, 43, 5, 6, 1
2023/4/19, 65, 38, 35, 4, 1, 1
2023/4/20, 74, 21, 41, 3, 1, 
2023/4/21, 52, 22, 38, 2, 1, 
2023/4/22, 49, 34, 43, 1, 1, 
2023/4/23, 61, 19, 45, 1, 3, 
2023/4/24, 45, 14, 35, 3, 1, 1
2023/4/25, 40, 9, 25, 5, 1, 1
2023/4/26, 33, 12, 48, 3, 1, 1
2023/4/27, 38, 20, 49, 6, 3, 1
2023/4/28, 53, 18, 45, 4, 3, 1
