date, pm25, pm10, o3, no2, so2, co
2021/6/1, 54, 16, 51, 4, 1, 3
2021/6/2, 49, 10, 33, 4, 1, 2
2021/6/3, 33, 5, 35, 2, , 3
2021/6/4, 16, 11, 42, 3, 1, 2
2021/6/5, 35, 12, 48, 3, 1, 2
2021/6/6, 40, 19, 55, 7, 2, 3
2021/6/7, 57, 19, 41, 4, 4, 3
2021/6/8, 56, 23, 86, 5, 2, 3
2021/6/9, 67, 19, 61, 3, 1, 2
2021/6/10, 60, 17, 43, 2, 1, 2
2021/6/11, 53, 17, 40, 2, 1, 3
2021/6/12, 52, 11, 29, 2, 1, 2
2021/6/13, 39, 11, 23, 5, 1, 3
2021/6/14, 36, 9, 29, 3, 1, 2
2021/6/15, 28, 6, 31, 2, , 2
2021/6/16, 17, 9, 42, 3, 1, 2
2021/6/17, 29, 8, 24, 4, 1, 3
2021/6/18, 22, , , , , 
2021/5/1, 32, 11, 39, 1, 1, 4
2021/5/2, 37, 10, 44, 3, 1, 3
2021/5/3, 32, 13, 45, 3, 5, 3
2021/5/4, 39, 10, 43, 2, 1, 3
2021/5/5, 27, 12, 53, 6, 1, 2
2021/5/6, 41, 15, 45, 5, 1, 4
2021/5/7, 50, 23, 38, 4, 1, 3
2021/5/8, 61, 28, 66, 2, 1, 3
2021/5/9, 68, 14, 49, 5, 1, 3
2021/5/10, 43, 21, 43, 7, 2, 3
2021/5/11, 62, 15, 34, 4, 1, 4
2021/5/12, 49, 6, 30, 4, 1, 3
2021/5/13, 16, 12, 38, 4, 1, 3
2021/5/14, 33, 5, 28, 3, 1, 2
2021/5/15, 11, 12, 21, 2, 1, 2
2021/5/16, 25, 11, 30, 4, , 3
2021/5/17, 29, 9, 27, 5, , 3
2021/5/18, 25, 10, 45, 4, 1, 3
2021/5/19, 33, 9, 28, 4, , 3
2021/5/20, 24, 9, 55, 1, 1, 3
2021/5/21, 28, 10, 41, 2, 1, 3
2021/5/22, 32, 14, 67, 3, 1, 3
2021/5/23, 43, 11, 39, 3, , 2
2021/5/24, 32, 21, 62, 3, 1, 3
2021/5/25, 50, 20, 43, 5, 1, 3
2021/5/26, 55, 7, 41, 3, , 2
2021/5/27, 19, 15, 49, 3, 1, 3
2021/5/28, 46, 13, 50, 3, 1, 3
2021/5/29, 39, 12, 62, 2, 1, 3
2021/5/30, 41, 16, 79, 3, 2, 3
2021/5/31, 53, 17, 68, 4, 1, 3
2021/4/10, 25, 8, 43, 3, 1, 2
2021/4/11, 25, 8, 38, 5, 1, 2
2021/4/12, 21, 10, 38, 2, 1, 3
2021/4/13, 21, 11, 38, 2, , 4
2021/4/14, 32, 7, 41, 5, 1, 2
2021/4/15, 22, 10, 35, 7, 1, 3
2021/4/16, 30, 14, 41, 3, 1, 5
2021/4/17, 34, 11, 40, 2, 1, 3
2021/4/18, 34, 12, 51, 8, 1, 3
2021/4/19, 39, 13, 64, 4, 1, 3
2021/4/20, 43, 16, 63, 9, 2, 3
2021/4/21, 55, 18, 57, 7, 2, 3
2021/4/22, 59, 14, 51, 9, 1, 2
2021/4/23, 48, 14, 46, 5, 1, 2
2021/4/24, 49, 10, 45, 3, 1, 2
2021/4/25, 30, 7, 40, 2, 1, 
2021/4/26, 22, 10, 45, 4, 1, 2
2021/4/27, 35, 11, 32, 4, 1, 2
2021/4/28, 34, 7, 30, 2, , 2
2021/4/29, 20, 16, 58, 7, 1, 3
2021/4/30, 46, 10, 52, 2, 1, 3
2021/3/1, 19, 5, 34, 1, 1, 3
2021/3/2, 14, 8, 32, 5, , 2
2021/3/3, 22, 8, 29, 6, 1, 3
2021/3/4, 24, 3, 25, 4, , 3
2021/3/5, 9, 10, 38, 2, , 2
2021/3/6, 30, 8, 34, 1, 1, 2
2021/3/7, 24, 7, 35, 2, 1, 3
2021/3/8, 16, 8, 25, 7, 2, 2
2021/3/9, 27, 12, 42, 4, 1, 4
2021/3/10, 40, 13, 31, 8, 1, 3
2021/3/11, 44, 9, 31, 9, , 4
2021/3/12, 30, 10, 41, 1, , 2
2021/3/13, 34, 14, 42, 3, 1, 3
2021/3/14, 43, 23, 46, 5, 1, 4
2021/3/15, 67, 18, 22, 12, 1, 4
2021/3/16, 55, 14, 40, 3, , 4
2021/3/17, 39, 19, 36, 6, 1, 3
2021/3/18, 49, 18, 43, 8, 1, 3
2021/3/19, 50, 13, 33, 6, 1, 3
2021/3/20, 37, 9, 36, 2, 1, 3
2021/3/21, 25, 16, 38, 3, 1, 3
2021/3/22, 48, 14, 44, 5, 1, 3
2021/3/23, 38, 19, 43, 5, 8, 3
2021/3/24, 50, 14, 45, 4, 1, 3
2021/3/25, 40, 14, 55, 4, 1, 4
2021/3/26, 45, 14, 54, 4, 1, 2
2021/3/27, 42, 12, 46, 2, , 4
2021/3/28, 36, 22, 22, 4, , 5
2021/3/29, 58, , , , , 
2021/2/1, 48, 15, 33, 7, 1, 3
2021/2/2, 40, 8, 33, 6, 1, 3
2021/2/3, 32, 9, 32, 7, , 4
2021/2/4, 28, 9, 28, 7, 1, 3
2021/2/5, 32, 9, 32, 8, 1, 3
2021/2/6, 28, 32, 44, 5, , 5
2021/2/7, 59, 15, 35, 3, 1, 4
2021/2/8, 40, 10, 31, 5, 1, 2
2021/2/9, 25, 7, 35, 7, 1, 3
2021/2/10, 27, 19, 42, 6, 1, 4
2021/2/11, 60, 19, 38, 9, 2, 5
2021/2/12, 64, 15, 29, 10, 1, 4
2021/2/13, 52, 10, 31, 6, 1, 3
2021/2/14, 31, 10, 36, 4, 1, 3
2021/2/15, 33, 8, 35, 1, , 3
2021/2/16, 23, 8, 31, 1, , 2
2021/2/17, 26, 9, 28, 2, , 2
2021/2/18, 33, 10, 27, 6, 1, 
2021/2/19, 36, 14, 36, 8, 1, 3
2021/2/20, 41, 20, 44, 6, 1, 3
2021/2/21, 57, 13, 44, 7, 1, 3
2021/2/22, 43, 17, 39, 2, , 3
2021/2/23, 49, 9, 33, 4, , 2
2021/2/24, 30, 9, 32, 6, 1, 3
2021/2/25, 30, 5, 24, 6, , 3
2021/2/26, 16, 8, 32, 3, , 2
2021/2/27, 22, , , , , 
2021/1/4, 22, 13, 33, 5, 1, 3
2021/1/5, 33, 8, 31, 5, 1, 2
2021/1/6, 24, 8, 28, 3, , 3
2021/1/7, 20, 9, 26, 2, 1, 2
2021/1/8, 18, 8, 29, 2, 1, 2
2021/1/9, 19, 10, 28, 2, 1, 2
2021/1/10, 20, 9, 22, 5, 1, 3
2021/1/11, 32, 12, 27, 5, 1, 3
2021/1/12, 37, 14, 20, 8, 1, 4
2021/1/13, 53, 18, 34, 8, 1, 4
2021/1/14, 56, 18, 30, 10, 5, 5
2021/1/15, 64, 16, 35, 6, 1, 3
2021/1/16, 56, 11, 32, 3, 1, 2
2021/1/17, 26, 14, 24, 10, 1, 3
2021/1/18, 34, 12, 30, 4, , 2
2021/1/19, 22, 10, 22, 9, 1, 3
2021/1/20, 23, 12, 18, 12, 2, 4
2021/1/21, 44, 9, 2, 14, , 4
2021/1/22, 48, 9, 16, 11, , 5
2021/1/23, 26, 5, 32, 2, , 2
2021/1/24, 17, 8, 25, 6, 1, 2
2021/1/25, 19, 9, 24, 14, 1, 3
2021/1/26, 25, 12, 31, 3, , 3
2021/1/27, 26, 13, 34, 5, 1, 4
2021/1/28, 35, 8, 30, 2, 1, 2
2021/1/29, 22, 17, 30, 6, , 3
2021/1/30, 42, 16, 32, 6, 1, 3
2021/1/31, 56, 17, 32, 10, 1, 3
2020/10/1, 20, 17, 37, 3, 3, 3
2020/10/2, 53, 16, 30, 4, 1, 3
2020/10/3, 65, 15, 22, 5, 1, 3
2020/10/4, 61, 11, 31, 2, , 3
2020/10/5, 33, 6, 27, 3, 1, 3
2020/10/6, 15, 8, 26, 3, , 
2020/10/7, 14, 8, 26, 2, , 3
2020/10/8, 12, 9, 26, 1, , 
2020/10/9, 19, 6, 31, 2, , 3
2020/10/10, 13, 11, 31, 1, , 3
2020/10/11, 26, 12, 32, 2, 1, 2
2020/10/12, 27, 10, 37, 3, 1, 3
2020/10/13, 34, 12, 36, 1, , 3
2020/10/14, 31, 9, 34, 3, 1, 3
2020/10/15, 29, 10, 33, 3, 1, 2
2020/10/16, 20, 13, 29, 2, 1, 3
2020/10/17, 16, 9, 35, 2, 1, 
2020/10/18, 26, 10, 34, 3, 1, 
2020/10/19, 26, 7, 34, 3, 1, 
2020/10/20, 28, 12, 37, 4, , 3
2020/10/21, 39, 9, 24, 5, , 3
2020/10/22, 20, 11, 33, 2, 1, 3
2020/10/23, 21, 6, 33, 3, 1, 3
2020/10/24, 24, 7, 35, 2, 1, 4
2020/10/25, 23, 8, 38, 4, , 3
2020/10/26, 31, 8, 37, 4, 2, 3
2020/10/27, 35, 10, 22, 6, 1, 3
2020/10/28, 41, 18, 47, 4, 1, 4
2020/10/29, 64, 9, 32, 4, , 3
2020/10/30, 26, 11, 28, 5, 1, 2
2020/10/31, 26, 9, 32, 5, 1, 3
2020/11/1, 33, 10, 24, 4, , 3
2020/11/2, 32, 10, 33, 2, 1, 2
2020/11/3, 35, 10, 31, 4, 1, 2
2020/11/4, 23, 9, 25, 6, 1, 3
2020/11/5, 22, 11, 32, 7, 1, 4
2020/11/6, 41, 14, 12, 7, , 5
2020/11/7, 36, 15, 39, 3, 1, 3
2020/11/8, 46, 9, 26, 5, , 2
2020/11/9, 25, 15, 26, 5, 1, 3
2020/11/10, 21, 10, 26, 3, , 3
2020/11/11, 21, 12, 24, 6, 1, 3
2020/11/12, 31, 11, 29, 4, 1, 3
2020/11/13, 34, 11, 35, 5, 1, 3
2020/11/14, 46, 12, 30, 4, 1, 3
2020/11/15, 45, 14, 24, 6, 1, 4
2020/11/16, 51, 18, 29, 7, 1, 3
2020/11/17, 57, 16, 40, 6, 1, 3
2020/11/18, 54, 15, 30, 2, 1, 3
2020/11/19, 28, 12, 30, 4, 1, 5
2020/11/20, 39, 11, 26, 3, , 3
2020/11/21, 20, 21, 18, 6, 1, 4
2020/11/22, 36, 10, 27, 2, , 3
2020/11/23, 32, 7, 24, 4, 1, 3
2020/11/24, 19, 10, 13, 8, 1, 4
2020/11/25, 28, 6, 24, 6, 1, 4
2020/11/26, 28, 10, 33, 7, 1, 4
2020/11/27, 34, 9, 28, 2, 1, 3
2020/11/28, 28, 10, 27, 4, 1, 3
2020/11/29, 26, 7, 29, 6, , 2
2020/11/30, 26, 11, 27, 4, , 2
2020/12/1, 19, 8, 26, 5, , 2
2020/12/2, 19, 9, 31, 5, 1, 3
2020/12/3, 24, 8, 25, 7, , 4
2020/12/4, 20, 6, 31, 5, , 3
2020/12/5, 20, 9, 27, 4, , 4
2020/12/6, 30, 13, 30, 7, 1, 4
2020/12/7, 46, 9, 19, 7, 1, 3
2020/12/8, 49, 8, 19, 9, 1, 3
2020/12/9, 25, 8, 8, 10, 1, 4
2020/12/10, 28, 7, 20, 7, 1, 5
2020/12/11, 30, 21, 37, 5, 1, 4
2020/12/12, 53, 17, 19, 7, 1, 4
2020/12/13, 49, 9, 29, 2, 1, 3
2020/12/14, 22, 9, 28, 1, 1, 2
2020/12/15, 10, 7, 29, 2, 1, 2
2020/12/16, 19, 12, 30, 4, , 3
2020/12/17, 13, 10, 23, 8, , 4
2020/12/18, 27, 6, 31, 6, 1, 3
2020/12/19, 26, 11, 31, 5, , 3
2020/12/20, 18, 10, 28, 6, 1, 4
2020/12/21, 26, 11, 26, 8, 1, 4
2020/12/22, 51, 15, 26, 11, 1, 5
