date, pm25, pm10, o3, no2, so2, co
2021/6/1, 35, 11, 42, 10, 1, 2
2021/6/2, 32, 15, 54, 11, 1, 2
2021/6/3, 41, 8, 32, 7, 1, 2
2021/6/4, 20, 10, 49, 12, 1, 3
2021/6/5, 26, 16, 46, 7, 1, 3
2021/6/6, 41, 19, 58, 16, 2, 3
2021/6/7, 53, 25, 76, 15, 1, 3
2021/6/8, 64, 23, 71, 12, 1, 2
2021/6/9, 63, 24, 92, 14, 1, 2
2021/6/10, 65, 18, 49, 11, 1, 1
2021/6/11, 50, 14, 40, 7, 1, 1
2021/6/12, 36, 17, 39, 6, 1, 1
2021/6/13, 46, 16, 38, 13, 1, 1
2021/6/14, 46, 17, 66, 10, 1, 1
2021/6/15, 47, 12, 29, 9, 1, 1
2021/6/16, 33, 11, 30, 8, 1, 1
2021/6/17, 28, 13, 67, 9, 1, 1
2021/6/18, 35, , , , , 
2021/5/1, 42, 12, 54, 5, 1, 2
2021/5/2, 29, 9, 43, 3, 1, 2
2021/5/3, 29, 13, 54, 8, 1, 2
2021/5/4, 40, 19, 38, 9, 2, 3
2021/5/5, 56, 14, 51, 12, 1, 2
2021/5/6, 39, 18, 34, 16, 2, 3
2021/5/7, 50, 21, 52, 12, 1, 3
2021/5/8, 53, 34, 51, 5, 1, 3
2021/5/9, 75, 24, 54, 7, 1, 2
2021/5/10, 54, 14, 35, 14, 1, 2
2021/5/11, 42, 14, 43, 15, 1, 2
2021/5/12, 42, 15, 32, 13, 1, 2
2021/5/13, 43, 13, 61, 12, 1, 2
2021/5/14, 41, 14, 47, 9, 2, 3
2021/5/15, 39, 13, 41, 4, 1, 2
2021/5/16, 33, 16, 15, 11, 1, 3
2021/5/17, 46, 12, 22, 11, 1, 2
2021/5/18, 30, 9, 19, 22, 1, 3
2021/5/19, 24, 14, 30, 14, 1, 3
2021/5/20, 39, 11, 25, 10, 1, 3
2021/5/21, 28, 11, 33, 8, 1, 1
2021/5/22, 28, 8, 49, 6, 1, 2
2021/5/23, 24, 15, 50, 15, 2, 2
2021/5/24, 42, 16, 68, 11, 1, 1
2021/5/25, 49, 20, 64, 12, 1, 3
2021/5/26, 52, 14, 32, 14, 1, 3
2021/5/27, 39, 12, 47, 16, 2, 4
2021/5/28, 31, 22, 53, 11, 2, 3
2021/5/29, 56, 16, 54, 4, 1, 3
2021/5/30, 48, 13, 51, 10, 1, 3
2021/5/31, 35, 11, 64, 9, 1, 3
2021/4/10, 37, 13, 42, 8, 1, 2
2021/4/11, 45, 13, 50, 14, 3, 2
2021/4/12, 43, 9, 42, 19, 2, 2
2021/4/13, 28, 9, 37, 8, 1, 2
2021/4/14, 28, 9, 36, 12, 1, 2
2021/4/15, 29, 12, 40, 14, 1, 2
2021/4/16, 36, 14, 38, 13, 1, 2
2021/4/17, 40, 8, 28, 3, 1, 2
2021/4/18, 22, 19, 41, 9, 1, 1
2021/4/19, 49, 20, 46, 17, 1, 2
2021/4/20, 54, 15, 51, 5, 3, 2
2021/4/21, 49, 13, 45, 8, 2, 2
2021/4/22, 40, 15, 41, 15, 1, 2
2021/4/23, 45, 15, 48, 11, 1, 2
2021/4/24, 46, 16, 59, 5, 2, 2
2021/4/25, 46, 12, 50, 3, 2, 2
2021/4/26, 34, 13, 39, 15, 1, 3
2021/4/27, 40, 19, 43, 17, 2, 2
2021/4/28, 54, 15, 55, 8, 2, 2
2021/4/29, 43, 12, 30, 8, 1, 2
2021/4/30, 32, 15, 49, 7, 1, 2
2021/3/1, 40, 11, 35, 13, 1, 2
2021/3/2, 33, 7, 37, 11, 1, 2
2021/3/3, 23, 11, 34, 19, 2, 3
2021/3/4, 39, 16, 30, 16, 2, 3
2021/3/5, 53, 11, 35, 7, 2, 2
2021/3/6, 35, 9, 35, 7, 1, 2
2021/3/7, 29, 15, 24, 16, 1, 3
2021/3/8, 47, 11, 32, 17, 2, 3
2021/3/9, 37, 14, 41, 7, 2, 2
2021/3/10, 42, 14, 35, 18, 2, 3
2021/3/11, 46, 22, 33, 24, 2, 4
2021/3/12, 65, 10, 27, 9, 1, 2
2021/3/13, 33, 6, 39, 2, 2, 1
2021/3/14, 19, 10, 40, 7, 1, 2
2021/3/15, 33, 17, 41, 20, 3, 3
2021/3/16, 54, 16, 37, 4, 1, 3
2021/3/17, 37, 19, 43, 15, 2, 3
2021/3/18, 46, 17, 39, 16, 2, 3
2021/3/19, 45, 17, 35, 8, 1, 2
2021/3/20, 44, 18, 31, 6, 1, 2
2021/3/21, 50, 8, 35, 3, 1, 2
2021/3/22, 24, 12, 40, 11, 2, 2
2021/3/23, 39, 16, 46, 17, 2, 3
2021/3/24, 50, 20, 7, 18, 1, 4
2021/3/25, 60, , , , , 
2021/2/1, 57, 11, 30, 16, 2, 4
2021/2/2, 37, 8, 31, 13, 1, 3
2021/2/3, 28, 10, 32, 14, 2, 4
